cohort,arm,method,horizon,signals,complete,codes,missing,median,mean,positive_fraction,median_of_code_medians
old_rank1_filter,BOTH3,ma60_episode,750,274,197,40,77,0.8878100553319213,0.8692739908246596,0.8274111675126904,0.8810257822051463
old_rank1_filter,BOTH3,ma60_nonoverlap,250,140,126,56,14,0.19804298138994714,0.24427988340682702,0.7301587301587301,0.18413379218895326
old_rank1_filter,BOTH3,ma60_nonoverlap,750,86,56,40,30,0.9350308639445046,0.916354056000898,0.8571428571428571,0.8713697218375974
old_rank1_filter,BOTH3,stop_episode,250,123,114,56,9,0.1709767981202056,0.23498841614580046,0.7368421052631579,0.1925770615219306
old_rank1_filter,BOTH3,stop_episode,750,123,86,40,37,0.8393495172539386,0.8320212508638715,0.8488372093023255,0.8286357388454302
old_rank1_filter,MA20_1,daily,250,2745,2532,63,213,0.27094540454972305,0.2885207523438517,0.7282780410742496,0.25508015245783877
old_rank1_filter,MA20_1,daily,750,2745,2072,42,673,0.9432822998545853,0.9451204707120574,0.832046332046332,0.8796506898293494
old_rank1_filter,MA20_1,ma60_episode,250,350,319,63,31,0.2886085271594965,0.30511232377038755,0.7648902821316614,0.2953573475596314
old_rank1_filter,MA20_1,ma60_episode,750,350,250,42,100,0.8623394029705982,0.8542866961640826,0.836,0.887326126727517
old_rank1_filter,MA20_1,ma60_nonoverlap,250,165,149,63,16,0.20359518688129885,0.24812471873395966,0.7516778523489933,0.2282900779222472
old_rank1_filter,MA20_1,ma60_nonoverlap,750,98,62,42,36,0.842035337678484,0.9072688531425352,0.8709677419354839,0.8173357480004968
old_rank1_filter,MA20_1,stop_episode,250,157,146,63,11,0.1950811106250464,0.29340588405302986,0.7465753424657534,0.278390067581078
old_rank1_filter,MA20_1,stop_episode,750,157,108,42,49,0.8684554597255572,0.8953453942096967,0.8703703703703703,0.9058376639805277
old_rank1_filter,MA60_1,daily,250,2719,2490,60,229,0.26771703767469346,0.2838837321724139,0.7373493975903614,0.20525341630040794
old_rank1_filter,MA60_1,daily,750,2719,2037,44,682,0.969883544249921,0.9818504913285012,0.8497790868924889,0.8489636142350709
old_rank1_filter,MA60_1,ma60_episode,250,326,300,60,26,0.260940311703468,0.27091526707500857,0.7466666666666667,0.21639137733172753
old_rank1_filter,MA60_1,ma60_episode,750,326,232,44,94,0.8435376403017892,0.8484202658534845,0.8318965517241379,0.8371682163335898
old_rank1_filter,MA60_1,ma60_nonoverlap,250,151,137,60,14,0.18184578090998227,0.231292828225313,0.7299270072992701,0.20897434790202518
old_rank1_filter,MA60_1,ma60_nonoverlap,750,92,62,44,30,0.8173357480004968,0.8799158979684593,0.8548387096774194,0.7904075472447717
old_rank1_filter,MA60_1,stop_episode,250,135,126,60,9,0.1634187321819337,0.22795509808324385,0.7142857142857143,0.20526931092420303
old_rank1_filter,MA60_1,stop_episode,750,135,94,44,41,0.8547964270314381,0.8563002459256607,0.851063829787234,0.8303932471435063
