group,arm,version,metric,level,paired_delta
剔除集A,SB1_BUY2,m2,Sharpe,1.0245020467362804,-0.005107233330403305
剔除集A,SB1_BUY2,m2,Calmar,0.6955361454944937,-0.014825722861692203
剔除集A,SB1_BUY2,m2,滚动5年Sharpe中位,0.9906869450332956,-0.00449208602732043
剔除集A,SB1_BUY2,m2,滚动3年Sharpe中位,1.0516198024364467,-0.0053788124077999155
剔除集A,SB1_BUY2,m2,滚动5年Calmar中位,0.7743611103837614,0.007736547351381962
剔除集U(BUY2),BASE,m1,年化,0.398434,0.0
剔除集U(BUY2),BASE,m1,Sharpe,0.8997999999999999,0.0
剔除集U(BUY2),BASE,m1,Calmar,0.5998405,0.0
剔除集U(BUY2),BASE,m1,滚动5年Sharpe中位,0.9867495,0.0
剔除集U(BUY2),BASE,m1,滚动3年Sharpe中位,1.0275349999999999,0.0
剔除集U(BUY2),BASE,m1,滚动5年Calmar中位,0.807999,0.0
剔除集U(BUY2),BASE,m2,年化,0.39716450000000003,0.0
剔除集U(BUY2),BASE,m2,Sharpe,0.9581815,0.0
剔除集U(BUY2),BASE,m2,Calmar,0.5974505,0.0
剔除集U(BUY2),BASE,m2,滚动5年Sharpe中位,1.0167605,0.0
剔除集U(BUY2),BASE,m2,滚动3年Sharpe中位,1.0506375000000001,0.0
剔除集U(BUY2),BASE,m2,滚动5年Calmar中位,0.807999,0.0
剔除集U(BUY2),BUY2,m1,年化,0.4174965,0.005628000000000022
剔除集U(BUY2),BUY2,m1,Sharpe,0.900542,0.009762999999999966
剔除集U(BUY2),BUY2,m1,Calmar,0.616634,-0.0040949999999999875
剔除集U(BUY2),BUY2,m1,滚动5年Sharpe中位,0.9949315,0.03194349999999996
剔除集U(BUY2),BUY2,m1,滚动3年Sharpe中位,1.0326675,0.012989499999999987
剔除集U(BUY2),BUY2,m1,滚动5年Calmar中位,0.8372395,0.02551150000000002
剔除集U(BUY2),BUY2,m2,年化,0.416097,0.005603999999999998
剔除集U(BUY2),BUY2,m2,Sharpe,0.954859,0.0074245000000000005
剔除集U(BUY2),BUY2,m2,Calmar,0.6141695,-0.004080499999999987
剔除集U(BUY2),BUY2,m2,滚动5年Sharpe中位,1.0222419999999999,0.018403999999999976
剔除集U(BUY2),BUY2,m2,滚动3年Sharpe中位,1.04093,0.0037574999999999137
剔除集U(BUY2),BUY2,m2,滚动5年Calmar中位,0.8372395,0.02551150000000002
剔除集U(SB1_BUY2),BASE,m1,年化,0.398434,0.0
剔除集U(SB1_BUY2),BASE,m1,Sharpe,0.8997999999999999,0.0
剔除集U(SB1_BUY2),BASE,m1,Calmar,0.5998405,0.0
剔除集U(SB1_BUY2),BASE,m1,滚动5年Sharpe中位,0.9867495,0.0
剔除集U(SB1_BUY2),BASE,m1,滚动3年Sharpe中位,1.0275349999999999,0.0
剔除集U(SB1_BUY2),BASE,m1,滚动5年Calmar中位,0.807999,0.0
剔除集U(SB1_BUY2),BASE,m2,年化,0.39716450000000003,0.0
剔除集U(SB1_BUY2),BASE,m2,Sharpe,0.9581815,0.0
剔除集U(SB1_BUY2),BASE,m2,Calmar,0.5974505,0.0
剔除集U(SB1_BUY2),BASE,m2,滚动5年Sharpe中位,1.0167605,0.0
剔除集U(SB1_BUY2),BASE,m2,滚动3年Sharpe中位,1.0506375000000001,0.0
剔除集U(SB1_BUY2),BASE,m2,滚动5年Calmar中位,0.807999,0.0
剔除集U(SB1_BUY2),SB1_BUY2,m1,年化,0.40040149999999997,-0.00039900000000001046
剔除集U(SB1_BUY2),SB1_BUY2,m1,Sharpe,0.890356,-0.0027140000000000497
剔除集U(SB1_BUY2),SB1_BUY2,m1,Calmar,0.6197405,-0.004502499999999965
剔除集U(SB1_BUY2),SB1_BUY2,m1,滚动5年Sharpe中位,0.9501845,-0.0004704999999999848
剔除集U(SB1_BUY2),SB1_BUY2,m1,滚动3年Sharpe中位,1.0361509999999998,-0.004025500000000071
剔除集U(SB1_BUY2),SB1_BUY2,m1,滚动5年Calmar中位,0.7743610000000001,0.0077364999999999795
剔除集U(SB1_BUY2),SB1_BUY2,m2,年化,0.399066,-0.00039700000000000846
剔除集U(SB1_BUY2),SB1_BUY2,m2,Sharpe,0.956977,-0.0010020000000000584
剔除集U(SB1_BUY2),SB1_BUY2,m2,Calmar,0.6177745,-0.004483999999999988
剔除集U(SB1_BUY2),SB1_BUY2,m2,滚动5年Sharpe中位,0.9906870000000001,-0.004491500000000037
剔除集U(SB1_BUY2),SB1_BUY2,m2,滚动3年Sharpe中位,1.05162,-0.005378500000000064
剔除集U(SB1_BUY2),SB1_BUY2,m2,滚动5年Calmar中位,0.7743610000000001,0.0077364999999999795
