ticker,exchange,symbol,first,last,bars
DHI,NYSE,usDHI.N,2009-09-16,2026-09-04,4263
DHR,NYSE,usDHR.N,2009-09-16,2026-09-04,4263
DINO,NYSE,usDINO.N,2022-03-15,2026-09-04,1124
DIS,NYSE,usDIS.N,2007-03-19,2026-09-04,4898
DISH,,usDISH.OQ,2009-09-16,2023-12-29,3591
DK,NYSE,usDK.N,2009-09-16,2026-09-04,4263
DKS,NYSE,usDKS.N,2007-09-17,2026-09-04,4765
DLTR,Nasdaq,usDLTR.OQ,2009-09-16,2026-09-04,4263
DOV,NYSE,usDOV.N,2007-09-17,2026-09-04,4765
DOW,NYSE,usDOW.N,2007-03-19,2026-09-04,4502
DRI,NYSE,usDRI.N,2009-09-16,2026-09-04,4263
DTE,NYSE,usDTE.N,2007-09-17,2026-09-04,4765
DUK,NYSE,usDUK.N,2007-03-19,2024-04-09,4294
DVA,NYSE,usDVA.N,2007-09-17,2012-10-03,1267
DVN,NYSE,usDVN.N,2007-09-17,2008-12-01,306
ENLC,,usENLC.N,2014-06-23,2025-01-31,2669
EOG,NYSE,usEOG.N,2020-06-08,2026-09-04,1570
EPD,NYSE,usEPD.N,2016-08-08,2026-09-04,2534
ES,NYSE,usES.N,2008-02-11,2026-09-04,4229
ESRX,,usESRX.OQ,2009-09-16,2018-12-20,2327
ET,NYSE,usET.N,2012-03-30,2026-09-04,2299
ETN,NYSE,usETN.N,2007-09-17,2026-09-04,4765
ETR,NYSE,usETR.N,2007-03-19,2026-09-04,4898
EVHC,,usEVHC.N,2013-10-16,2018-10-10,1255
EXC,,usEXC.OQ,2007-03-19,2026-09-04,4898
EXE,Nasdaq,usEXE.OQ,2021-02-10,2026-09-04,1399
EXPD,NYSE,usEXPD.N,2009-09-16,2026-09-04,4263
EXPE,Nasdaq,usEXPE.OQ,2009-09-16,2026-09-04,4263
F,NYSE,usF.N,2007-03-19,2026-09-04,4898
FCX,NYSE,usFCX.N,2007-09-17,2026-09-04,4765
FDML,,usFDML.OQ,2010-04-13,2017-01-23,1704
FDO,,usFDO.N,2007-09-17,2015-07-06,1956
FDX,NYSE,usFDX.N,2007-03-19,2026-09-04,4898
FE,NYSE,usFE.N,2009-09-16,2026-09-04,4263
FIS,NYSE,usFIS.N,2007-09-17,2026-09-04,4765
FISV,Nasdaq,usFISV.OQ,2023-06-07,2026-09-04,815
FL,,usFL.N,2007-09-17,2025-09-05,4514
FLEX,Nasdaq,usFLEX.OQ,2009-09-16,2026-09-04,4263
FLR,NYSE,usFLR.N,2009-09-16,2026-09-04,4263
FOXA,Nasdaq,usFOXA.OQ,2019-03-13,2026-09-04,1882
FTI,NYSE,usFTI.N,2009-09-16,2024-04-09,3659
FTV,NYSE,usFTV.N,2016-07-05,2016-08-05,24
MCK,NYSE,usMCK.N,2009-09-16,2026-09-04,4263
WMT,Nasdaq,usWMT.OQ,2007-03-19,2026-09-04,4898
