group,arm,metric,level_median,paired_delta_median,positive_starts,better_starts
full,BL07000OP09,滚动3年回撤中位,0.5126022373591279,0.06943743020700627,14,0
full,BL07000OP09,滚动3年Calmar中位,0.766033401008477,-0.3784139643191679,0,
full,BL07000OP09,滚动3年Sharpe中位,0.8659337628672947,-0.1580353334261409,0,
full,BL07000OP09,滚动3年为负的窗口占比,0.0,-0.008338544923910778,0,
full,BL07000OP09,滚动5年年化中位,0.3992971048141639,-0.13243402868757614,0,0
full,BL07000OP09,滚动5年年化P25,0.317848676413343,-0.11391132692358086,1,1
full,BL07000OP09,滚动5年年化最差,0.11291259982976176,0.011403463523757318,8,8
full,BL07000OP09,滚动5年回撤中位,0.5126700793680987,0.057722703060520075,9,5
full,BL07000OP09,滚动5年Calmar中位,0.7822756738424054,-0.34090918305497886,0,0
full,BL07000OP09,滚动5年Sharpe中位,0.8928681269584767,-0.15450831998176312,0,0
full,BL07000OP09,滚动5年为负的窗口占比,0.0,0.0,0,4
full,BL07000OP09,滚动5年窗口数,102.0,0.0,0,
full,BL07000OP09,互不重叠5年块中位,0.47158196578771916,-0.18030458443352015,2,2
full,BL07000OP09,滚动10年年化中位,0.3559251511310051,-0.10490760805815758,0,
full,BL07000OP09,滚动10年窗口数,42.0,0.0,0,
full,BL07000OP09,逐年收益中位,0.35570334703965867,-0.03751232752124933,3,3
full,BL07000OP09,逐年为正比例,0.7774725274725275,0.0,4,
full,BL07000OP09,逐年最差,-0.16074991596865162,0.10287763298748903,11,11
full,BL07000OP09,完整自然年数,12.5,0.0,0,
full,BL07000OP09,强平次数,0.0,0.0,0,
full,BL07000OP09,最低担保比例,1.9297683722887182,0.10677385608034629,11,
full,BL07000OP09,最低股票同跌缓冲,0.326344022052695,0.04111861557217414,11,
full,BL07000OP09,最低总资产冲击缓冲,0.326344022052695,0.041118615572174166,11,
full,BL07000OP09,rf覆盖率,1.0,0.0,0,
full,BL07000OP09,年化_交易日口径,0.3518467172294526,-0.1061030573262095,1,
full,BL07000OP09,最低担保比例日,20175264.5,-309.0,4,
full,BL07000OP09,最低股票同跌缓冲日,20175264.5,-309.0,4,
full,BL07000OP09,滚动5年年化最差窗口末日,20200430.0,0.0,6,
full,BL07000OP09,最大回撤起日,20150609.0,0.0,4,
full,BL07000OP09,最大回撤止日,20160616.0,414.0,14,
full,BL07000OP09,末次净值日,20260828.0,0.0,0,
full,BL07500OP09,年化,0.4277973536705332,-0.020754362372493174,5,5
full,BL07500OP09,最大回撤,0.543706711887427,-0.1072843535112295,1,13
full,BL07500OP09,Sharpe,0.9699320102908139,0.024309214420179748,10,10
full,BL07500OP09,Calmar,0.730975217135859,0.11228943018386672,11,11
full,BL07500OP09,平均仓位,1.436211991591048,-0.22116577871558918,0,14
full,BL07500OP09,年均换手,4.404449636041072,-2.02643705870398,0,14
full,BL07500OP09,持仓数中位,5.0,-2.0,0,
full,BL07500OP09,单票权重中位,0.6271804164674998,-0.02169482324474792,0,
full,BL07500OP09,单票权重P90,0.7622069139293229,-0.09649130202015016,0,
full,BL07500OP09,单票权重最大,0.9680105371368248,-0.07145303608760473,2,
full,BL07500OP09,前三权重中位,1.4057133917988163,-0.048568668574994533,0,
full,BL07500OP09,单票超60%天数占比,0.7047089685676642,-0.09706396144438173,0,
full,BL07500OP09,滚动3年年化中位,0.4536608885414398,-0.038690090369119634,4,4
full,BL07500OP09,滚动3年回撤中位,0.4720491076112825,0.02129272958383044,13,1
full,BL07500OP09,滚动3年Calmar中位,1.05004296772092,-0.06598712543252927,3,
full,BL07500OP09,滚动3年Sharpe中位,1.0310881231102225,-0.010669305099793691,7,
full,BL07500OP09,滚动3年为负的窗口占比,0.0,-0.00877800877800878,1,
full,BL07500OP09,滚动5年年化中位,0.5169709047382521,-0.035882048893774665,5,5
full,BL07500OP09,滚动5年年化P25,0.3225526163103686,-0.028188351747939433,4,4
full,BL07500OP09,滚动5年年化最差,0.10490364219241244,-0.0038664885671819693,7,7
full,BL07500OP09,滚动5年回撤中位,0.5401729205893793,0.06250135563113701,11,3
full,BL07500OP09,滚动5年Calmar中位,0.9591821507626157,-0.1132874084572057,2,2
full,BL07500OP09,滚动5年Sharpe中位,1.0480644308110265,-0.018024528578396204,6,6
full,BL07500OP09,滚动5年为负的窗口占比,0.0,0.0,0,4
full,BL07500OP09,滚动5年窗口数,102.0,0.0,0,
full,BL07500OP09,互不重叠5年块中位,0.5733973258483541,-0.06700971230696173,4,4
full,BL07500OP09,滚动10年年化中位,0.42493154440271175,-0.038971269326888325,5,
full,BL07500OP09,滚动10年窗口数,42.0,0.0,0,
full,BL07500OP09,逐年收益中位,0.4148548988717158,0.02040953855140365,10,10
full,BL07500OP09,逐年为正比例,0.7774725274725275,0.0,4,
full,BL07500OP09,逐年最差,-0.17298581682535763,0.08729765321063859,11,11
full,BL07500OP09,完整自然年数,12.5,0.0,0,
full,BL07500OP09,强平次数,0.0,0.0,0,
full,BL07500OP09,最低担保比例,1.766718318207985,-0.019911472944621367,6,
full,BL07500OP09,最低股票同跌缓冲,0.2641724565811861,-0.008199396991271785,6,
full,BL07500OP09,最低总资产冲击缓冲,0.26417245658118604,-0.008199396991271868,6,
full,BL07500OP09,rf覆盖率,1.0,0.0,0,
full,BL07500OP09,年化_交易日口径,0.4294268215048065,-0.020824030086397216,5,
full,BL07500OP09,最低担保比例日,20200323.0,49498.0,9,
full,BL07500OP09,最低股票同跌缓冲日,20200323.0,49498.0,9,
full,BL07500OP09,滚动5年年化最差窗口末日,20200430.0,0.0,5,
full,BL07500OP09,最大回撤起日,20150609.0,0.0,3,
full,BL07500OP09,最大回撤止日,20160616.0,62.0,12,
full,BL07500OP09,末次净值日,20260828.0,0.0,0,
full,BL08000OP09,年化,0.3968232192683695,-0.03411508682220421,3,3
full,BL08000OP09,最大回撤,0.5896989794330414,-0.073028491691989,0,14
full,BL08000OP09,Sharpe,0.8814434497107531,-0.026547335404718764,5,5
full,BL08000OP09,Calmar,0.6473783876096382,0.021247341390169705,8,8
full,BL08000OP09,平均仓位,1.5521677986200344,-0.09287177316808293,0,14
full,BL08000OP09,年均换手,4.750692521379001,-1.6903121525907938,0,14
full,BL08000OP09,持仓数中位,6.0,-1.0,0,
full,BL08000OP09,单票权重中位,0.6414532543458152,-0.007764038873903645,4,
full,BL08000OP09,单票权重P90,0.7397605750998838,-0.0829973617319032,0,
