arm,buy_line,group,exclusion_group,start,end,cagr,base_cagr,delta_pp
BASE,1.0454,U,A,2009-11-01,2026-08-28,0.32484186578832164,0.32484186578832164,0.0
BASE,1.0454,U,A,2010-05-01,2026-08-28,0.3577877601083479,0.3577877601083479,0.0
BASE,1.0454,U,A,2010-11-01,2026-08-28,0.39384145779326096,0.39384145779326096,0.0
BASE,1.0454,U,A,2011-05-01,2026-08-28,0.4595414701476832,0.4595414701476832,0.0
BASE,1.0454,U,A,2011-11-01,2026-08-28,0.4343883464327476,0.4343883464327476,0.0
BASE,1.0454,U,A,2012-05-01,2026-08-28,0.44367740634309305,0.44367740634309305,0.0
BASE,1.0454,U,A,2012-11-01,2026-08-28,0.5076581123683039,0.5076581123683039,0.0
BASE,1.0454,U,A,2013-05-01,2026-08-28,0.5273589932880105,0.5273589932880105,0.0
BASE,1.0454,U,A,2013-11-01,2026-08-28,0.5092937156190205,0.5092937156190205,0.0
BASE,1.0454,U,A,2014-05-01,2026-08-28,0.5759327684444389,0.5759327684444389,0.0
BASE,1.0454,U,A,2014-11-01,2026-08-28,0.5567072004372051,0.5567072004372051,0.0
BASE,1.0454,U,A,2015-05-01,2026-08-28,0.470629288674965,0.470629288674965,0.0
BASE,1.0454,U,A,2015-11-01,2026-08-28,0.5189473402580713,0.5189473402580713,0.0
BASE,1.0454,U,A,2016-05-01,2026-08-28,0.6848724220753288,0.6848724220753288,0.0
BL05000OP09,0.5,full,full,2009-11-01,2026-08-28,0.12066389935215427,0.3171902906642554,-19.652639131210115
BL05000OP09,0.5,full,full,2010-05-01,2026-08-28,0.12459075413481946,0.42150631552147355,-29.69155613866541
BL05000OP09,0.5,full,full,2010-11-01,2026-08-28,0.12873416800340864,0.34762338931737813,-21.88892213139695
BL05000OP09,0.5,full,full,2011-05-01,2026-08-28,0.13321292943180363,0.31325227361749697,-18.003934418569333
BL05000OP09,0.5,full,full,2011-11-01,2026-08-28,0.13798696350396455,0.3323652934000796,-19.437832989611504
BL05000OP09,0.5,full,full,2012-05-01,2026-08-28,0.14314462792095295,0.39847921911522177,-25.533459119426883
BL05000OP09,0.5,full,full,2012-11-01,2026-08-28,0.14870222592693705,0.5003010251284332,-35.15987992014962
BL05000OP09,0.5,full,full,2013-05-01,2026-08-28,0.15467394263909506,0.4931181239971951,-33.84441813581
BL05000OP09,0.5,full,full,2013-11-01,2026-08-28,0.1794174197973577,0.41697297508389597,-23.755555528653826
BL05000OP09,0.5,full,full,2014-05-01,2026-08-28,0.19848683030343794,0.4929665032489996,-29.447967294556165
BL05000OP09,0.5,full,full,2014-11-01,2026-08-28,0.13385781165747135,0.5279156947520107,-39.40578830945394
BL05000OP09,0.5,full,full,2015-05-01,2026-08-28,0.12068218637761152,0.4970778116275161,-37.63956252499045
BL05000OP09,0.5,full,full,2015-11-01,2026-08-28,0.12657800162015342,0.5936193389038193,-46.70413372836659
BL05000OP09,0.5,full,full,2016-05-01,2026-08-28,0.13458605502990095,0.7061667460063654,-57.15806909764645
BL05000OP09,0.5,A,A,2009-11-01,2026-08-28,0.09905699420542557,0.32484186578832164,-22.578487158289605
BL05000OP09,0.5,A,A,2010-05-01,2026-08-28,0.10224903598926272,0.3577877601083479,-25.553872411908518
BL05000OP09,0.5,A,A,2010-11-01,2026-08-28,0.10561504871170802,0.39384145779326096,-28.822640908155293
BL05000OP09,0.5,A,A,2011-05-01,2026-08-28,0.10925111608803806,0.4595414701476832,-35.029035405964514
BL05000OP09,0.5,A,A,2011-11-01,2026-08-28,0.11312419663716011,0.4343883464327476,-32.126414979558746
BL05000OP09,0.5,A,A,2012-05-01,2026-08-28,0.11730539008345131,0.44367740634309305,-32.637201625964174
BL05000OP09,0.5,A,A,2012-11-01,2026-08-28,0.12180719325679101,0.5076581123683039,-38.585091911151295
BL05000OP09,0.5,A,A,2013-05-01,2026-08-28,0.12664029738502824,0.5273589932880105,-40.07186959029823
BL05000OP09,0.5,A,A,2013-11-01,2026-08-28,0.13563611982658919,0.5092937156190205,-37.36575957924313
BL05000OP09,0.5,A,A,2014-05-01,2026-08-28,0.15072361506781418,0.5759327684444389,-42.520915337662466
BL05000OP09,0.5,A,A,2014-11-01,2026-08-28,0.10722198247292991,0.5567072004372051,-44.94852179642752
BL05000OP09,0.5,A,A,2015-05-01,2026-08-28,0.11219807525592729,0.470629288674965,-35.843121341903775
BL05000OP09,0.5,A,A,2015-11-01,2026-08-28,0.11765804409391212,0.5189473402580713,-40.12892961641592
BL05000OP09,0.5,A,A,2016-05-01,2026-08-28,0.12508149387302692,0.6848724220753288,-55.97909282023019
BL05000OP09,0.5,U,U1,2009-11-01,2026-08-28,0.055996903325754355,0.3119616586599627,-25.596475533420836
BL05000OP09,0.5,U,U1,2010-05-01,2026-08-28,0.057765015330816016,0.3304517123256816,-27.26866969948656
BL05000OP09,0.5,U,U1,2010-11-01,2026-08-28,0.05962714663004176,0.36702788546682275,-30.7400738836781
BL05000OP09,0.5,U,U1,2011-05-01,2026-08-28,0.061635983141079986,0.37877753793196245,-31.714155479088248
BL05000OP09,0.5,U,U1,2011-11-01,2026-08-28,0.06377270122330914,0.39724352268208585,-33.34708214587767
BL05000OP09,0.5,U,U1,2012-05-01,2026-08-28,0.06607587213250121,0.4308434851560927,-36.47676130235915
BL05000OP09,0.5,U,U1,2012-11-01,2026-08-28,0.06855157436348058,0.4921557722897547,-42.36041979262741
BL05000OP09,0.5,U,U1,2013-05-01,2026-08-28,0.07120479601508523,0.44414670570954784,-37.29419096944626
BL05000OP09,0.5,U,U1,2013-11-01,2026-08-28,0.07769004016064884,0.4619291289939713,-38.423908883332246
BL05000OP09,0.5,U,U1,2014-05-01,2026-08-28,0.08458104421082258,0.4991595689174846,-41.457852470666204
BL05000OP09,0.5,U,U1,2014-11-01,2026-08-28,0.0883008340189737,0.4916546887416475,-40.33538547226738
BL05000OP09,0.5,U,U1,2015-05-01,2026-08-28,0.092362646160977,0.4359014374770174,-34.35387913160404
BL05000OP09,0.5,U,U1,2015-11-01,2026-08-28,0.09681589300089022,0.4894689460621353,-39.26530530612451
BL05000OP09,0.5,U,U1,2016-05-01,2026-08-28,0.10289392753864557,0.5827175882869085,-47.98236607482629
BL06000OP09,0.6,full,full,2009-11-01,2026-08-28,0.2366125925972249,0.3171902906642554,-8.057769806703053
BL06000OP09,0.6,full,full,2010-05-01,2026-08-28,0.24470281425703666,0.42150631552147355,-17.680350126443688
BL06000OP09,0.6,full,full,2010-11-01,2026-08-28,0.25326570797917447,0.34762338931737813,-9.435768133820366
BL06000OP09,0.6,full,full,2011-05-01,2026-08-28,0.26255224086663476,0.31325227361749697,-5.070003275086221
BL06000OP09,0.6,full,full,2011-11-01,2026-08-28,0.27248599472780066,0.3323652934000796,-5.9879298672278924
BL06000OP09,0.6,full,full,2012-05-01,2026-08-28,0.2832585482709129,0.39847921911522177,-11.522067084430887
BL06000OP09,0.6,full,full,2012-11-01,2026-08-28,0.2920832625526182,0.5003010251284332,-20.821776257581504
BL06000OP09,0.6,full,full,2013-05-01,2026-08-28,0.2691989038925522,0.4931181239971951,-22.39192201046429
BL06000OP09,0.6,full,full,2013-11-01,2026-08-28,0.30314263065462344,0.41697297508389597,-11.383034442927254
BL06000OP09,0.6,full,full,2014-05-01,2026-08-28,0.31985732730384764,0.4929665032489996,-17.310917594515196
BL06000OP09,0.6,full,full,2014-11-01,2026-08-28,0.2841850616154875,0.5279156947520107,-24.37306331365232
BL06000OP09,0.6,full,full,2015-05-01,2026-08-28,0.2769006008240582,0.4970778116275161,-22.017721080345787
BL06000OP09,0.6,full,full,2015-11-01,2026-08-28,0.2913557621272458,0.5936193389038193,-30.226357677657354
BL06000OP09,0.6,full,full,2016-05-01,2026-08-28,0.3372199134652052,0.7061667460063654,-36.894683254116025
BL06000OP09,0.6,A,A,2009-11-01,2026-08-28,0.2102706260479983,0.32484186578832164,-11.457123974032335
BL06000OP09,0.6,A,A,2010-05-01,2026-08-28,0.21738339790128292,0.3577877601083479,-14.040436220706498
BL06000OP09,0.6,A,A,2010-11-01,2026-08-28,0.2249066306246299,0.39384145779326096,-16.893482716863105
BL06000OP09,0.6,A,A,2011-05-01,2026-08-28,0.2330597546536315,0.4595414701476832,-22.64817154940517
BL06000OP09,0.6,A,A,2011-11-01,2026-08-28,0.24177438051174693,0.4343883464327476,-19.261396592100066
BL06000OP09,0.6,A,A,2012-05-01,2026-08-28,0.25121707294644513,0.44367740634309305,-19.24603333966479
BL06000OP09,0.6,A,A,2012-11-01,2026-08-28,0.2598089497605096,0.5076581123683039,-24.784916260779433
BL06000OP09,0.6,A,A,2013-05-01,2026-08-28,0.2637263393334326,0.5273589932880105,-26.36326539545779
BL06000OP09,0.6,A,A,2013-11-01,2026-08-28,0.28525910630905416,0.5092937156190205,-22.403460930996633
BL06000OP09,0.6,A,A,2014-05-01,2026-08-28,0.2795666390103937,0.5759327684444389,-29.636612943404515
BL06000OP09,0.6,A,A,2014-11-01,2026-08-28,0.21426909747644807,0.5567072004372051,-34.24381029607571
BL06000OP09,0.6,A,A,2015-05-01,2026-08-28,0.21950686141671638,0.470629288674965,-25.112242725824863
BL06000OP09,0.6,A,A,2015-11-01,2026-08-28,0.23070300097869567,0.5189473402580713,-28.824433927937566
BL06000OP09,0.6,A,A,2016-05-01,2026-08-28,0.25992333005446966,0.6848724220753288,-42.49490920208592
BL06000OP09,0.6,U,U2,2009-11-01,2026-08-28,0.18102589570615812,0.310660846687294,-12.963495098113587
BL06000OP09,0.6,U,U2,2010-05-01,2026-08-28,0.18707490477922972,0.32448792794821224,-13.741302316898253
BL06000OP09,0.6,U,U2,2010-11-01,2026-08-28,0.19346806048770238,0.35603932540746186,-16.25712649197595
BL06000OP09,0.6,U,U2,2011-05-01,2026-08-28,0.20039081136452475,0.3781999526674562,-17.780914130293148
BL06000OP09,0.6,U,U2,2011-11-01,2026-08-28,0.20778384580342935,0.4036682446266544,-19.588439882322504
BL06000OP09,0.6,U,U2,2012-05-01,2026-08-28,0.2157870324643496,0.4297270378971816,-21.394000543283198
BL06000OP09,0.6,U,U2,2012-11-01,2026-08-28,0.22288018571365775,0.4859647207768094,-26.308453506315168
BL06000OP09,0.6,U,U2,2013-05-01,2026-08-28,0.22532786516913728,0.4351984266586977,-20.98705614895604
BL06000OP09,0.6,U,U2,2013-11-01,2026-08-28,0.24474382756850765,0.4460127665798468,-20.12689390113391
BL06000OP09,0.6,U,U2,2014-05-01,2026-08-28,0.23759977418692002,0.47424577648204647,-23.664600229512644
BL06000OP09,0.6,U,U2,2014-11-01,2026-08-28,0.17702865809485613,0.44988193746369043,-27.28532793688343
BL06000OP09,0.6,U,U2,2015-05-01,2026-08-28,0.1806771373043783,0.44762870219956663,-26.695156489518833
BL06000OP09,0.6,U,U2,2015-11-01,2026-08-28,0.18974252006816017,0.49859165071994394,-30.884913065178377
BL06000OP09,0.6,U,U2,2016-05-01,2026-08-28,0.21591016939039753,0.5827175882869085,-36.68074188965109
BL07000OP09,0.7,full,full,2009-11-01,2026-08-28,0.2868539020602241,0.3171902906642554,-3.0336388604031317
BL07000OP09,0.7,full,full,2010-05-01,2026-08-28,0.2968576437219297,0.42150631552147355,-12.464867179954386
BL07000OP09,0.7,full,full,2010-11-01,2026-08-28,0.30745914401618646,0.34762338931737813,-4.016424530119167
BL07000OP09,0.7,full,full,2011-05-01,2026-08-28,0.3189719241933624,0.31325227361749697,0.5719650575865431
BL07000OP09,0.7,full,full,2011-11-01,2026-08-28,0.3313046704102549,0.3323652934000796,-0.10606229898246777
BL07000OP09,0.7,full,full,2012-05-01,2026-08-28,0.3449853721820808,0.39847921911522177,-5.3493846933140965
BL07000OP09,0.7,full,full,2012-11-01,2026-08-28,0.37305639861486783,0.5003010251284332,-12.72446265135654
BL07000OP09,0.7,full,full,2013-05-01,2026-08-28,0.34796176479074625,0.4931181239971951,-14.515635920644886
BL07000OP09,0.7,full,full,2013-11-01,2026-08-28,0.3536822385848881,0.41697297508389597,-6.329073649900785
BL07000OP09,0.7,full,full,2014-05-01,2026-08-28,0.4062768744007734,0.4929665032489996,-8.668962884822617
BL07000OP09,0.7,full,full,2014-11-01,2026-08-28,0.4019028607303672,0.5279156947520107,-12.601283402164354
BL07000OP09,0.7,full,full,2015-05-01,2026-08-28,0.35724685303915993,0.4970778116275161,-13.983095858835615
BL07000OP09,0.7,full,full,2015-11-01,2026-08-28,0.37647437941527895,0.5936193389038193,-21.71449594885404
BL07000OP09,0.7,full,full,2016-05-01,2026-08-28,0.464725810217979,0.7061667460063654,-24.144093578838643
BL07000OP09,0.7,A,A,2009-11-01,2026-08-28,0.2663169973400161,0.32484186578832164,-5.852486844830551
BL07000OP09,0.7,A,A,2010-05-01,2026-08-28,0.27553086149555606,0.3577877601083479,-8.225689861279184
BL07000OP09,0.7,A,A,2010-11-01,2026-08-28,0.28529034006534215,0.39384145779326096,-10.855111772791881
BL07000OP09,0.7,A,A,2011-05-01,2026-08-28,0.29588300568629333,0.4595414701476832,-16.36584644613899
BL07000OP09,0.7,A,A,2011-11-01,2026-08-28,0.30722356492448344,0.4343883464327476,-12.716478150826415
BL07000OP09,0.7,A,A,2012-05-01,2026-08-28,0.31953289986053335,0.44367740634309305,-12.41445064825597
BL07000OP09,0.7,A,A,2012-11-01,2026-08-28,0.3513988499913878,0.5076581123683039,-15.625926237691612
BL07000OP09,0.7,A,A,2013-05-01,2026-08-28,0.3045701882822325,0.5273589932880105,-22.278880500577802
BL07000OP09,0.7,A,A,2013-11-01,2026-08-28,0.33525484759798396,0.5092937156190205,-17.403886802103653
BL07000OP09,0.7,A,A,2014-05-01,2026-08-28,0.37575923941628053,0.5759327684444389,-20.017352902815833
BL07000OP09,0.7,A,A,2014-11-01,2026-08-28,0.32070594369342387,0.5567072004372051,-23.600125674378127
BL07000OP09,0.7,A,A,2015-05-01,2026-08-28,0.2975561038463983,0.470629288674965,-17.307318482856672
BL07000OP09,0.7,A,A,2015-11-01,2026-08-28,0.3132152023470738,0.5189473402580713,-20.573213791099754
BL07000OP09,0.7,A,A,2016-05-01,2026-08-28,0.37748791521450187,0.6848724220753288,-30.738450686082697
BL07000OP09,0.7,U,U3,2009-11-01,2026-08-28,0.22399287329638562,0.33250492543901333,-10.851205214262771
BL07000OP09,0.7,U,U3,2010-05-01,2026-08-28,0.23161257197249374,0.3477661125241587,-11.615354055166494
BL07000OP09,0.7,U,U3,2010-11-01,2026-08-28,0.23967484733196232,0.3572355622456167,-11.75607149136544
BL07000OP09,0.7,U,U3,2011-05-01,2026-08-28,0.24841544900793489,0.36105605580968714,-11.264060680175225
BL07000OP09,0.7,U,U3,2011-11-01,2026-08-28,0.25776178710072206,0.40585591516228736,-14.80941280615653
BL07000OP09,0.7,U,U3,2012-05-01,2026-08-28,0.2678933425638357,0.4072689808279335,-13.937563826409782
BL07000OP09,0.7,U,U3,2012-11-01,2026-08-28,0.2900456518711718,0.45814787108601096,-16.810221921483915
BL07000OP09,0.7,U,U3,2013-05-01,2026-08-28,0.24981591743163767,0.4401491857455042,-19.033326831386653
BL07000OP09,0.7,U,U3,2013-11-01,2026-08-28,0.2806881709824687,0.46295390875179776,-18.22657377693291
BL07000OP09,0.7,U,U3,2014-05-01,2026-08-28,0.31252950448351213,0.47417919656882623,-16.16496920853141
BL07000OP09,0.7,U,U3,2014-11-01,2026-08-28,0.24628911938197162,0.45685544475712914,-21.056632537515753
BL07000OP09,0.7,U,U3,2015-05-01,2026-08-28,0.23375380768114562,0.3640128820491295,-13.02590743679839
BL07000OP09,0.7,U,U3,2015-11-01,2026-08-28,0.24574691056886833,0.4093044838323552,-16.355757326348687
BL07000OP09,0.7,U,U3,2016-05-01,2026-08-28,0.2975476787527349,0.5386266671115105,-24.107898835877563
BL07500OP09,0.75,full,full,2009-11-01,2026-08-28,0.34530223643917757,0.3171902906642554,2.8111945774922154
BL07500OP09,0.75,full,full,2010-05-01,2026-08-28,0.35761065930176006,0.42150631552147355,-6.389565621971349
BL07500OP09,0.75,full,full,2010-11-01,2026-08-28,0.3706728145120868,0.34762338931737813,2.304942519470865
BL07500OP09,0.75,full,full,2011-05-01,2026-08-28,0.3848789009606217,0.31325227361749697,7.162662734312475
BL07500OP09,0.75,full,full,2011-11-01,2026-08-28,0.4001210192188158,0.3323652934000796,6.775572581873623
BL07500OP09,0.75,full,full,2012-05-01,2026-08-28,0.3776973628133051,0.39847921911522177,-2.0781856301916646
BL07500OP09,0.75,full,full,2012-11-01,2026-08-28,0.3789316366825013,0.5003010251284332,-12.136938844593192
BL07500OP09,0.75,full,full,2013-05-01,2026-08-28,0.45547368812225053,0.4931181239971951,-3.7644435874944593
BL07500OP09,0.75,full,full,2013-11-01,2026-08-28,0.47282991288763854,0.41697297508389597,5.585693780374257
BL07500OP09,0.75,full,full,2014-05-01,2026-08-28,0.4722396348059299,0.4929665032489996,-2.07268684430697
BL07500OP09,0.75,full,full,2014-11-01,2026-08-28,0.49613249139902327,0.5279156947520107,-3.1783203352987455
BL07500OP09,0.75,full,full,2015-05-01,2026-08-28,0.4880340550699631,0.4970778116275161,-0.9043756557552962
BL07500OP09,0.75,full,full,2015-11-01,2026-08-28,0.4595596960270396,0.5936193389038193,-13.405964287677975
BL07500OP09,0.75,full,full,2016-05-01,2026-08-28,0.6035352615254199,0.7061667460063654,-10.263148448094551
BL07500OP09,0.75,A,A,2009-11-01,2026-08-28,0.3299453673856365,0.32484186578832164,0.5103501597314875
BL07500OP09,0.75,A,A,2010-05-01,2026-08-28,0.34164025493005346,0.3577877601083479,-1.6147505178294441
BL07500OP09,0.75,A,A,2010-11-01,2026-08-28,0.3540468166949695,0.39384145779326096,-3.979464109829145
BL07500OP09,0.75,A,A,2011-05-01,2026-08-28,0.3675347028951088,0.4595414701476832,-9.20067672525744
BL07500OP09,0.75,A,A,2011-11-01,2026-08-28,0.38200029074160446,0.4343883464327476,-5.238805569114313
BL07500OP09,0.75,A,A,2012-05-01,2026-08-28,0.40362558786701785,0.44367740634309305,-4.00518184760752
BL07500OP09,0.75,A,A,2012-11-01,2026-08-28,0.430536675590655,0.5076581123683039,-7.712143677764893
BL07500OP09,0.75,A,A,2013-05-01,2026-08-28,0.4107529489374788,0.5273589932880105,-11.660604435053168
BL07500OP09,0.75,A,A,2013-11-01,2026-08-28,0.43826841753656454,0.5092937156190205,-7.1025298082455945
BL07500OP09,0.75,A,A,2014-05-01,2026-08-28,0.47929436603320186,0.5759327684444389,-9.663840241123701
BL07500OP09,0.75,A,A,2014-11-01,2026-08-28,0.41574178771245984,0.5567072004372051,-14.096541272474528
BL07500OP09,0.75,A,A,2015-05-01,2026-08-28,0.39789440588674485,0.470629288674965,-7.273488278822016
BL07500OP09,0.75,A,A,2015-11-01,2026-08-28,0.4196256719184792,0.5189473402580713,-9.932166833959212
BL07500OP09,0.75,A,A,2016-05-01,2026-08-28,0.5015841839602999,0.6848724220753288,-18.328823811502893
BL07500OP09,0.75,U,U3,2009-11-01,2026-08-28,0.28132920625588276,0.33250492543901333,-5.1175719183130575
BL07500OP09,0.75,U,U3,2010-05-01,2026-08-28,0.29111942599264995,0.3477661125241587,-5.664668653150873
BL07500OP09,0.75,U,U3,2010-11-01,2026-08-28,0.3014932398634671,0.3572355622456167,-5.57423223821496
BL07500OP09,0.75,U,U3,2011-05-01,2026-08-28,0.31275713740859845,0.36105605580968714,-4.829891840108869
BL07500OP09,0.75,U,U3,2011-11-01,2026-08-28,0.32482141481650095,0.40585591516228736,-8.10345003457864
BL07500OP09,0.75,U,U3,2012-05-01,2026-08-28,0.3255814020358383,0.4072689808279335,-8.16875787920952
BL07500OP09,0.75,U,U3,2012-11-01,2026-08-28,0.36958607803561727,0.45814787108601096,-8.856179305039369
BL07500OP09,0.75,U,U3,2013-05-01,2026-08-28,0.3363898271541532,0.4401491857455042,-10.3759358591351
BL07500OP09,0.75,U,U3,2013-11-01,2026-08-28,0.36870596398790045,0.46295390875179776,-9.424794476389732
BL07500OP09,0.75,U,U3,2014-05-01,2026-08-28,0.40430285728160054,0.47417919656882623,-6.98763392872257
BL07500OP09,0.75,U,U3,2014-11-01,2026-08-28,0.3373374091086505,0.45685544475712914,-11.951803564847863
BL07500OP09,0.75,U,U3,2015-05-01,2026-08-28,0.31485929296213455,0.3640128820491295,-4.915358908699496
BL07500OP09,0.75,U,U3,2015-11-01,2026-08-28,0.33153928407904565,0.4093044838323552,-7.776519975330953
BL07500OP09,0.75,U,U3,2016-05-01,2026-08-28,0.39827772382758053,0.5386266671115105,-14.034894328393
BL08000OP09,0.8,full,full,2009-11-01,2026-08-28,0.3038128134537974,0.3171902906642554,-1.337747721045801
BL08000OP09,0.8,full,full,2010-05-01,2026-08-28,0.3144767054011688,0.42150631552147355,-10.702961012030476
BL08000OP09,0.8,full,full,2010-11-01,2026-08-28,0.3257824632951902,0.34762338931737813,-2.18409260221879
BL08000OP09,0.8,full,full,2011-05-01,2026-08-28,0.3380654275892183,0.31325227361749697,2.4813153971721347
BL08000OP09,0.8,full,full,2011-11-01,2026-08-28,0.3512293869202634,0.3323652934000796,1.8864093520183811
BL08000OP09,0.8,full,full,2012-05-01,2026-08-28,0.33522559144950126,0.39847921911522177,-6.325362766572051
BL08000OP09,0.8,full,full,2012-11-01,2026-08-28,0.48928447655213514,0.5003010251284332,-1.101654857629808
BL08000OP09,0.8,full,full,2013-05-01,2026-08-28,0.4467288763749746,0.4931181239971951,-4.638924762222052
BL08000OP09,0.8,full,full,2013-11-01,2026-08-28,0.4140914693486424,0.41697297508389597,-0.28815057352535867
BL08000OP09,0.8,full,full,2014-05-01,2026-08-28,0.5085095030348892,0.4929665032489996,1.5542999785889577
BL08000OP09,0.8,full,full,2014-11-01,2026-08-28,0.3795549691880966,0.5279156947520107,-14.83607255639141
BL08000OP09,0.8,full,full,2015-05-01,2026-08-28,0.4236484083902521,0.4970778116275161,-7.342940323726399
BL08000OP09,0.8,full,full,2015-11-01,2026-08-28,0.4550527472033372,0.5936193389038193,-13.856659170048214
BL08000OP09,0.8,full,full,2016-05-01,2026-08-28,0.4844431871979422,0.7061667460063654,-22.17235588084232
BL08000OP09,0.8,A,A,2009-11-01,2026-08-28,0.36419463759779847,0.32484186578832164,3.9352771809476828
BL08000OP09,0.8,A,A,2010-05-01,2026-08-28,0.37726552089310683,0.3577877601083479,1.9477760784758935
BL08000OP09,0.8,A,A,2010-11-01,2026-08-28,0.391142921404561,0.39384145779326096,-0.269853638869999
BL08000OP09,0.8,A,A,2011-05-01,2026-08-28,0.40624270716316113,0.4595414701476832,-5.3298762984522075
BL08000OP09,0.8,A,A,2011-11-01,2026-08-28,0.42245179959646406,0.4343883464327476,-1.1936546836283535
BL08000OP09,0.8,A,A,2012-05-01,2026-08-28,0.44994991517872873,0.44367740634309305,0.6272508835635682
BL08000OP09,0.8,A,A,2012-11-01,2026-08-28,0.45782638646845175,0.5076581123683039,-4.983172589985219
BL08000OP09,0.8,A,A,2013-05-01,2026-08-28,0.4218647260409649,0.5273589932880105,-10.549426724704558
BL08000OP09,0.8,A,A,2013-11-01,2026-08-28,0.469115995410869,0.5092937156190205,-4.017772020815147
BL08000OP09,0.8,A,A,2014-05-01,2026-08-28,0.5018828621061615,0.5759327684444389,-7.404990633827735
BL08000OP09,0.8,A,A,2014-11-01,2026-08-28,0.3719214663543866,0.5567072004372051,-18.47857340828185
BL08000OP09,0.8,A,A,2015-05-01,2026-08-28,0.37164374943596346,0.470629288674965,-9.898553923900156
BL08000OP09,0.8,A,A,2015-11-01,2026-08-28,0.39175135597237465,0.5189473402580713,-12.719598428569668
BL08000OP09,0.8,A,A,2016-05-01,2026-08-28,0.5125901882166488,0.6848724220753288,-17.228223385868002
BL08000OP09,0.8,U,U4,2009-11-01,2026-08-28,0.36419463759779847,0.32484186578832164,3.9352771809476828
BL08000OP09,0.8,U,U4,2010-05-01,2026-08-28,0.37726552089310683,0.3577877601083479,1.9477760784758935
BL08000OP09,0.8,U,U4,2010-11-01,2026-08-28,0.391142921404561,0.39384145779326096,-0.269853638869999
BL08000OP09,0.8,U,U4,2011-05-01,2026-08-28,0.40624270716316113,0.4595414701476832,-5.3298762984522075
BL08000OP09,0.8,U,U4,2011-11-01,2026-08-28,0.42245179959646406,0.4343883464327476,-1.1936546836283535
BL08000OP09,0.8,U,U4,2012-05-01,2026-08-28,0.44994991517872873,0.44367740634309305,0.6272508835635682
BL08000OP09,0.8,U,U4,2012-11-01,2026-08-28,0.45782638646845175,0.5076581123683039,-4.983172589985219
BL08000OP09,0.8,U,U4,2013-05-01,2026-08-28,0.4218647260409649,0.5273589932880105,-10.549426724704558
BL08000OP09,0.8,U,U4,2013-11-01,2026-08-28,0.469115995410869,0.5092937156190205,-4.017772020815147
BL08000OP09,0.8,U,U4,2014-05-01,2026-08-28,0.5018828621061615,0.5759327684444389,-7.404990633827735
BL08000OP09,0.8,U,U4,2014-11-01,2026-08-28,0.3719214663543866,0.5567072004372051,-18.47857340828185
