security_code,security_name,report_date,available_at,base_path,BASE:status,BASE:intrinsic_value,BASE:reinvestment_rate,BASE:g0,BASE:roic_g_source,BASE:wc_first_period,BASE:wc_last_period,BASE:wc_start,BASE:wc_end,BASE:wc_change,BASE:wc_financing_start,BASE:wc_financing_end,BASE:wc_conflict_years,WCREP:status,WCREP:intrinsic_value,WCREP:reinvestment_rate,WCREP:g0,WCREP:roic_g_source,WCREP:wc_first_period,WCREP:wc_last_period,WCREP:wc_start,WCREP:wc_end,WCREP:wc_change,WCREP:wc_financing_start,WCREP:wc_financing_end,WCREP:wc_conflict_years,WCOP:status,WCOP:intrinsic_value,WCOP:reinvestment_rate,WCOP:g0,WCOP:roic_g_source,WCOP:wc_first_period,WCOP:wc_last_period,WCOP:wc_start,WCOP:wc_end,WCOP:wc_change,WCOP:wc_financing_start,WCOP:wc_financing_end,WCOP:wc_conflict_years,WCREP_vs_BASE,WCOP_vs_BASE,WCOP_vs_WCREP
002003,伟星股份,2026-06-30,2026-08-27,growth,ok,6.9486,0.7637,0.0838,capital,2021-12-31,2025-12-31,436936876.2700,457151243.6700,20214367.4000,53220521.0700,69336970.6500,0,ok,6.9666,0.7754,0.0851,capital,2021-12-31,2025-12-31,373133823.4100,422679001.4300,49545178.0200,53220521.0700,69336970.6500,0,ok,6.9766,0.7818,0.0858,capital,2021-12-31,2025-12-31,426354344.4800,492015972.0800,65661627.6000,53220521.0700,69336970.6500,0,0.0025904498747948423,0.004029588694125508,0.0014354204346453958
002027,分众传媒,2026-06-30,2026-08-19,growth,ok,2.3434,-0.5506,0.0000,none,2021-12-31,2025-12-31,3671013064.8200,5913692126.4100,2242679061.5900,116362747.9300,129952619.9200,0,ok,2.3434,-0.5949,0.0000,none,2021-12-31,2025-12-31,898146253.8000,2430004103.3000,1531857849.5000,116362747.9300,129952619.9200,0,ok,2.3434,-0.5941,0.0000,none,2021-12-31,2025-12-31,1014509001.7300,2559956723.2200,1545447721.4900,116362747.9300,129952619.9200,0,0.0,0.0,0.0
002032,苏泊尔,2026-06-30,2026-08-28,growth,ok,17.7099,-0.2659,0.0000,trailing,2021-12-31,2025-12-31,-983895658.3200,-3160711339.4900,-2176815681.1700,3312225.6200,273842313.4600,0,ok,17.7099,-0.2034,0.0000,trailing,2021-12-31,2025-12-31,514229825.6100,-1123515292.6300,-1637745118.2400,3312225.6200,273842313.4600,0,ok,17.7099,-0.1720,0.0000,trailing,2021-12-31,2025-12-31,517542051.2300,-849672979.1700,-1367215030.4000,3312225.6200,273842313.4600,0,0.0,0.0,0.0
002050,三花智控,2026-06-30,2026-08-27,growth,ok,15.5793,0.7536,0.1734,capital,2021-12-31,2025-12-31,4275266222.5900,6079297393.8300,1804031171.2400,0.0000,0.0000,0,ok,15.5366,0.7349,0.1691,capital,2021-12-31,2025-12-31,3721004786.9500,5275312704.2100,1554307917.2600,0.0000,0.0000,0,ok,15.5366,0.7349,0.1691,capital,2021-12-31,2025-12-31,3721004786.9500,5275312704.2100,1554307917.2600,0.0000,0.0000,0,-0.002740816339630192,-0.002740816339630192,0.0
002128,电投能源,2026-06-30,2026-08-26,growth,ok,27.7337,,0.0000,entity_reset_none,2025-12-31,2025-12-31,-1240949666.2500,-1240949666.2500,0.0000,901157762.7100,901157762.7100,0,ok,27.7337,,0.0000,entity_reset_none,2025-12-31,2025-12-31,317918105.2300,317918105.2300,0.0000,901157762.7100,901157762.7100,0,ok,27.7337,,0.0000,entity_reset_none,2025-12-31,2025-12-31,1219075867.9400,1219075867.9400,0.0000,901157762.7100,901157762.7100,0,0.0,0.0,0.0
002138,顺络电子,2026-06-30,2026-07-31,growth,ok,17.3442,0.9686,0.1038,capital,2021-12-31,2025-12-31,1902953592.3700,3732386881.2500,1829433288.8800,523029841.2100,810669121.8900,0,ok,16.4286,0.7395,0.0792,capital,2021-12-31,2025-12-31,1329438066.9300,2317398359.0800,987960292.1500,523029841.2100,810669121.8900,0,ok,16.7355,0.8178,0.0876,capital,2021-12-31,2025-12-31,1852467908.1400,3128067480.9700,1275599572.8300,523029841.2100,810669121.8900,0,-0.05278998166534066,-0.03509530563531338,0.018680837076805012
002142,宁波银行,2026-06-30,2026-08-20,equity_fallback,ok,63.9508,,0.1208,,,,,,,,,0,ok,63.9508,,0.1208,,,,,,,,,0,ok,63.9508,,0.1208,,,,,,,,,0,0.0,0.0,0.0
002179,中航光电,2026-06-30,2026-08-27,growth,ok,19.2784,0.9427,0.0170,capital,2021-12-31,2025-12-31,7533826558.7500,14366273812.6200,6832447253.8700,1223732.2700,38320166.8300,0,ok,19.1532,0.7393,0.0133,capital,2021-12-31,2025-12-31,5469963088.7300,9768884740.0000,4298921651.2700,1223732.2700,38320166.8300,0,ok,19.1550,0.7423,0.0134,capital,2021-12-31,2025-12-31,5471186821.0000,9807204906.8300,4336018085.8300,1223732.2700,38320166.8300,0,-0.006494314880903129,-0.006400946136608909,9.397907399311123e-05
002222,福晶科技,2026-06-30,2026-08-28,growth,ok,8.9871,0.9971,0.1403,capital,2021-12-31,2025-12-31,704067812.1400,1121556796.7100,417488984.5700,0.0000,874961.8800,0,ok,8.5413,0.8262,0.1163,capital,2021-12-31,2025-12-31,431702973.1700,678785685.4500,247082712.2800,0.0000,874961.8800,0,ok,8.5435,0.8271,0.1164,capital,2021-12-31,2025-12-31,431702973.1700,679660647.3300,247957674.1600,0.0000,874961.8800,0,-0.049604433020662975,-0.049359637702929726,0.0002575720323605424
002262,恩华药业,2026-06-30,2026-08-18,growth,ok,15.4531,0.4658,0.0671,capital,2021-12-31,2025-12-31,1284697524.2300,2446239492.3300,1161541968.1000,43846588.3700,95367480.9900,0,ok,15.0144,0.3433,0.0494,capital,2021-12-31,2025-12-31,875232539.8400,1531321653.0400,656089113.2000,43846588.3700,95367480.9900,0,ok,15.0583,0.3558,0.0512,capital,2021-12-31,2025-12-31,919079128.2100,1626689134.0300,707610005.8200,43846588.3700,95367480.9900,0,-0.02838912580647246,-0.025548271867780525,0.0029238597612957218
