group,arm,metric,delta_vs_dedup,positive_starts
full,WCOPM15SEP09,滚动5年回撤中位,-0.006279426509528341,5
full,WCOPM15SEP09,滚动5年Calmar中位,-0.05328352570151218,6
full,WCOPM15SEP09,滚动5年Sharpe中位,-0.07399805089566497,5
full,WCOPM15SEP09,滚动5年为负的窗口占比,0.0,2
full,WCOPM15SEP09,滚动5年窗口数,0.0,0
full,WCOPM15SEP09,互不重叠5年块中位,-0.02373151973103288,5
full,WCOPM15SEP09,滚动10年年化中位,-0.03271062410813885,5
full,WCOPM15SEP09,滚动10年窗口数,0.0,0
full,WCOPM15SEP09,逐年收益中位,-0.03845413940385001,4
full,WCOPM15SEP09,逐年为正比例,0.0,2
full,WCOPM15SEP09,逐年最差,-0.00032900099184002274,4
full,WCOPM15SEP09,完整自然年数,0.0,0
full,WCOPM15SEP09,强平次数,0.0,0
full,WCOPM15SEP09,最低担保比例,0.0023750315342571104,8
full,WCOPM15SEP09,最低股票同跌缓冲,0.0010647139456743115,8
full,WCOPM15SEP09,最低总资产冲击缓冲,0.001064713945674256,8
full,WCOPM15SEP09,rf覆盖率,0.0,0
full,WCOPM15SEP09,年化_交易日口径,-0.024784339876360417,3
full,WCOPM15SEP09,最低担保比例日,0.0,2
full,WCOPM15SEP09,最低股票同跌缓冲日,0.0,2
full,WCOPM15SEP09,滚动5年年化最差窗口末日,0.0,2
full,WCOPM15SEP09,最大回撤起日,0.0,0
full,WCOPM15SEP09,最大回撤止日,0.0,3
full,WCOPM15SEP09,末次净值日,0.0,0
full,WCOPM16SEP09,年化,0.013387051321525845,8
full,WCOPM16SEP09,最大回撤,-0.009844979937908505,5
full,WCOPM16SEP09,Sharpe,0.02703440021773712,8
full,WCOPM16SEP09,Calmar,0.04625183498062341,9
full,WCOPM16SEP09,平均仓位,-0.009181309381125491,1
full,WCOPM16SEP09,年均换手,0.23430228592108637,10
full,WCOPM16SEP09,持仓数中位,0.0,5
full,WCOPM16SEP09,单票权重中位,-0.0017039477841125916,4
full,WCOPM16SEP09,单票权重P90,-0.026869956416248397,2
full,WCOPM16SEP09,单票权重最大,-0.04975801873609581,3
full,WCOPM16SEP09,前三权重中位,-0.006498383042845446,3
full,WCOPM16SEP09,单票超60%天数占比,-0.004504050070685772,5
full,WCOPM16SEP09,滚动3年年化中位,0.006687995357336773,8
full,WCOPM16SEP09,滚动3年回撤中位,0.003939778153516593,9
full,WCOPM16SEP09,滚动3年Calmar中位,-0.01867419643463708,5
full,WCOPM16SEP09,滚动3年Sharpe中位,0.009739837818097619,8
full,WCOPM16SEP09,滚动3年为负的窗口占比,0.0,3
full,WCOPM16SEP09,滚动5年年化中位,-0.010646926869169793,6
full,WCOPM16SEP09,滚动5年年化P25,0.010214341071762667,8
full,WCOPM16SEP09,滚动5年年化最差,-0.0024935715933595004,6
full,WCOPM16SEP09,滚动5年回撤中位,-0.0035341588254585443,5
full,WCOPM16SEP09,滚动5年Calmar中位,0.0009535342139628256,7
full,WCOPM16SEP09,滚动5年Sharpe中位,-0.003360384199969757,6
full,WCOPM16SEP09,滚动5年为负的窗口占比,0.0,2
full,WCOPM16SEP09,滚动5年窗口数,0.0,0
full,WCOPM16SEP09,互不重叠5年块中位,0.02505988426337674,9
full,WCOPM16SEP09,滚动10年年化中位,0.0076734787706621566,9
full,WCOPM16SEP09,滚动10年窗口数,0.0,0
full,WCOPM16SEP09,逐年收益中位,-0.024599852086970186,4
full,WCOPM16SEP09,逐年为正比例,0.0,2
full,WCOPM16SEP09,逐年最差,0.014451054052391055,8
full,WCOPM16SEP09,完整自然年数,0.0,0
full,WCOPM16SEP09,强平次数,0.0,0
full,WCOPM16SEP09,最低担保比例,0.0016932740948962799,7
full,WCOPM16SEP09,最低股票同跌缓冲,0.0006487517383341468,7
full,WCOPM16SEP09,最低总资产冲击缓冲,0.000648751738334119,7
full,WCOPM16SEP09,rf覆盖率,0.0,0
full,WCOPM16SEP09,年化_交易日口径,0.013442106585587199,8
full,WCOPM16SEP09,最低担保比例日,0.0,2
full,WCOPM16SEP09,最低股票同跌缓冲日,0.0,2
full,WCOPM16SEP09,滚动5年年化最差窗口末日,0.0,5
full,WCOPM16SEP09,最大回撤起日,0.0,2
full,WCOPM16SEP09,最大回撤止日,0.0,2
full,WCOPM16SEP09,末次净值日,0.0,0
full,WCOPRAWSEP09,年化,-0.0053858928986876276,6
full,WCOPRAWSEP09,最大回撤,0.0,3
full,WCOPRAWSEP09,Sharpe,-0.006519357668976322,6
full,WCOPRAWSEP09,Calmar,-0.0006767614722367199,7
full,WCOPRAWSEP09,平均仓位,0.000609936677200773,8
full,WCOPRAWSEP09,年均换手,0.06008532765324359,8
full,WCOPRAWSEP09,持仓数中位,0.0,4
full,WCOPRAWSEP09,单票权重中位,-0.0011712669034303902,6
full,WCOPRAWSEP09,单票权重P90,0.0004822132933194889,7
full,WCOPRAWSEP09,单票权重最大,0.0,2
full,WCOPRAWSEP09,前三权重中位,0.004986567014675258,9
full,WCOPRAWSEP09,单票超60%天数占比,0.0026867963152507612,7
full,WCOPRAWSEP09,滚动3年年化中位,-0.004767501707739541,6
full,WCOPRAWSEP09,滚动3年回撤中位,-0.00048702753822510436,5
full,WCOPRAWSEP09,滚动3年Calmar中位,-0.0035809461615970983,7
full,WCOPRAWSEP09,滚动3年Sharpe中位,-0.005316642644221492,4
full,WCOPRAWSEP09,滚动3年为负的窗口占比,0.0,2
full,WCOPRAWSEP09,滚动5年年化中位,0.0038373528843729243,8
full,WCOPRAWSEP09,滚动5年年化P25,0.0032381982798846964,9
full,WCOPRAWSEP09,滚动5年年化最差,2.8311739370456834e-05,8
full,WCOPRAWSEP09,滚动5年回撤中位,0.0,6
full,WCOPRAWSEP09,滚动5年Calmar中位,-0.0018184713916215012,7
full,WCOPRAWSEP09,滚动5年Sharpe中位,0.0003046977068547063,8
full,WCOPRAWSEP09,滚动5年为负的窗口占比,0.0,1
full,WCOPRAWSEP09,滚动5年窗口数,0.0,0
full,WCOPRAWSEP09,互不重叠5年块中位,-0.006652345164558315,6
full,WCOPRAWSEP09,滚动10年年化中位,-0.003036274609202194,5
full,WCOPRAWSEP09,滚动10年窗口数,0.0,0
full,WCOPRAWSEP09,逐年收益中位,-0.0007407373718448795,7
full,WCOPRAWSEP09,逐年为正比例,0.0,1
full,WCOPRAWSEP09,逐年最差,0.0,0
full,WCOPRAWSEP09,完整自然年数,0.0,0
full,WCOPRAWSEP09,强平次数,0.0,0
full,WCOPRAWSEP09,最低担保比例,0.0,4
full,WCOPRAWSEP09,最低股票同跌缓冲,0.0,4
full,WCOPRAWSEP09,最低总资产冲击缓冲,0.0,4
full,WCOPRAWSEP09,rf覆盖率,0.0,0
full,WCOPRAWSEP09,年化_交易日口径,-0.005407441056248241,6
full,WCOPRAWSEP09,最低担保比例日,0.0,2
full,WCOPRAWSEP09,最低股票同跌缓冲日,0.0,2
full,WCOPRAWSEP09,滚动5年年化最差窗口末日,0.0,2
full,WCOPRAWSEP09,最大回撤起日,0.0,1
full,WCOPRAWSEP09,最大回撤止日,0.0,3
full,WCOPRAWSEP09,末次净值日,0.0,0
A,WCOPM14SEP09,年化,-0.008543333864067026,5
A,WCOPM14SEP09,最大回撤,-0.00192272753366024,5
A,WCOPM14SEP09,Sharpe,0.00499301865684687,9
A,WCOPM14SEP09,Calmar,0.009878481704410302,8
A,WCOPM14SEP09,平均仓位,-0.01385583011174929,2
A,WCOPM14SEP09,年均换手,-0.11796000574440235,4
A,WCOPM14SEP09,持仓数中位,0.0,0
A,WCOPM14SEP09,单票权重中位,-0.0031589452668586704,4
A,WCOPM14SEP09,单票权重P90,-0.024340046557261186,3
A,WCOPM14SEP09,单票权重最大,-0.015224932959754411,5
A,WCOPM14SEP09,前三权重中位,0.005734531055848091,8
A,WCOPM14SEP09,单票超60%天数占比,-0.009817104385531794,5
A,WCOPM14SEP09,滚动3年年化中位,-0.015818879464373214,4
A,WCOPM14SEP09,滚动3年回撤中位,-0.019892856542468362,5
A,WCOPM14SEP09,滚动3年Calmar中位,0.007803689285039994,9
A,WCOPM14SEP09,滚动3年Sharpe中位,-0.017598798758162615,6
A,WCOPM14SEP09,滚动3年为负的窗口占比,0.0,0
A,WCOPM14SEP09,滚动5年年化中位,-0.023941796764357925,4
A,WCOPM14SEP09,滚动5年年化P25,-0.0038896078088035413,7
A,WCOPM14SEP09,滚动5年年化最差,-0.009101210945570926,6
A,WCOPM14SEP09,滚动5年回撤中位,0.012149768949746897,8
A,WCOPM14SEP09,滚动5年Calmar中位,-0.02424515603410926,5
A,WCOPM14SEP09,滚动5年Sharpe中位,0.0034235723647854654,7
A,WCOPM14SEP09,滚动5年为负的窗口占比,0.0,1
A,WCOPM14SEP09,滚动5年窗口数,0.0,0
A,WCOPM14SEP09,互不重叠5年块中位,-0.014998624735330701,5
A,WCOPM14SEP09,滚动10年年化中位,-0.016498497620544783,5
A,WCOPM14SEP09,滚动10年窗口数,0.0,0
A,WCOPM14SEP09,逐年收益中位,-0.03640045916418255,3
A,WCOPM14SEP09,逐年为正比例,0.0,0
A,WCOPM14SEP09,逐年最差,0.018812289064591148,11
A,WCOPM14SEP09,完整自然年数,0.0,0
A,WCOPM14SEP09,强平次数,0.0,0
A,WCOPM14SEP09,最低担保比例,0.003725886151628832,7
A,WCOPM14SEP09,最低股票同跌缓冲,0.001824090580624202,7
A,WCOPM14SEP09,最低总资产冲击缓冲,0.0018240905806241603,7
A,WCOPM14SEP09,rf覆盖率,0.0,0
A,WCOPM14SEP09,年化_交易日口径,-0.008582739626911584,5
A,WCOPM14SEP09,最低担保比例日,0.0,3
A,WCOPM14SEP09,最低股票同跌缓冲日,0.0,3
A,WCOPM14SEP09,滚动5年年化最差窗口末日,0.0,2
A,WCOPM14SEP09,最大回撤起日,0.0,1
A,WCOPM14SEP09,最大回撤止日,0.0,4
A,WCOPM14SEP09,末次净值日,0.0,0
A,WCOPM15SEP09,年化,-0.007326654255128351,5
A,WCOPM15SEP09,最大回撤,-0.008213534293176283,2
A,WCOPM15SEP09,Sharpe,0.00953348307869395,9
A,WCOPM15SEP09,Calmar,0.0030478984865729974,8
A,WCOPM15SEP09,平均仓位,-0.013606231805427416,2
A,WCOPM15SEP09,年均换手,-0.28348415806902993,3
A,WCOPM15SEP09,持仓数中位,0.0,0
A,WCOPM15SEP09,单票权重中位,-0.0029992474437701144,2
A,WCOPM15SEP09,单票权重P90,-0.01676641748823343,3
A,WCOPM15SEP09,单票权重最大,-0.016832837013043722,5
A,WCOPM15SEP09,前三权重中位,0.008221488764734497,10
A,WCOPM15SEP09,单票超60%天数占比,-0.015081995676139603,3
A,WCOPM15SEP09,滚动3年年化中位,-0.01669384663280049,3
A,WCOPM15SEP09,滚动3年回撤中位,-0.0018632364707737437,7
A,WCOPM15SEP09,滚动3年Calmar中位,-0.01008505474159932,6
A,WCOPM15SEP09,滚动3年Sharpe中位,-0.02995918583513224,4
A,WCOPM15SEP09,滚动3年为负的窗口占比,0.0,0
A,WCOPM15SEP09,滚动5年年化中位,-0.030421174050805688,4
A,WCOPM15SEP09,滚动5年年化P25,-0.004262811647837261,6
A,WCOPM15SEP09,滚动5年年化最差,0.0053148350803021716,9
A,WCOPM15SEP09,滚动5年回撤中位,0.012851649261782172,9
A,WCOPM15SEP09,滚动5年Calmar中位,-0.0769701335173566,5
A,WCOPM15SEP09,滚动5年Sharpe中位,-0.031742802279461635,5
A,WCOPM15SEP09,滚动5年为负的窗口占比,0.0,0
A,WCOPM15SEP09,滚动5年窗口数,0.0,0
A,WCOPM15SEP09,互不重叠5年块中位,-0.021271943419964245,3
A,WCOPM15SEP09,滚动10年年化中位,-0.016454078784854942,4
A,WCOPM15SEP09,滚动10年窗口数,0.0,0
A,WCOPM15SEP09,逐年收益中位,-0.06056175114318646,1
A,WCOPM15SEP09,逐年为正比例,0.0,1
A,WCOPM15SEP09,逐年最差,0.035494365984804266,13
A,WCOPM15SEP09,完整自然年数,0.0,0
A,WCOPM15SEP09,强平次数,0.0,0
A,WCOPM15SEP09,最低担保比例,0.009421760751136543,8
A,WCOPM15SEP09,最低股票同跌缓冲,0.0049428475448692055,8
A,WCOPM15SEP09,最低总资产冲击缓冲,0.004942847544869289,8
A,WCOPM15SEP09,rf覆盖率,0.0,0
A,WCOPM15SEP09,年化_交易日口径,-0.007354193805792497,5
A,WCOPM15SEP09,最低担保比例日,0.0,3
A,WCOPM15SEP09,最低股票同跌缓冲日,0.0,3
A,WCOPM15SEP09,滚动5年年化最差窗口末日,0.0,1
A,WCOPM15SEP09,最大回撤起日,0.0,1
A,WCOPM15SEP09,最大回撤止日,0.0,2
A,WCOPM15SEP09,末次净值日,0.0,0
A,WCOPM16SEP09,年化,-0.008263020093597251,3
A,WCOPM16SEP09,最大回撤,-0.008229724244154302,5
A,WCOPM16SEP09,Sharpe,0.010628149042227975,8
A,WCOPM16SEP09,Calmar,0.005083744166920534,8
A,WCOPM16SEP09,平均仓位,-0.013390027426164797,3
A,WCOPM16SEP09,年均换手,-0.3115934046613531,0
A,WCOPM16SEP09,持仓数中位,0.0,2
A,WCOPM16SEP09,单票权重中位,-0.004707155919370265,2
A,WCOPM16SEP09,单票权重P90,-0.01863902600955708,2
A,WCOPM16SEP09,单票权重最大,-0.03656474892754408,3
A,WCOPM16SEP09,前三权重中位,-0.03280662880017282,0
A,WCOPM16SEP09,单票超60%天数占比,-0.03267919627240495,1
A,WCOPM16SEP09,滚动3年年化中位,-0.02338859962251405,3
A,WCOPM16SEP09,滚动3年回撤中位,-0.03150951498854626,6
A,WCOPM16SEP09,滚动3年Calmar中位,-0.029686360900212316,4
A,WCOPM16SEP09,滚动3年Sharpe中位,-0.02350015217022855,5
A,WCOPM16SEP09,滚动3年为负的窗口占比,0.0,2
A,WCOPM16SEP09,滚动5年年化中位,-0.02508914034132248,3
A,WCOPM16SEP09,滚动5年年化P25,-0.00785729441137284,5
A,WCOPM16SEP09,滚动5年年化最差,-0.0009297914718527922,7
A,WCOPM16SEP09,滚动5年回撤中位,0.012406460043975276,8
A,WCOPM16SEP09,滚动5年Calmar中位,-0.06087947193518822,2
A,WCOPM16SEP09,滚动5年Sharpe中位,-0.011939981110602071,4
A,WCOPM16SEP09,滚动5年为负的窗口占比,0.0,0
A,WCOPM16SEP09,滚动5年窗口数,0.0,0
A,WCOPM16SEP09,互不重叠5年块中位,-0.019436569210632915,2
A,WCOPM16SEP09,滚动10年年化中位,-0.015802030001538903,3
A,WCOPM16SEP09,滚动10年窗口数,0.0,0
A,WCOPM16SEP09,逐年收益中位,-0.0525982313838661,3
A,WCOPM16SEP09,逐年为正比例,0.0,2
A,WCOPM16SEP09,逐年最差,0.03352842232948311,12
A,WCOPM16SEP09,完整自然年数,0.0,0
A,WCOPM16SEP09,强平次数,0.0,0
A,WCOPM16SEP09,最低担保比例,0.012079932624815326,8
A,WCOPM16SEP09,最低股票同跌缓冲,0.005140540450481859,8
A,WCOPM16SEP09,最低总资产冲击缓冲,0.005140540450481956,8
A,WCOPM16SEP09,rf覆盖率,0.0,0
A,WCOPM16SEP09,年化_交易日口径,-0.008295306339796915,3
A,WCOPM16SEP09,最低担保比例日,0.0,3
A,WCOPM16SEP09,最低股票同跌缓冲日,0.0,3
A,WCOPM16SEP09,滚动5年年化最差窗口末日,0.0,1
A,WCOPM16SEP09,最大回撤起日,0.0,1
A,WCOPM16SEP09,最大回撤止日,0.0,3
A,WCOPM16SEP09,末次净值日,0.0,0
A,WCOPRAWSEP09,年化,0.013692226926519946,11
A,WCOPRAWSEP09,最大回撤,0.0,1
A,WCOPRAWSEP09,Sharpe,0.024282416612583735,11
A,WCOPRAWSEP09,Calmar,0.022862236217767923,12
A,WCOPRAWSEP09,平均仓位,0.0034256847911928734,12
A,WCOPRAWSEP09,年均换手,0.04629162619797844,9
A,WCOPRAWSEP09,持仓数中位,0.0,1
A,WCOPRAWSEP09,单票权重中位,0.00022120668667829912,7
A,WCOPRAWSEP09,单票权重P90,0.002776081206174452,8
A,WCOPRAWSEP09,单票权重最大,0.0,5
A,WCOPRAWSEP09,前三权重中位,0.012137923966135444,11
A,WCOPRAWSEP09,单票超60%天数占比,0.0062881279244609845,10
A,WCOPRAWSEP09,滚动3年年化中位,0.006236280662944571,11
A,WCOPRAWSEP09,滚动3年回撤中位,0.0,3
A,WCOPRAWSEP09,滚动3年Calmar中位,0.05697067522559629,10
A,WCOPRAWSEP09,滚动3年Sharpe中位,0.009305074701954186,8
A,WCOPRAWSEP09,滚动3年为负的窗口占比,0.0,0
A,WCOPRAWSEP09,滚动5年年化中位,0.01178569138716179,11
A,WCOPRAWSEP09,滚动5年年化P25,0.008891404799019953,11
A,WCOPRAWSEP09,滚动5年年化最差,0.0,5
A,WCOPRAWSEP09,滚动5年回撤中位,0.0,4
A,WCOPRAWSEP09,滚动5年Calmar中位,0.03345585408191776,11
A,WCOPRAWSEP09,滚动5年Sharpe中位,0.02468900536683566,11
A,WCOPRAWSEP09,滚动5年为负的窗口占比,0.0,0
A,WCOPRAWSEP09,滚动5年窗口数,0.0,0
A,WCOPRAWSEP09,互不重叠5年块中位,0.017467416696316684,11
A,WCOPRAWSEP09,滚动10年年化中位,0.01747933667716728,12
A,WCOPRAWSEP09,滚动10年窗口数,0.0,0
A,WCOPRAWSEP09,逐年收益中位,-0.007443408911767535,5
A,WCOPRAWSEP09,逐年为正比例,0.0,0
A,WCOPRAWSEP09,逐年最差,0.0,2
A,WCOPRAWSEP09,完整自然年数,0.0,0
A,WCOPRAWSEP09,强平次数,0.0,0
A,WCOPRAWSEP09,最低担保比例,0.0,4
A,WCOPRAWSEP09,最低股票同跌缓冲,0.0,4
A,WCOPRAWSEP09,最低总资产冲击缓冲,0.0,4
A,WCOPRAWSEP09,rf覆盖率,0.0,0
A,WCOPRAWSEP09,年化_交易日口径,0.013762464232177085,11
A,WCOPRAWSEP09,最低担保比例日,0.0,1
A,WCOPRAWSEP09,最低股票同跌缓冲日,0.0,1
A,WCOPRAWSEP09,滚动5年年化最差窗口末日,0.0,0
A,WCOPRAWSEP09,最大回撤起日,0.0,0
A,WCOPRAWSEP09,最大回撤止日,0.0,0
A,WCOPRAWSEP09,末次净值日,0.0,0
