security_code,security_name,report_date,legacy_wc,dedup_wc,operating_wc,financing_receivables,receivable_basis,payable_basis
603508,思维列控,2023-12-31,1678967055.9200003,946570210.9099998,1047071129.8399999,100500918.93,aggregate,aggregate
603508,思维列控,2022-12-31,1416506260.6399999,804371717.6600001,914422108.3000001,110050390.64,aggregate,aggregate
603508,思维列控,2021-12-31,1275011064.89,726225935.73,786646620.8000001,60420685.07,aggregate,aggregate
603508,思维列控,2020-12-31,595406642.5799999,372400917.52,460747487.31,88346569.79,aggregate,aggregate
603606,东方电缆,2025-12-31,1677273060.539999,1601918214.7800002,1852130723.65,250212508.87,aggregate,aggregate
603606,东方电缆,2024-12-31,2118764957.9499989,1463016373.210001,1612563760.420001,149547387.21,aggregate,aggregate
603606,东方电缆,2023-12-31,2687041776.749997,2251664571.04,2317316023.33,65651452.29,aggregate,aggregate
603606,东方电缆,2022-12-31,2741661858.0099993,2048426500.06,2082325930.9299998,33899430.87,aggregate,aggregate
603606,东方电缆,2021-12-31,2307070829.080001,1687114697.2100003,1747320658.9400003,60205961.73,aggregate,aggregate
603606,东方电缆,2020-12-31,1909361094.1100001,1074779489.95,1187751398.15,112971908.2,aggregate,aggregate
605499,东鹏饮料,2025-12-31,-8515070538.110001,-7316953221.940001,-7316953221.940001,0.0,aggregate,aggregate
605499,东鹏饮料,2024-12-31,-6627258669.440001,-5443238416.3,-5443238416.3,0.0,aggregate,aggregate
605499,东鹏饮料,2023-12-31,-4096482883.96,-3247478835.88,-3247478835.88,0.0,aggregate,aggregate
605499,东鹏饮料,2022-12-31,-2850620983.03,-2224178608.09,-2224178608.09,0.0,aggregate,aggregate
605499,东鹏饮料,2021-12-31,-2226183894.17,-1696368830.6899998,-1696368830.6899998,0.0,aggregate,aggregate
605499,东鹏饮料,2020-12-31,-1292763676.0,-1007635882.6,-1007635882.6,0.0,aggregate,aggregate
688018,乐鑫科技,2025-12-31,815706292.8200002,639594517.49,639594517.49,0.0,aggregate,aggregate
688018,乐鑫科技,2024-12-31,727408641.0800002,531123951.32000005,531123951.32000005,0.0,aggregate,aggregate
688018,乐鑫科技,2023-12-31,563744875.06,349863415.23999995,349863415.23999995,0.0,aggregate,aggregate
