security_code,security_name,first_sig,n_sig,peak_revenue
600308,华泰股份,2009,12,151.7
000926,福星股份,2009,11,151.4
600754,锦江酒店,2009,16,151.0
600132,重庆啤酒,2009,15,148.1
000987,越秀资本,2009,13,147.9
000680,山推股份,2009,7,147.0
600858,银座股份,2009,15,145.9
000661,长春高新,2009,17,145.7
000559,万向钱潮,2009,17,144.9
600075,新疆天业,2009,7,142.6
600123,兰花科创,2009,12,141.6
601958,金钼股份,2009,8,138.3
002300,太阳电缆,2009,17,137.2
600845,宝信软件,2009,15,136.4
002051,中工国际,2009,14,135.2
600720,中交设计,2009,11,135.1
600009,上海机场,2009,12,133.5
600598,北大荒,2009,15,133.3
002065,东华软件,2009,15,133.2
002004,华邦健康,2009,14,132.3
601918,新集能源,2009,12,128.4
000513,丽珠集团,2009,17,126.3
600508,上海能源,2009,9,126.3
001696,宗申动力,2009,13,124.0
600067,冠城新材,2009,11,123.9
002307,北新路桥,2009,8,123.2
002249,大洋电机,2009,10,122.2
002314,南山控股,2009,7,121.5
002152,广电运通,2009,13,120.6
002318,久立特材,2009,7,120.6
002062,宏润建设,2009,11,119.4
600388,龙净环保,2009,17,118.8
600395,盘江股份,2009,12,118.4
601107,四川成渝,2009,10,116.5
600267,海正药业,2009,13,115.7
600718,东软集团,2009,10,115.6
600062,华润双鹤,2009,17,113.1
002242,九阳股份,2009,16,112.2
000826,*ST启环,2009,10,109.9
000417,合百集团,2009,11,109.1
600548,深高速,2009,15,108.9
300003,乐普医疗,2009,17,106.6
000783,长江证券,2009,8,105.5
600475,华光环能,2009,10,105.1
600449,宁夏建材,2009,9,104.1
600829,人民同泰,2009,16,103.9
600169,ST太重,2009,4,103.8
000690,宝新能源,2009,11,102.7
002140,东华科技,2009,8,100.2
002269,美邦服饰,2009,8,99.5
600743,华远控股,2009,11,99.0
002096,易普力,2009,10,98.3
600521,华海药业,2009,16,95.5
600216,浙江医药,2009,12,93.8
600588,用友网络,2009,14,92.6
600327,大东方,2009,11,91.7
600971,恒源煤电,2009,14,91.4
000598,兴蓉环境,2009,17,90.7
002267,陕天然气,2009,10,89.9
000910,大亚圣象,2009,8,87.5
600258,首旅酒店,2009,7,85.4
600995,南网储能,2009,8,82.6
000718,苏宁环球,2009,16,82.5
000597,东北制药,2009,5,82.4
600004,白云机场,2009,8,82.4
002285,世联行,2009,12,82.1
002187,广百股份,2009,7,77.6
002233,塔牌集团,2009,15,77.1
600012,皖通高速,2009,17,77.0
600315,上海家化,2009,16,76.5
600550,保变电气,2009,3,76.3
000912,泸天化,2009,6,75.3
002216,三全食品,2009,8,74.3
600785,新华百货,2009,8,74.0
000423,东阿阿胶,2009,16,73.7
600570,恒生电子,2009,17,72.8
002277,友阿股份,2009,14,72.8
600525,ST长园,2009,10,71.4
600702,舍得酒业,2009,17,70.9
000536,华映科技,2009,8,70.2
600572,康恩贝,2009,16,70.2
002022,科华生物,2009,14,69.7
002116,中国海诚,2009,14,69.6
000726,鲁泰A,2009,11,68.8
600983,惠而浦,2009,8,67.7
002264,新华都,2009,6,66.6
600639,浦东金桥,2009,17,65.9
600725,云维股份,2009,2,65.9
000731,四川美丰,2009,6,65.1
000612,焦作万方,2009,4,64.9
300002,神州泰岳,2009,15,64.5
600020,中原高速,2009,13,63.9
600303,曙光股份,2009,3,62.5
002025,航天电器,2009,11,62.1
600161,天坛生物,2009,17,61.7
000869,张裕A,2009,17,60.3
002262,恩华药业,2009,17,59.1
300022,吉峰科技,2009,4,57.9
002215,诺普信,2009,10,57.8
002293,罗莱生活,2009,17,57.6
600162,香江控股,2009,10,54.1
002007,华兰生物,2009,17,53.4
000429,粤高速A,2009,16,52.9
002154,报喜鸟,2009,16,52.5
600410,华胜天成,2009,4,52.4
600779,水井坊,2009,15,52.2
000650,仁和药业,2009,16,51.5
002083,孚日股份,2009,4,51.5
002191,劲嘉股份,2009,13,50.7
000011,深物业A,2009,13,49.1
600051,宁波联合,2009,7,49.1
600557,康缘药业,2009,17,48.6
600622,光大嘉宝,2009,7,48.2
600246,万通发展,2009,7,48.2
002003,伟星股份,2009,14,48.0
002294,信立泰,2009,17,46.5
600750,华润江中,2009,17,45.5
600269,赣粤高速,2009,7,43.3
600895,张江高科,2009,14,41.8
002250,联化科技,2009,9,41.1
600479,千金药业,2009,17,40.3
600252,中恒集团,2009,15,40.0
600331,宏达股份,2009,1,39.9
000036,华联控股,2009,12,39.7
600007,中国国贸,2009,17,39.5
300027,ST华谊,2009,9,39.5
