security_code,orig_year,recheck_year,delay,why,orig_reason_head
601139,2009,2010,1,摊薄次年反映,管道燃气按区域授予特许经营权、具备排他性，且毛利率2004-2009由9.7%升至26.8%、ROE由11.3%升至18.4%；但同期营收由66.7亿一路降至3
601888,2009,2010,1,摊薄次年反映,毛利率2006-2009四年仅18.7%~22.6%，在旅游零售分类下不足23%的价差不足以证明排他性；营收四年由48.5亿仅增至60.6亿（+25%），其中2
002007,2009,2011,2,默认顺延两年,单采血浆站由省级卫生主管部门审批并总量控制，血液制品的准入属性真实；毛利率2001-2008八年由30.7%升至60.1%，净利八年由0.15亿增至1.87亿。
002334,2010,2011,1,摊薄次年反映,毛利率2006-2010五年落在35.7%~42.2%且2009-2010两年升至41.6%~42.2%，净利五年由0.19亿单调增至1.16亿（6.1倍）无一
002405,2010,2011,1,摊薄次年反映,毛利率2006-2010五年落在88.2%~92.7%的4.5pp极窄区间——**为本轮全部判定中最高，在软件分类下的同业普遍不足20%，该水平只能由自有数据与
002422,2010,2011,1,摊薄次年反映,毛利率2007-2010四年落在36.1%~41.1%且逐年上行，净利四年由2.16亿单调增至6.61亿（3.1倍）无一年下滑，营收由20.3亿增至40.3亿（
002454,2010,2011,1,摊薄次年反映,毛利率2007-2010四年落在34.2%~36.5%的2.3pp窄区间——**在已判的六家汽车零部件公司中水平最高（其余均不足26%）**，净利四年由1.31
002508,2010,2011,1,摊薄次年反映,毛利率2007-2010四年落在47.2%~55.1%，2010年营收由9.3亿增至12.3亿（+32%）、净利由0.82亿增至1.34亿（+63%），上市摊薄
300077,2010,2011,1,摊薄次年反映,毛利率2004-2010七年由14.3%升至47.3%、七年中六年上行、累计升33.0pp，净利七年由0.03亿增至1.77亿——集成电路设计的价差扩张确实指向
300124,2010,2011,1,摊薄次年反映,毛利率2007-2010四年落在49.2%~53.1%且逐年上行，净利四年由0.49亿增至2.20亿（4.5倍），营收由1.6亿增至6.7亿（4.2倍），上市摊
300134,2010,2011,1,摊薄次年反映,毛利率2007-2010四年由32.5%单调升至44.7%、累计升12.2pp，净利四年由0.38亿单调增至2.51亿（6.6倍）无一年下滑，上市摊薄后ROE仍
601126,2010,2011,1,摊薄次年反映,毛利率2005-2010六年落在41.1%~47.3%，净利六年由0.73亿增至1.53亿且仅2009年一年基本持平——继电保护装置需通过电网入网检测，具备准入
601877,2010,2011,1,摊薄次年反映,毛利率2006-2010五年由21.1%升至25.9%，净利五年由1.96亿单调增至6.38亿（3.3倍）无一年下滑，营收由33.8亿增至63.4亿——形态成立
002029,2010,2012,2,默认顺延两年,毛利率2001-2010十年落在32.6%~41.6%且2010年升至十年最高，净利十年由0.15亿单调增至2.83亿（18.9倍）无一年下滑，营收由1.0亿增
002153,2010,2012,2,默认顺延两年,毛利率2004-2010七年由50.9%升至69.2%、七年中六年上行、累计升18.3pp，净利七年由0.21亿增至2.14亿（10.2倍），上市摊薄后2010
002236,2010,2012,2,默认顺延两年,毛利率2005-2010六年落在33.8%~43.3%且2010年升至区间最高，净利六年由0.42亿增至2.60亿；但2007年营收由4.5亿反降至4.1亿（−
002310,2010,2012,2,默认顺延两年,毛利率2006-2010五年落在31.8%~34.6%的2.8pp极窄区间，净利五年由0.25亿单调增至2.58亿（10.3倍）无一年下滑，营收由2.2亿增至1
002612,2011,2012,1,摊薄次年反映,可比历史仅2008-2011四年，且上市满0年。四年毛利率50.8%→60.0%单调升9.2pp、营收自2.2亿增至8.4亿，形态可取；**但BPS 31.92
002623,2011,2012,1,摊薄次年反映,可比历史仅2008-2011四年，且上市满0年。**BPS 1.22/3.77/2.61/12.47元量级反复跳动**，2009-2010读出的93.5%/99
002646,2011,2012,1,摊薄次年反映,可比历史仅2008-2011四年，且上市满0年（2011-12-22上市，2011年报仅反映两周的摊薄）。四年毛利率自64.2%升至69.9%（+5.7pp）后
300039,2010,2012,2,默认顺延两年,毛利率2006-2010五年落在82.0%~83.4%的1.4pp极窄区间——**为本轮全部判定中最窄，在制造业中如此稳定的高价差只能由处方药批准文号与不可替代
300251,2011,2012,1,摊薄次年反映,可比历史仅2008-2011四年，且上市满0年。**BPS 47.83/2.25/2.82/16.32元量级反复跳动**，净资产口径不连续，2008-2010读
600298,2010,2012,2,默认顺延两年,毛利率1997-2010十四年落在30.4%~45.5%、无一年低于30%，净利十四年由0.20亿增至2.85亿（14.3倍）且仅2002年一年下滑——酵母发酵
600403,2010,2012,2,默认顺延两年,2000-2009十年营收始终在0.6~3.2亿之间，其中2004-2008五年ROE仅1.7%~4.7%（净利0.05~0.13亿）。2010年营收由3.2亿
601566,2011,2012,1,摊薄次年反映,可比历史仅2008-2011四年，且上市满0年。四年毛利率自47.3%升至55.6%（+8.3pp）后持平、营收自12.3亿增至22.6亿，形态可取；但**BP
601908,2011,2012,1,摊薄次年反映,**BPS 2007年25.74元、2009年0.12元、2011年8.58元，量级反复跳动**，净资产口径不连续，2008-2010读出的18.8%~76.9
002651,2012,2013,1,摊薄次年反映,**BPS 36.12/2.97/1.38/4.74/5.15元量级反复跳动**，净资产口径不连续，2008-2011读出的47.8%~168.8%全部不可采信
002653,2012,2013,1,摊薄次年反映,**BPS 214.95/27.03/1.26/2.13/4.27元跨越四个数量级**，净资产口径完全不连续，2008-2011读出的51.1%~166.2%全
002663,2012,2013,1,摊薄次年反映,**BPS 2.04/4.81/7.26/4.69/7.87/2.16/3.44/6.82元量级反复跳动**，净资产口径不连续，2008-2011读出的24.2
300071,2011,2013,2,默认顺延两年,**2006年EPS 136.880元、BPS 29.31元，与2007年起的各年不在同一量级**，口径断裂；BPS 29.31/7.57/10.03/2.68
300337,2012,2013,1,摊薄次年反映,可比历史仅2008-2012五年，且上市满0年。**BPS 9.84/5.95/3.68/4.56/8.75元量级跳动**，2008-2011读出的21.4%~
600677,2011,2013,2,默认顺延两年,**2006年ROE −94.3%、BPS降至0.62元，2007年净利5.80亿、ROE 115.1%**——净资产与利润口径在两年内断裂，该段读数不可采信。
601137,2011,2013,2,默认顺延两年,**BPS 2007年25.71元、2008年0.93元，量级跳动27倍**，净资产口径不连续，2007-2010读出的16.5%~53.3%均不可采信。五年毛
002737,2014,2015,1,摊薄次年反映,可比历史仅2011-2014四年，且上市满0年（2014-12-30上市，2014年报仅反映一日的摊薄——BPS自7.56元跳至15.18元而ROE仍读作34.
300406,2014,2015,1,摊薄次年反映,可比历史仅2011-2014四年，且上市满0年。四年毛利率自60.7%单调升至71.3%（+10.6pp）、ROE 33.4%~41.9%全部在33%以上、营收
300408,2014,2015,1,摊薄次年反映,可比历史仅2011-2014四年，且上市满0年。四年毛利率自43.2%单调升至47.5%（+4.3pp）、ROE 30.6%~50.9%全部在30%以上，形态与
000166,2015,2016,1,摊薄次年反映,2015-01-26吸收合并上市满0年。证券经营牌照定性成立；但有ROE读数的2012-2015为8.5/10.6/15.9/27.4%，仅2015一年过20%
001979,2015,2016,1,摊薄次年反映,2015-12-30上市，截至年末满0年，可见财年仅2013-2015三年，不足判据4要求的五年可比历史。三年ROE 20.7/20.7/28.0%档次尚可但毛
300450,2015,2016,1,摊薄次年反映,2015-05-18上市满0年但有2011年起五年可比历史，摊薄后2015年ROE 27.3%已达25%，营收五年3.86倍而BPS仅1.67倍，资本复制测试成
300463,2015,2016,1,摊薄次年反映,2015-05-28上市满0年。2011年BPS 6.93而2012年2.98，量级跳动，该年读数不可与后段并列（判据7），可比为2012-2015四年：毛利率
300471,2015,2016,1,摊薄次年反映,2015-06-11上市满0年但有2011年起五年可比历史。2011-2014四年ROE 35.8~41.6%全段高档，营收五年2.9倍而BPS 2.5倍，资本
300496,2015,2016,1,摊薄次年反映,2015-12-10上市满0年。2011年BPS 5.99而2012年2.33，量级跳动，该年ROE 7.8%不可与后段并列（判据7），实际可比仅2012-20
600958,2015,2016,1,摊薄次年反映,2015-03-23上市满0年。证券经营牌照定性成立；但有ROE读数的2011-2015为8.7/4.2/6.7/13.8/25.1%，仅2015一年过20%且
601021,2015,2016,1,摊薄次年反映,2015-01-21上市满0年但有2011年起五年可比历史，五年ROE 40.0/35.5/30.0/28.3/23.0%最低值23.0%已是摊薄后读数，净利五
601155,2015,2016,1,摊薄次年反映,2015-12-04上市满0年，可见财年仅2012-2015四年且2012年无ROE读数，实际可比仅三年，不足五年。ROE 22.4/17.6/22.5%摆幅4
601198,2015,2016,1,摊薄次年反映,2015-02-26上市满0年。证券经营牌照定性成立；但有ROE读数的2011-2015为12.8/10.2/11.7/15.4/17.0%，五年无一年达20%
601211,2015,2016,1,摊薄次年反映,2015-06-26上市满0年。证券经营牌照定性成立；但有ROE读数的2011-2015为10.1/8.4/8.7/18.0/23.6%，仅2015一年过20%
601368,2015,2016,1,摊薄次年反映,2015-06-12上市满0年。城市供水特许经营定性成立，2009-2015毛利率43.8~50.0%（摆幅6.2pp）稳定高档；但同期ROE 16.7/18.
601689,2015,2016,1,摊薄次年反映,2015-03-19上市满0年但有2011年起五年可比历史。毛利率26.0~31.0%（摆幅5.0pp）窄，2011-2014四年ROE 24.7/24.9/2
601985,2015,2016,1,摊薄次年反映,2015-06-10上市满0年。核电运营牌照与准入门槛定性成立，毛利率35.7~45.2%高档；但有ROE读数的2011-2015五年为15.5/13.0/12
603508,2015,2016,1,摊薄次年反映,2015-12-24上市满0年。2010年BPS 18.31而2011年2.05，量级跳动使该年不可并列；可比的2011-2015五年毛利率53.4升至63.0
603568,2015,2016,1,摊薄次年反映,2015-05-28上市满0年。垃圾焚烧发电特许经营权定性成立，2012-2015毛利率稳在64.6~66.5%（摆幅1.9pp）高档；但ROE起点2011年仅
603686,2015,2016,1,摊薄次年反映,2015-01-26上市满0年但有2008年起八年可比历史。2009-2015毛利率31.2~34.6%（摆幅3.4pp）窄，上市前七年ROE 28.2~44.
603866,2015,2016,1,摊薄次年反映,2015-12-22上市满0年但有2011年起五年可比历史。五年毛利率32.9~36.0%（摆幅3.1pp）窄、ROE 28.2~35.0%全段高档，营收五年2
603898,2015,2016,1,摊薄次年反映,2015-02-17上市满0年但有2011年起五年可比历史。毛利率33.4升至38.2%单调抬升（摆幅4.8pp）、上市前四年ROE 36.8~43.7%全段高
603899,2015,2016,1,摊薄次年反映,2015-01-27上市满0年但有2011年起五年可比历史。毛利率25.7~27.4%摆幅仅1.7pp，极窄；营收五年2.59倍而BPS仅1.87倍，资本复制测
000403,2015,2017,2,默认顺延两年,血液制品生产牌照定性成立；但2004-2007四年累计巨亏，2005-2007连续三年BPS为负值，2008年BPS仅0.01而ROE录得15990.3%、20
000998,2015,2017,2,默认顺延两年,主要农作物种子生产经营与转基因种子许可定性成立，2011-2015毛利率33.0升至39.5%逐级抬升；但2001-2010十年ROE仅1.3~7.7%，201
002815,2016,2017,1,摊薄次年反映,2016-10-12上市满0年但有2009年起八年可比历史。八年毛利率32.2~37.9%、ROE 20.9~37.5%，营收八年5.11倍而2010年后BPS
002823,2016,2017,1,摊薄次年反映,2016-11-24上市满0年但有2011年起六年可比历史。2012-2016五年毛利率24.6~28.5%摆幅仅3.9pp，形态稳定，同期ROE 22.2~3
002831,2016,2017,1,摊薄次年反映,2016-12-16上市满0年但有2008年起九年可比历史。九年毛利率19.1升至34.3%累计抬升15.2pp、有ROE读数的六年为22.1~40.4%，营收
002832,2016,2017,1,摊薄次年反映,2016-12-23上市满0年但有2011年起六年可比历史。六年毛利率56.2升至62.3%单调抬升6.1pp、档次高，营收六年2.80倍，形态可取；但ROE自
002833,2016,2017,1,摊薄次年反映,2016-12-28上市满0年但有2011年起六年可比历史。2012-2016五年毛利率36.4~40.1%（摆幅3.7pp）窄且中高、并穿越了2015年的一次
300294,2015,2017,2,默认顺延两年,2012-03-08上市已满3年。血浆采集与血液制品生产牌照定性成立，毛利率56.7~70.6%高档；但BPS由4.63跳至9.92后，2012-2015四年R
300529,2016,2017,1,摊薄次年反映,2016-08-02上市满0年但有六年可比历史。六年毛利率82.3~84.7%摆幅仅2.4pp，极高且极窄，2011-2015五年ROE 38.9~43.5%摆
300558,2016,2017,1,摊薄次年反映,2016-11-07上市满0年。2012-2016五年毛利率93.1~96.9%极高且窄，ROE 32.9~96.8%全段极高，营收六年17.3倍，形态属顶级。
300567,2016,2017,1,摊薄次年反映,2016-11-22上市满0年。2012年BPS 6.27与2013年2.18为量级跳动，可比财年仅2013-2016四年，不足判据4要求的五年可比历史。四年毛
600763,2015,2017,2,默认顺延两年,医疗机构执业许可与专科连锁资质定性成立，2010-2015毛利率39.3~47.2%稳定、营收由2.4亿增至7.6亿。但ROE仅2011-2013三年达21.4
600996,2016,2017,1,摊薄次年反映,2016-12-26上市满0年。有线电视网络运营的行政许可与区域独占定性成立，2013-2016毛利率40.7~43.7%稳定、ROE 23.8~31.0%明显
601188,2015,2017,2,默认顺延两年,2010-03-19上市已满5年。收费公路特许经营定性成立，毛利率56.2~71.7%高档且稳定；但有ROE读数的2009-2015七年为0.0/4.1/4.6
601611,2016,2017,1,摊薄次年反映,2016-06-06上市满0年。核电工程建设资质稀缺、准入门槛定性成立，六年毛利率9.7~11.6%（摆幅1.9pp）稳定；但该毛利率停在工程承包的低档，且六年
603060,2016,2017,1,摊薄次年反映,2016-11-09上市满0年但有2011年起六年可比历史。六年毛利率45.6~50.3%（摆幅4.7pp）窄且高，ROE 25.5~42.8%全段在25%以上
603239,2016,2017,1,摊薄次年反映,2016-12-30上市满0年但有2011年起六年可比历史。六年毛利率31.4升至46.6%累计抬升15.2pp、单调无回落，2015-2016两年ROE回到3
603313,2016,2017,1,摊薄次年反映,2016-10-13上市满0年。2011年BPS 6.71而2012年1.74，量级跳动使该年不可并列；可比的2012-2015四年毛利率30.0~34.9%、
603421,2016,2017,1,摊薄次年反映,2016-10-11上市满0年。2011年BPS 22.80与2012年2.03为量级跳动，可比的2012-2016五年毛利率59.8~62.1%摆幅仅2.3p
603556,2016,2017,1,摊薄次年反映,2016-11-10上市满0年但有2011年起六年可比历史。2012-2016毛利率40.6~45.5%（摆幅4.9pp）窄且高，六年ROE 25.4~55.6
603658,2016,2017,1,摊薄次年反映,2016-09-01上市满0年但有六年可比历史。六年毛利率70.6~73.1%摆幅仅2.5pp，极高且极窄，ROE 32.2~50.6%全段极高，营收六年4.6
603816,2016,2017,1,摊薄次年反映,2016-10-14上市满0年但有2011年起六年可比历史。2012-2016毛利率39.6~41.1%摆幅仅1.5pp、档次高，六年ROE 37.2~62.1
603886,2016,2017,1,摊薄次年反映,2016-12-28上市满0年但有2011年起六年可比历史。六年毛利率61.0~63.7%摆幅仅2.7pp，极窄且高；但ROE自50.4%塌至2014年22.3
603888,2016,2017,1,摊薄次年反映,2016-10-28上市满0年。互联网新闻信息服务许可与网络出版资质定性成立，2012-2015四年ROE 24.9~28.1%（摆幅3.2pp）档次可取；但2
000627,2016,2018,2,默认顺延两年,2016年营收由10.8亿跳至169.9亿、BPS由1.29跳至3.24，寿险主体首次并表，主体口径已变，此前二十年的化工业务读数（ROE 0.6%~15.7%
000686,2016,2018,2,默认顺延两年,证券经营牌照定性成立；但有ROE读数的2011-2016为-4.6/3.4/6.6/13.2/26.2/9.4%，一年内可摆动30pp以上，2011年录得亏损、
002880,2017,2018,1,摊薄次年反映,2017-06-16上市满0年但有2012年起六年可比历史。血浆采集与血液制品生产牌照定性成立，六年毛利率44.3~49.4%（摆幅5.1pp）稳定，2012-
002901,2017,2018,1,摊薄次年反映,2017-09-22上市满0年但有2013年起五年可比历史。五年毛利率79.3~83.1%摆幅仅3.8pp，极高且极窄且单调抬升；ROE 37.8~56.6%全
002911,2017,2018,1,摊薄次年反映,2017-11-22上市满0年。城市管道燃气特许经营定性成立，2013-2017毛利率20.0~21.6%摆幅仅1.6pp，ROE 21.0~26.2%明显高于
002918,2017,2018,1,摊薄次年反映,2017-12-19上市满0年但有2013年起五年可比历史。五年毛利率29.8升至36.0%累计抬升6.2pp、单调无回落，ROE 23.4~34.5%档次可取
002920,2017,2018,1,摊薄次年反映,2017-12-26上市满0年。2013-2017五年毛利率24.3~27.0%摆幅仅2.7pp，ROE 20.5~55.6%档次高，营收五年3.38倍，形态可
300432,2016,2018,2,默认顺延两年,2015-03-19上市满1年。2012-2016五年毛利率33.9~35.8%摆幅仅1.9pp、档次中高，营收六年4.18倍而BPS 2.51倍、资本复制测试
300497,2016,2018,2,默认顺延两年,2015-12-22上市满1年，2016年为完整摊薄年、当年ROE 25.9%已达判据4的25%门槛，五年营收2.11倍而BPS 1.97倍、资本复制测试成立。
300601,2017,2018,1,摊薄次年反映,2017-02-07上市满0年。人用疫苗生产批签发资质定性成立，毛利率63.5~88.3%高档；但六年ROE 2.7/5.3/6.3/10.2/12.5/22.
300661,2017,2018,1,摊薄次年反映,2017-06-06上市满0年但有2012年起六年可比历史。2012-2016五年毛利率40.2~45.7%（摆幅5.5pp）窄、ROE 29.9~35.4%摆
300662,2017,2018,1,摊薄次年反映,2017-06-08上市满0年。2012-2013两年BPS为44.90、55.85，与2014年起的2.48为量级跳动，该段读数不可并列；可比财年仅2014-
300676,2017,2018,1,摊薄次年反映,2017-07-14上市满0年。2012-2014三年BPS为56.62/20.00/13.81，与2015年起的8.60为量级跳动，该段读数不可并列；可比财年
300695,2017,2018,1,摊薄次年反映,2017-09-08上市满0年但有2012年起六年可比历史。六年毛利率40.6升至53.6%累计抬升13.0pp、2014-2017四年ROE 24.6~46.
300723,2017,2018,1,摊薄次年反映,2017-11-16上市满0年。五年毛利率37.6升至58.0%累计抬升20.4pp、ROE 20.4~51.9%档次可取，营收五年2.71倍；但20.4pp的
300726,2017,2018,1,摊薄次年反映,2017-11-21上市满0年但有2013年起五年可比历史。五年毛利率69.5~76.4%（摆幅6.9pp）极高且窄，营收五年2.48倍，形态可取；但2015年
300732,2017,2018,1,摊薄次年反映,2017-12-12上市满0年。2013年无ROE读数，可比财年仅2014-2017四年，不足判据4要求的五年可比历史。四年毛利率40.2升至47.0%、ROE
300735,2017,2018,1,摊薄次年反映,2017-12-29上市满0年。2013年无ROE读数，可比财年仅2014-2017四年，不足判据4要求的五年可比历史。四年毛利率26.2升至29.4%后201
600933,2017,2018,1,摊薄次年反映,2017-11-17上市满0年但有2013年起五年可比历史。五年毛利率40.0~44.1%（摆幅4.1pp）窄且高，2013-2016四年ROE 30.0~38
601019,2017,2018,1,摊薄次年反映,2017-11-22上市满0年。出版物发行与教材供应的行政许可定性成立，六年毛利率26.9~35.1%、ROE 22.4~36.8%明显高于同类出版发行商（新华
603043,2017,2018,1,摊薄次年反映,2017-06-27上市满0年但有2011年起七年可比历史。2012-2017六年毛利率51.3~53.1%摆幅仅1.8pp、极窄且高，七年ROE 26.4~4
603063,2017,2018,1,摊薄次年反映,2017-07-28上市满0年。2012-2013两年BPS 38.25、48.76与2014年起的2.76为量级跳动，可比财年仅2014-2017四年，不足判
603129,2017,2018,1,摊薄次年反映,2017-08-18上市满0年。2013年BPS为-0.59、2014年0.54，净资产由负转正，该两年无有效ROE读数；可比财年仅2015-2017三年，不足
603180,2017,2018,1,摊薄次年反映,2017-05-12上市满0年但有2012年起六年可比历史。六年ROE 20.6~39.5%、摊薄后仍有27.8%在25%以上，营收六年3.6倍，形态可取；但毛
603233,2017,2018,1,摊薄次年反映,2017-07-31上市满0年但有2012年起六年可比历史。2013-2017毛利率38.9~41.0%摆幅仅2.1pp，六年ROE 24.3~55.3%全段高
603277,2017,2018,1,摊薄次年反映,2017-09-11上市满0年但有2013年起五年可比历史。五年毛利率30.9升至43.6%累计抬升12.7pp、单调无回落，ROE 27.1~46.5%全段在
603305,2017,2018,1,摊薄次年反映,2017-07-10上市满0年。2013-2017五年毛利率26.8升至49.4%后2017年回落5.0pp，抬升集中在2015-2016两年、幅度达18.1p
603357,2017,2018,1,摊薄次年反映,2017-08-01上市满0年但有2012年起六年可比历史。工程勘察设计甲级资质构成准入门槛，六年毛利率43.1~46.8%（摆幅3.7pp）窄且高，ROE 2
603444,2017,2018,1,摊薄次年反映,2017-01-04上市满0年但有2011年起七年可比历史，上市在年初、摊薄已在全年读数中反映，当年ROE 29.6%在25%以上。2011-2016六年毛利率
603517,2017,2018,1,摊薄次年反映,2017-03-17上市满0年但有2011年起七年可比历史。七年毛利率17.2升至34.4%累计抬升17.2pp、单调无回落，2012-2016五年ROE 26
603595,2017,2018,1,摊薄次年反映,2017-07-12上市满0年但有2013年起五年可比历史，五年ROE 28.8~53.0%全段在28%以上，营收五年6.08倍，摊薄后ROE 37.3%且当年
603605,2017,2018,1,摊薄次年反映,2017-11-15上市满0年但有2013年起五年可比历史。五年毛利率61.7~66.4%（摆幅4.7pp）高且窄，ROE 27.9~47.6%全段在27%以上
603730,2017,2018,1,摊薄次年反映,2017-07-28上市满0年但有2011年起七年可比历史。2012-2017六年毛利率30.2升至37.1%累计抬升6.9pp、单调无回落，摊薄后ROE 26
603757,2017,2018,1,摊薄次年反映,2017-07-11上市满0年但有2012年起六年可比历史。六年毛利率23.6升至33.5%累计抬升9.9pp、单调无回落，2013-2017五年ROE 26.
603833,2017,2018,1,摊薄次年反映,2017-03-28上市满0年但有2011年起七年可比历史。七年毛利率26.9升至34.5%累计抬升7.6pp、营收4.37倍，七年ROE 25.8~43.2%
603848,2017,2018,1,摊薄次年反映,2017-12-01上市满0年但有2013年起五年可比历史。五年毛利率33.1升至40.0%累计抬升6.9pp、单调无回落，ROE 27.9~49.1%全段在2
603882,2017,2018,1,摊薄次年反映,2017-09-08上市满0年。2012-2014三年BPS为22.50/28.87/19.01，与2015年起的2.39为量级跳动，该段读数不可并列；可比财年
002940,2018,2019,1,摊薄次年反映,2018-10-23上市满0年、距年末不足三个月，按判据4a当年22.2%的加权ROE几乎全部来自摊薄前净资产、不构成「摊薄后可观测」。形态本身亦存疑：五年毛利
300506,2017,2019,2,默认顺延两年,2016-03-24上市满1年，2017年为完整摊薄年、当年ROE 26.1%在25%以上；七年毛利率48.6~52.8%（摆幅4.2pp）极窄且高，营收七年5
300577,2017,2019,2,默认顺延两年,2016-12-21上市满1年。2012-2013两年无ROE读数，可比财年仅2014-2017四年，不足判据4要求的五年可比历史。四年毛利率28.6~30.4
300747,2018,2019,1,摊薄次年反映,2018-06-25上市满0年、摊薄仅反映六个月。五年营收2.3→14.6亿（6.35倍）而毛利率18.1→45.3%抬升27.2pp，判据5②形态强成立，摊薄
300760,2018,2019,1,摊薄次年反映,2018-10-16上市满0年、距年末不足三个月，按判据4a当年42.2%的加权ROE几乎全部来自摊薄前净资产，不构成「摊薄后可观测」。形态本身可取：五年毛利率
603259,2018,2019,1,摊薄次年反映,2018-05-08上市满0年、摊薄仅反映七个多月。五年营收41.4→96.1亿（2.32倍）而毛利率36.8→39.5%不降反升2.7pp，判据5②形态成立；
603486,2018,2019,1,摊薄次年反映,2018-05-28上市满0年、摊薄仅反映七个月。六年毛利率28.6单调抬升至37.8%（累计9.2pp），营收19.5→56.9亿（2.92倍）而净利1.64
603583,2018,2019,1,摊薄次年反映,2018-09-21上市满0年、摊薄仅反映三个多月。七年营收0.9→11.2亿（12.4倍）而毛利率36.2→42.1%不降反升5.9pp、ROE七年全部在21
603587,2018,2019,1,摊薄次年反映,2018-06-22上市满0年、摊薄仅反映六个月。两类正面判据同时成立：2013-2018六年毛利率72.5~75.1%、摆幅仅2.6pp且极高，并穿越过201
603666,2018,2019,1,摊薄次年反映,2018-06-12上市满0年、摊薄仅反映六个多月。五年营收1.1→5.1亿（4.64倍）而毛利率28.1→61.6%抬升33.5pp、净利0.10→1.84亿
002959,2019,2020,1,摊薄次年反映,2019-08-23上市满0年、摊薄仅反映四个多月。五年毛利率32.5~34.5%、摆幅仅2.0pp且稳定，判据5①的窄区间形态成立，营收7.2→26.9亿（3
002970,2019,2020,1,摊薄次年反映,2019-12-17上市满0年、挂牌距年末仅两周，按判据4a当年36.9%的加权ROE几乎全部来自摊薄前净资产；且BPS由6.63跳至15.97（增141%）而
300771,2019,2020,1,摊薄次年反映,2019-04-22上市满0年、摊薄反映八个多月，加权ROE 23.2%仅差1.8pp未过门槛，且当年BPS由8.41跳至15.85（增88.5%）而净利仅增3
300776,2019,2020,1,摊薄次年反映,2019-05-17上市满0年、摊薄反映七个多月，加权ROE 31.5%在门槛之上，且七年毛利率48.1→55.9%（2016-2018曾达62~66%）而营收
300792,2019,2020,1,摊薄次年反映,2019-09-27上市满0年、摊薄仅反映三个月，按判据4a当年33.2%的加权ROE多来自摊薄前净资产；且BPS由6.67跳至15.98（增140%）而净利仅
603327,2019,2020,1,摊薄次年反映,2019-05-23上市满0年、摊薄反映七个多月，且判据4b是满足的（BPS增62.6%而净利增65.4%、利润增速覆盖摊薄），加权ROE 26.4%在门槛之上
603489,2019,2020,1,摊薄次年反映,2019-11-11上市满0年、距年末不足两个月，按判据4a当年47.0%的加权ROE几乎全部来自摊薄前净资产；且BPS由5.13跳至16.52（增222%）而
603610,2019,2020,1,摊薄次年反映,2019-10-29上市满0年、距年末不足三个月，按判据4a当年29.6%的加权ROE几乎全部来自摊薄前净资产；且BPS由8.14跳至18.93（增133%）而
603927,2019,2020,1,摊薄次年反映,2019-09-09上市满0年、摊薄仅反映不足四个月。形态可取：ROE 2011-2019九年稳在24.2~31.0%、摆幅仅6.8pp，摊薄后仍有27.4%；
