security_code,security_name,effective_from,effective_to
600066,宇通客车,2016-03-30,2018-03-24
600066,宇通客车,2024-04-26,9999-12-31
600132,重庆啤酒,2023-04-30,9999-12-31
600161,天坛生物,2010-04-30,2011-03-19
600161,天坛生物,2018-03-24,2019-01-17
600176,中国巨石,2022-03-18,2023-04-22
600188,兖矿能源,2006-04-30,2007-04-30
600188,兖矿能源,2010-04-30,2011-02-26
600188,兖矿能源,2011-03-30,2011-04-30
600188,兖矿能源,2023-03-25,2024-03-29
600252,中恒集团,2013-04-30,2014-03-26
600252,中恒集团,2015-03-25,2016-03-30
600285,羚锐制药,2025-03-31,2026-04-30
600298,安琪酵母,2022-03-18,2022-03-29
600309,万华化学,2009-04-30,2011-03-30
600309,万华化学,2012-04-05,2012-04-07
600309,万华化学,2012-04-24,2013-03-15
600309,万华化学,2013-03-30,2016-03-17
600309,万华化学,2017-04-15,2020-03-21
600309,万华化学,2021-04-27,2023-03-25
600315,上海家化,2013-04-30,2014-03-26
600315,上海家化,2014-04-29,2015-03-25
600315,上海家化,2016-03-17,2017-03-27
600398,XD海澜之,2016-04-30,2018-04-30
600398,XD海澜之,2019-03-29,2019-04-18
600398,XD海澜之,2019-04-20,2019-04-25
600398,XD海澜之,2019-04-30,2021-04-30
600406,国电南瑞,2011-02-26,2011-03-19
600406,国电南瑞,2012-02-02,2013-03-30
600406,国电南瑞,2013-04-30,2014-03-26
600415,小商品城,2026-03-25,2026-04-18
600415,小商品城,2026-04-23,9999-12-31
600426,华鲁恒升,2022-03-18,2023-04-26
600436,片仔癀,2013-03-15,2013-04-30
600436,片仔癀,2022-04-27,2023-03-25
600507,方大特钢,2017-04-22,2020-03-21
600507,方大特钢,2021-04-01,2021-04-30
600507,方大特钢,2022-03-18,2022-03-26
600507,方大特钢,2024-03-29,2026-03-25
600519,贵州茅台,2005-04-30,2006-04-30
600519,贵州茅台,2007-04-30,2010-04-30
600519,贵州茅台,2012-03-29,2018-04-19
600519,贵州茅台,2019-04-18,2021-04-27
600519,贵州茅台,2022-04-27,2023-03-31
600519,贵州茅台,2023-04-22,9999-12-31
600566,济川药业,2015-04-30,2018-03-24
600566,济川药业,2018-04-25,2020-03-21
600566,济川药业,2020-04-27,2021-04-27
600566,济川药业,2024-03-29,2025-04-29
600570,恒生电子,2019-04-25,2020-04-29
600570,恒生电子,2021-04-27,2022-04-29
600585,海螺水泥,2012-02-02,2012-04-24
600585,海螺水泥,2019-01-17,2021-04-01
600588,用友网络,2011-02-26,2011-03-19
600612,老凤祥,2014-04-29,2015-04-30
600660,福耀玻璃,2003-04-30,2008-04-30
600660,福耀玻璃,2011-03-19,2012-02-02
600660,福耀玻璃,2015-04-30,2016-03-17
600690,海尔智家,2015-04-30,2016-04-30
600702,舍得酒业,2023-04-30,2024-03-29
600763,通策医疗,2019-01-17,2019-03-29
600763,通策医疗,2019-04-18,2021-04-01
600763,通策医疗,2021-04-27,2023-03-25
600779,水井坊,2021-04-30,9999-12-31
600809,山西汾酒,2011-04-30,2012-02-02
600809,山西汾酒,2012-03-29,2012-04-24
600809,山西汾酒,2013-03-15,2014-03-26
600809,山西汾酒,2021-04-27,9999-12-31
600867,通化东宝,2022-04-29,2023-04-22
600885,宏发股份,2014-04-30,2015-03-10
600887,伊利股份,2012-04-30,2014-04-30
600887,伊利股份,2017-03-30,2017-04-22
600887,伊利股份,2017-04-28,2018-03-24
600887,伊利股份,2021-04-30,2022-03-18
600925,苏能股份,2023-03-25,2023-04-28
600938,中国海油,2023-03-25,2024-03-29
600976,健民集团,2023-04-30,2024-03-29
601001,晋控煤业,2007-04-30,2008-04-30
601001,晋控煤业,2022-03-18,2024-03-29
601088,中国神华,2008-04-30,2010-04-30
601100,恒立液压,2022-04-30,2023-03-25
601225,陕西煤业,2018-03-24,2019-01-17
601225,陕西煤业,2023-03-25,2024-03-29
601398,工商银行,2016-04-30,2017-03-15
601515,衢州东峰,2012-04-07,2016-04-30
601877,正泰电器,2014-03-26,2015-04-30
601888,中国中免,2019-04-27,2020-04-27
601888,中国中免,2021-04-27,2023-03-25
601988,中国银行,2010-04-30,2011-02-26
601998,中信银行,2016-04-30,2017-03-15
603195,公牛集团,2020-03-21,2023-04-28
603195,公牛集团,2024-03-29,9999-12-31
603259,药明康德,2026-03-25,9999-12-31
603267,鸿远电子,2022-04-30,2023-03-25
603288,海天味业,2014-03-26,2018-03-24
603288,海天味业,2019-04-30,2022-03-18
603288,海天味业,2022-04-27,2024-04-30
603288,海天味业,2025-03-31,2025-04-15
603369,今世缘,2024-03-29,2025-04-30
603392,万泰生物,2021-04-30,2024-03-29
603486,科沃斯,2021-04-30,2024-03-29
603605,珀莱雅,2024-03-29,9999-12-31
603606,东方电缆,2020-04-30,2022-04-27
603868,飞科电器,2016-03-17,2021-04-27
603868,飞科电器,2023-04-22,2023-04-28
603868,飞科电器,2024-03-29,2024-04-30
603868,飞科电器,2025-03-31,2025-04-25
603868,飞科电器,2025-04-29,2025-04-30
603882,金域医学,2021-04-01,2024-03-29
605499,东鹏饮料,2021-04-01,9999-12-31
688002,睿创微纳,2026-04-30,9999-12-31
688019,安集科技,2023-04-30,2024-04-23
688019,安集科技,2024-04-26,9999-12-31
688111,金山办公,2026-04-24,9999-12-31
688278,特宝生物,2023-04-28,2023-04-30
688278,特宝生物,2024-03-29,9999-12-31
688385,复旦微电,2023-04-30,2024-03-29
688578,艾力斯,2024-04-30,9999-12-31
688617,惠泰医疗,2024-03-29,9999-12-31
