signal_date,exec_date,source_code,close,ma,ma_prev,weak_run,cross_count,hold_pv,trigger_code,trigger_pv,block_reason,next_source,shares_held
2014-04-21,2014-04-22,601988,2.6000,2.6060,2.5710,0,0,0.8623,000338,0.5062,均线未下行,600660,600
2014-04-29,2014-04-30,601988,2.6100,2.6225,2.6105,0,0,0.8656,000333,0.4688,均线未下行,,700
2014-05-12,2014-05-13,000651,29.7100,29.9075,29.8275,0,0,0.7284,601088,0.4357,均线未下行,,82300
2014-05-13,2014-05-14,000651,29.4400,29.8140,29.9290,0,0,0.7218,002128,0.4011,均线未下行,000858,82300
2014-05-21,2014-05-22,000651,29.2900,29.5855,29.7285,0,0,0.7181,000338,0.5331,均线未下行,,64300
2014-05-22,2014-05-23,000651,29.2400,29.5725,29.6845,0,0,0.7169,000338,0.5264,均线未下行,,64300
2014-05-23,2014-05-26,000651,29.3000,29.5230,29.6335,0,0,0.7184,000338,0.5307,均线未下行,,64300
2014-06-03,2014-06-04,600660,8.0800,8.0920,8.0120,0,0,0.6591,000333,0.4487,均线未下行,,179200
2014-06-04,2014-06-05,600660,8.0500,8.0985,8.0350,0,0,0.6566,000333,0.4408,均线未下行,,179200
2014-06-25,2014-06-26,601288,2.5100,2.5205,2.5110,0,0,0.8610,000858,0.6913,均线未下行,,100
2014-06-27,2014-06-30,601288,2.5200,2.5245,2.5150,0,0,0.8644,000858,0.7051,均线未下行,,100
2014-06-30,2014-07-01,601288,2.5200,2.5260,2.5165,0,0,0.8630,000858,0.7086,均线未下行,,100
2014-07-02,2014-07-03,601288,2.5200,2.5290,2.5205,0,0,0.8630,000858,0.6938,均线未下行,,100
2014-07-10,2014-07-11,601988,2.5400,2.5675,2.5590,0,0,0.8362,600066,0.6639,均线未下行,,1000
2014-07-11,2014-07-14,601988,2.5500,2.5648,2.5633,0,0,0.8395,600066,0.6620,均线未下行,,1000
2014-07-14,2014-07-15,601988,2.5600,2.5621,2.5661,0,0,0.8427,600066,0.6804,均线未下行,,1000
2014-07-21,2014-07-22,601398,3.4200,3.4270,3.4272,0,0,0.8432,600585,0.5707,均线未下行,,400
2014-07-22,2014-07-23,600188,6.8200,6.8405,6.8375,0,0,0.5707,002128,0.3716,均线未下行,,700
2014-07-23,2014-07-24,601988,2.5600,2.5667,2.5617,0,0,0.8427,002128,0.3753,均线未下行,,1300
2014-08-08,2014-08-11,601398,3.5100,3.5165,3.4875,0,0,0.8965,600031,0.5532,均线未下行,,400
2014-08-12,2014-08-13,000651,29.4600,29.5545,29.0595,0,0,0.7499,600031,0.5522,均线未下行,,59500
2014-08-13,2014-08-14,601398,3.5100,3.5275,3.5095,0,0,0.8965,600031,0.5513,均线未下行,,400
2014-08-14,2014-08-15,601398,3.5100,3.5305,3.5130,0,0,0.8965,600031,0.5464,均线未下行,,400
2014-08-15,2014-08-18,601398,3.5200,3.5340,3.5165,0,0,0.8991,600031,0.5503,均线未下行,,400
2014-08-18,2014-08-19,601398,3.5100,3.5385,3.5220,0,0,0.8965,600031,0.5532,均线未下行,,400
2014-08-19,2014-08-20,601939,4.1000,4.1055,4.0550,0,0,0.9135,600031,0.5513,均线未下行,,800
2014-08-20,2014-08-21,601939,4.0900,4.1135,4.0650,0,0,0.9113,600031,0.5493,均线未下行,,800
2014-08-21,2014-08-22,601988,2.6900,2.6970,2.6660,0,0,0.9174,000792,0.6964,均线未下行,,1600
2014-08-22,2014-08-25,601939,4.0700,4.1200,4.0850,0,0,0.9068,000792,0.6902,均线未下行,,800
2014-08-25,2014-08-26,601988,2.7000,2.7020,2.6790,0,0,0.9208,000792,0.6676,均线未下行,,1600
2014-08-26,2014-08-27,601988,2.6800,2.7000,2.6850,0,0,0.9140,000792,0.6646,均线未下行,,1600
2014-09-12,2014-09-15,000651,29.2000,29.2210,29.2315,0,0,0.7050,600585,0.5340,均线未下行,,59500
