group,arm,metric,level_median,paired_delta_median,positive_starts,better_starts
full,EBDQ30,最大回撤起日,20150609.0,0.0,5,
full,EBDQ30,最大回撤止日,20160613.0,205.0,7,
full,EBDQ30,末次净值日,20260828.0,0.0,0,
full,EBDQ40,年化,0.29830595447087416,-0.1367226564125732,0,0
full,EBDQ40,最大回撤,0.5331031624408222,-0.14209447214622511,0,14
full,EBDQ40,Sharpe,0.8028816494042437,-0.12565126621458428,0,0
full,EBDQ40,Calmar,0.5682643880687099,-0.06805607092074722,3,3
full,EBDQ40,平均仓位,1.3666893316078035,-0.2852855493975106,0,14
full,EBDQ40,年均换手,5.257945131284341,-1.300196078068625,0,14
full,EBDQ40,持仓数中位,5.5,-1.0,0,
full,EBDQ40,单票权重中位,0.6123293768984612,-0.035454536960558336,0,
full,EBDQ40,单票权重P90,0.7345966465582747,-0.08711967980482582,0,
full,EBDQ40,单票权重最大,0.9560278961745166,-0.05061261057234134,2,
full,EBDQ40,前三权重中位,1.2799876170119107,-0.17354014490482816,0,
full,EBDQ40,单票超60%天数占比,0.5670974252459144,-0.235550409674826,0,
full,EBDQ40,滚动3年年化中位,0.2940258421075823,-0.17539054146782984,0,0
full,EBDQ40,滚动3年回撤中位,0.43570761764574983,-0.012250225536362014,5,9
full,EBDQ40,滚动3年Calmar中位,0.6999042748496133,-0.4415270372918268,0,
full,EBDQ40,滚动3年Sharpe中位,0.7784176488713231,-0.24335353322278824,0,
full,EBDQ40,滚动3年为负的窗口占比,0.0,-0.010565110565110562,1,
full,EBDQ40,滚动5年年化中位,0.2847069712139789,-0.22772906951026484,0,0
full,EBDQ40,滚动5年年化P25,0.23328020276542483,-0.14408017112603722,0,0
full,EBDQ40,滚动5年年化最差,0.06484358880086849,-0.0314761828820197,5,5
full,EBDQ40,滚动5年回撤中位,0.4451732665120779,-0.017464203057175887,4,10
full,EBDQ40,滚动5年Calmar中位,0.6659785474431023,-0.45567568745107095,0,0
full,EBDQ40,滚动5年Sharpe中位,0.754593724175065,-0.2714938842552631,0,0
full,EBDQ40,滚动5年为负的窗口占比,0.0,0.0,0,4
full,EBDQ40,滚动5年窗口数,102.0,0.0,0,
full,EBDQ40,互不重叠5年块中位,0.3848865021687665,-0.25739182237998054,0,0
full,EBDQ40,滚动10年年化中位,0.29056874617623407,-0.1599353994506687,0,
full,EBDQ40,滚动10年窗口数,42.0,0.0,0,
full,EBDQ40,逐年收益中位,0.29447203787076986,-0.11258378540891406,0,0
full,EBDQ40,逐年为正比例,0.7596153846153846,0.0,1,
full,EBDQ40,逐年最差,-0.24291780104485,-0.009763304421283037,4,4
full,EBDQ40,完整自然年数,12.5,0.0,0,
full,EBDQ40,强平次数,0.0,0.0,0,
full,EBDQ40,最低担保比例,1.8720097746556528,0.07243712856542117,11,
full,EBDQ40,最低股票同跌缓冲,0.3055588827357841,0.02867153756610938,11,
full,EBDQ40,最低总资产冲击缓冲,0.30555888273578413,0.02867153756610935,11,
full,EBDQ40,rf覆盖率,1.0,0.0,0,
full,EBDQ40,年化_交易日口径,0.2991684032779621,-0.13735461739980226,0,
full,EBDQ40,最低担保比例日,20200323.0,34745.0,8,
full,EBDQ40,最低股票同跌缓冲日,20200323.0,34745.0,8,
full,EBDQ40,滚动5年年化最差窗口末日,20200430.0,0.0,6,
full,EBDQ40,最大回撤起日,20150609.0,-0.5,1,
full,EBDQ40,最大回撤止日,20160613.0,0.0,5,
full,EBDQ40,末次净值日,20260828.0,0.0,0,
full,EBDS02,年化,0.4572364093852366,0.0,0,0
full,EBDS02,最大回撤,0.6689672533939561,0.0,0,0
full,EBDS02,Sharpe,0.9588288100685181,0.0,0,0
full,EBDS02,Calmar,0.6561606351855063,0.0,0,0
full,EBDS02,平均仓位,1.660779467976345,0.0,0,0
full,EBDS02,年均换手,6.627633597933826,0.0,0,0
full,EBDS02,持仓数中位,7.0,0.0,0,
full,EBDS02,单票权重中位,0.6461551739358572,0.0,0,
full,EBDS02,单票权重P90,0.8741921281231362,0.0,0,
full,EBDS02,单票权重最大,1.0338705467971252,0.0,0,
full,EBDS02,前三权重中位,1.4531012607812244,0.0,0,
full,EBDS02,单票超60%天数占比,0.7937519104160513,0.0,0,
full,EBDS02,滚动3年年化中位,0.4989443992397642,0.0,0,0
full,EBDS02,滚动3年回撤中位,0.4397975657240146,0.0,0,0
full,EBDS02,滚动3年Calmar中位,1.1804249293583802,0.0,0,
full,EBDS02,滚动3年Sharpe中位,1.0315887720922872,0.0,0,
full,EBDS02,滚动3年为负的窗口占比,0.012256442489000628,0.0,0,
full,EBDS02,滚动5年年化中位,0.5199538620061581,0.0,0,0
full,EBDS02,滚动5年年化P25,0.40994352866334094,0.0,0,0
full,EBDS02,滚动5年年化最差,0.1084102845327164,0.0,0,0
full,EBDS02,滚动5年回撤中位,0.4697761783723764,0.0,0,0
full,EBDS02,滚动5年Calmar中位,1.1286076723010412,0.0,0,0
full,EBDS02,滚动5年Sharpe中位,1.036881265922844,0.0,0,0
full,EBDS02,滚动5年为负的窗口占比,0.0,0.0,0,0
full,EBDS02,滚动5年窗口数,102.0,0.0,0,
full,EBDS02,互不重叠5年块中位,0.6611546440962315,0.0,0,0
full,EBDS02,滚动10年年化中位,0.4529726284620733,0.0,0,
full,EBDS02,滚动10年窗口数,42.0,0.0,0,
full,EBDS02,逐年收益中位,0.38483104075315044,0.0,0,0
full,EBDS02,逐年为正比例,0.7596153846153846,0.0,0,
full,EBDS02,逐年最差,-0.25567271903599903,0.0,0,0
full,EBDS02,完整自然年数,12.5,0.0,0,
full,EBDS02,强平次数,0.0,0.0,0,
full,EBDS02,最低担保比例,1.7861478545457574,0.0,0,
full,EBDS02,最低股票同跌缓冲,0.2721710203079535,0.0,0,
full,EBDS02,最低总资产冲击缓冲,0.27217102030795354,0.0,0,
full,EBDS02,rf覆盖率,1.0,0.0,0,
full,EBDS02,年化_交易日口径,0.4587947838762385,0.0,0,
full,EBDS02,最低担保比例日,20150825.0,0.0,0,
full,EBDS02,最低股票同跌缓冲日,20150825.0,0.0,0,
full,EBDS02,滚动5年年化最差窗口末日,20190829.0,0.0,0,
full,EBDS02,最大回撤起日,20150612.0,0.0,0,
full,EBDS02,最大回撤止日,20160530.0,0.0,0,
full,EBDS02,末次净值日,20260828.0,0.0,0,
full,EBDS03,年化,0.4892917979101039,0.025311019501555787,11,11
full,EBDS03,最大回撤,0.5469716048794804,-0.11704305682052607,0,14
full,EBDS03,Sharpe,1.0331298791423231,0.06925097895729987,11,11
full,EBDS03,Calmar,0.8182886673609149,0.16687391663825035,14,14
full,EBDS03,平均仓位,1.6218891108003568,-0.03869961800567634,0,14
full,EBDS03,年均换手,6.58157128559583,0.01632499712180291,8,6
full,EBDS03,持仓数中位,7.0,0.0,2,
full,EBDS03,单票权重中位,0.631628175154738,-0.01301597319167902,0,
full,EBDS03,单票权重P90,0.7542406493455514,-0.10704990599653752,0,
full,EBDS03,单票权重最大,0.9558663400556136,-0.10265713559743306,2,
full,EBDS03,前三权重中位,1.423920853876266,-0.025505560443386477,0,
full,EBDS03,单票超60%天数占比,0.7257029181971377,-0.0693159968816161,0,
full,EBDS03,滚动3年年化中位,0.5103161460727351,0.02161647734053418,10,10
full,EBDS03,滚动3年回撤中位,0.4411762359423225,0.0013619618301389802,8,6
full,EBDS03,滚动3年Calmar中位,1.1614998071459142,0.03201282631017399,8,
full,EBDS03,滚动3年Sharpe中位,1.071094801235644,0.01877536606460256,9,
full,EBDS03,滚动3年为负的窗口占比,0.0,-0.008338544923910778,2,
full,EBDS03,滚动5年年化中位,0.5347570552276463,-0.007805938328164896,6,6
full,EBDS03,滚动5年年化P25,0.45692335442477683,0.04684435416157706,10,10
full,EBDS03,滚动5年年化最差,0.21400094712011153,0.047446048998767754,11,11
full,EBDS03,滚动5年回撤中位,0.46419085449104697,0.00015734360271513204,7,7
