group,arm,metric,paired_delta_median
full,EBDQ20,滚动5年Calmar中位,-0.09210833711913191
full,EBDQ20,滚动5年Sharpe中位,-0.07901166174974061
full,EBDQ20,滚动5年为负的窗口占比,0.0
full,EBDQ20,滚动5年窗口数,0.0
full,EBDQ20,互不重叠5年块中位,-0.1099177484839079
full,EBDQ20,滚动10年年化中位,-0.06633128731813143
full,EBDQ20,滚动10年窗口数,0.0
full,EBDQ20,逐年收益中位,-0.013031628400424877
full,EBDQ20,逐年为正比例,0.0
full,EBDQ20,逐年最差,0.0
full,EBDQ20,完整自然年数,0.0
full,EBDQ20,强平次数,0.0
full,EBDQ20,最低担保比例,0.09801130378469547
full,EBDQ20,最低股票同跌缓冲,0.0373024694359001
full,EBDQ20,最低总资产冲击缓冲,0.0373024694359001
full,EBDQ20,rf覆盖率,0.0
full,EBDQ20,年化_交易日口径,-0.051107301785210946
full,EBDQ20,最低担保比例日,0.0
full,EBDQ20,最低股票同跌缓冲日,0.0
full,EBDQ20,滚动5年年化最差窗口末日,0.0
full,EBDQ20,最大回撤起日,0.0
full,EBDQ20,最大回撤止日,0.0
full,EBDQ20,末次净值日,0.0
A,EBDQ20,年化,-0.07988759795491218
A,EBDQ20,最大回撤,-0.06933864322997146
A,EBDQ20,Sharpe,-0.06135594491216623
A,EBDQ20,Calmar,-0.051716993391650146
A,EBDQ20,平均仓位,-0.12417368527841932
A,EBDQ20,年均换手,0.7316730237408913
A,EBDQ20,持仓数中位,0.0
A,EBDQ20,单票权重中位,-0.016774419953527464
A,EBDQ20,单票权重P90,-0.023161345419968615
A,EBDQ20,单票权重最大,-0.031233684511949855
A,EBDQ20,前三权重中位,-0.08122594411207218
A,EBDQ20,单票超60%天数占比,-0.13156319995619264
A,EBDQ20,滚动3年年化中位,-0.07469363037232013
A,EBDQ20,滚动3年回撤中位,-0.018496074333610057
A,EBDQ20,滚动3年Calmar中位,-0.28728243193151876
A,EBDQ20,滚动3年Sharpe中位,-0.12606508522763815
A,EBDQ20,滚动3年为负的窗口占比,0.006947459834997829
A,EBDQ20,滚动5年年化中位,-0.12133355187868444
A,EBDQ20,滚动5年年化P25,-0.09721174273992539
A,EBDQ20,滚动5年年化最差,-0.03755552981172994
A,EBDQ20,滚动5年回撤中位,-0.015401827469599338
A,EBDQ20,滚动5年Calmar中位,-0.2767881256238533
A,EBDQ20,滚动5年Sharpe中位,-0.1374276021063331
A,EBDQ20,滚动5年为负的窗口占比,0.0
A,EBDQ20,滚动5年窗口数,0.0
A,EBDQ20,互不重叠5年块中位,-0.11004584332891637
A,EBDQ20,滚动10年年化中位,-0.09921017975079593
A,EBDQ20,滚动10年窗口数,0.0
A,EBDQ20,逐年收益中位,-0.04022677104806549
A,EBDQ20,逐年为正比例,0.0
A,EBDQ20,逐年最差,-0.04772977196881151
A,EBDQ20,完整自然年数,0.0
A,EBDQ20,强平次数,0.0
A,EBDQ20,最低担保比例,0.15890594463531837
A,EBDQ20,最低股票同跌缓冲,0.07276053982993434
A,EBDQ20,最低总资产冲击缓冲,0.0727605398299343
A,EBDQ20,rf覆盖率,0.0
A,EBDQ20,年化_交易日口径,-0.08015024748063437
A,EBDQ20,最低担保比例日,49498.0
A,EBDQ20,最低股票同跌缓冲日,49498.0
A,EBDQ20,滚动5年年化最差窗口末日,0.0
A,EBDQ20,最大回撤起日,0.0
A,EBDQ20,最大回撤止日,289.0
A,EBDQ20,末次净值日,0.0
full,EBDQ30,年化,-0.058185524486205065
full,EBDQ30,最大回撤,-0.11850036794951713
full,EBDQ30,Sharpe,-0.03424941508743451
full,EBDQ30,Calmar,0.0177089113868249
full,EBDQ30,平均仓位,-0.20885926215213146
full,EBDQ30,年均换手,-1.0195158740764971
full,EBDQ30,持仓数中位,-0.5
full,EBDQ30,单票权重中位,-0.031008291348745387
full,EBDQ30,单票权重P90,-0.07448854724289966
full,EBDQ30,单票权重最大,-0.08995164911344322
full,EBDQ30,前三权重中位,-0.11861288563340122
full,EBDQ30,单票超60%天数占比,-0.20323619409519816
full,EBDQ30,滚动3年年化中位,-0.09942172693376572
full,EBDQ30,滚动3年回撤中位,-0.006769545797157828
full,EBDQ30,滚动3年Calmar中位,-0.24216366581951232
full,EBDQ30,滚动3年Sharpe中位,-0.10461979555427237
full,EBDQ30,滚动3年为负的窗口占比,-0.010565110565110562
full,EBDQ30,滚动5年年化中位,-0.11109616781957021
full,EBDQ30,滚动5年年化P25,-0.06768122491765138
full,EBDQ30,滚动5年年化最差,0.0076455475031750875
full,EBDQ30,滚动5年回撤中位,0.0009860165621951578
full,EBDQ30,滚动5年Calmar中位,-0.2283397993483674
full,EBDQ30,滚动5年Sharpe中位,-0.09437120183390091
full,EBDQ30,滚动5年为负的窗口占比,0.0
full,EBDQ30,滚动5年窗口数,0.0
full,EBDQ30,互不重叠5年块中位,-0.12459118702519845
full,EBDQ30,滚动10年年化中位,-0.06952811214672028
full,EBDQ30,滚动10年窗口数,0.0
full,EBDQ30,逐年收益中位,-0.04222910364703769
full,EBDQ30,逐年为正比例,0.0
full,EBDQ30,逐年最差,0.0
full,EBDQ30,完整自然年数,0.0
full,EBDQ30,强平次数,0.0
full,EBDQ30,最低担保比例,0.05025236763815466
full,EBDQ30,最低股票同跌缓冲,0.02060061040398678
full,EBDQ30,最低总资产冲击缓冲,0.020600610403986752
full,EBDQ30,rf覆盖率,0.0
full,EBDQ30,年化_交易日口径,-0.058400769672035446
full,EBDQ30,最低担保比例日,24748.5
full,EBDQ30,最低股票同跌缓冲日,24748.5
full,EBDQ30,滚动5年年化最差窗口末日,0.0
full,EBDQ30,最大回撤起日,0.0
full,EBDQ30,最大回撤止日,205.0
full,EBDQ30,末次净值日,0.0
A,EBDQ30,年化,-0.09625090731005126
A,EBDQ30,最大回撤,-0.09040553526243345
A,EBDQ30,Sharpe,-0.07860677425970874
A,EBDQ30,Calmar,-0.05070543834177166
A,EBDQ30,平均仓位,-0.19354484752450118
A,EBDQ30,年均换手,-1.0126548806812177
A,EBDQ30,持仓数中位,0.0
A,EBDQ30,单票权重中位,-0.03061266603685603
A,EBDQ30,单票权重P90,-0.029706060544718638
A,EBDQ30,单票权重最大,-0.00669231129344966
A,EBDQ30,前三权重中位,-0.11728877431941065
A,EBDQ30,单票超60%天数占比,-0.2033773387558928
A,EBDQ30,滚动3年年化中位,-0.07527918212192053
A,EBDQ30,滚动3年回撤中位,-0.0001199052857745464
A,EBDQ30,滚动3年Calmar中位,-0.25776824271734566
A,EBDQ30,滚动3年Sharpe中位,-0.12568639563840878
A,EBDQ30,滚动3年为负的窗口占比,0.006546014632268001
A,EBDQ30,滚动5年年化中位,-0.11171742559611642
A,EBDQ30,滚动5年年化P25,-0.1028213249880553
A,EBDQ30,滚动5年年化最差,-0.031937582625444105
A,EBDQ30,滚动5年回撤中位,0.00717022960560032
A,EBDQ30,滚动5年Calmar中位,-0.2718117686478587
A,EBDQ30,滚动5年Sharpe中位,-0.12549279373128774
A,EBDQ30,滚动5年为负的窗口占比,0.0
A,EBDQ30,滚动5年窗口数,0.0
A,EBDQ30,互不重叠5年块中位,-0.16618937747600004
A,EBDQ30,滚动10年年化中位,-0.09397892979611244
A,EBDQ30,滚动10年窗口数,0.0
A,EBDQ30,逐年收益中位,-0.024227495299114166
A,EBDQ30,逐年为正比例,0.0
A,EBDQ30,逐年最差,-0.04783013434085731
A,EBDQ30,完整自然年数,0.0
A,EBDQ30,强平次数,0.0
A,EBDQ30,最低担保比例,0.11707329891676654
A,EBDQ30,最低股票同跌缓冲,0.04668866079508932
A,EBDQ30,最低总资产冲击缓冲,0.04668866079508932
A,EBDQ30,rf覆盖率,0.0
A,EBDQ30,年化_交易日口径,-0.09657986286397402
A,EBDQ30,最低担保比例日,49498.0
A,EBDQ30,最低股票同跌缓冲日,49498.0
A,EBDQ30,滚动5年年化最差窗口末日,0.0
A,EBDQ30,最大回撤起日,9692.0
A,EBDQ30,最大回撤止日,9952.5
A,EBDQ30,末次净值日,0.0
full,EBDQ40,年化,-0.1367226564125732
full,EBDQ40,最大回撤,-0.14209447214622511
full,EBDQ40,Sharpe,-0.12565126621458428
full,EBDQ40,Calmar,-0.06805607092074722
full,EBDQ40,平均仓位,-0.2852855493975106
full,EBDQ40,年均换手,-1.300196078068625
full,EBDQ40,持仓数中位,-1.0
full,EBDQ40,单票权重中位,-0.035454536960558336
full,EBDQ40,单票权重P90,-0.08711967980482582
full,EBDQ40,单票权重最大,-0.05061261057234134
full,EBDQ40,前三权重中位,-0.17354014490482816
full,EBDQ40,单票超60%天数占比,-0.235550409674826
full,EBDQ40,滚动3年年化中位,-0.17539054146782984
full,EBDQ40,滚动3年回撤中位,-0.012250225536362014
full,EBDQ40,滚动3年Calmar中位,-0.4415270372918268
full,EBDQ40,滚动3年Sharpe中位,-0.24335353322278824
full,EBDQ40,滚动3年为负的窗口占比,-0.010565110565110562
full,EBDQ40,滚动5年年化中位,-0.22772906951026484
full,EBDQ40,滚动5年年化P25,-0.14408017112603722
full,EBDQ40,滚动5年年化最差,-0.0314761828820197
full,EBDQ40,滚动5年回撤中位,-0.017464203057175887
full,EBDQ40,滚动5年Calmar中位,-0.45567568745107095
full,EBDQ40,滚动5年Sharpe中位,-0.2714938842552631
full,EBDQ40,滚动5年为负的窗口占比,0.0
full,EBDQ40,滚动5年窗口数,0.0
full,EBDQ40,互不重叠5年块中位,-0.25739182237998054
full,EBDQ40,滚动10年年化中位,-0.1599353994506687
full,EBDQ40,滚动10年窗口数,0.0
full,EBDQ40,逐年收益中位,-0.11258378540891406
full,EBDQ40,逐年为正比例,0.0
full,EBDQ40,逐年最差,-0.009763304421283037
full,EBDQ40,完整自然年数,0.0
full,EBDQ40,强平次数,0.0
full,EBDQ40,最低担保比例,0.07243712856542117
full,EBDQ40,最低股票同跌缓冲,0.02867153756610938
full,EBDQ40,最低总资产冲击缓冲,0.02867153756610935
full,EBDQ40,rf覆盖率,0.0
full,EBDQ40,年化_交易日口径,-0.13735461739980226
full,EBDQ40,最低担保比例日,34745.0
full,EBDQ40,最低股票同跌缓冲日,34745.0
full,EBDQ40,滚动5年年化最差窗口末日,0.0
full,EBDQ40,最大回撤起日,-0.5
full,EBDQ40,最大回撤止日,0.0
full,EBDQ40,末次净值日,0.0
A,EBDQ40,年化,-0.10828698952610394
A,EBDQ40,最大回撤,-0.09163137486355866
A,EBDQ40,Sharpe,-0.10513716960318759
A,EBDQ40,Calmar,-0.1063061105107673
A,EBDQ40,平均仓位,-0.246414165773722
A,EBDQ40,年均换手,-1.0731120604768392
A,EBDQ40,持仓数中位,-1.0
A,EBDQ40,单票权重中位,-0.010092378073931929
A,EBDQ40,单票权重P90,-0.024903112522391524
A,EBDQ40,单票权重最大,0.05550460578350025
A,EBDQ40,前三权重中位,-0.13768388714056568
A,EBDQ40,单票超60%天数占比,-0.11799760338109833
A,EBDQ40,滚动3年年化中位,-0.08883257449072735
A,EBDQ40,滚动3年回撤中位,-0.001990950578840467
A,EBDQ40,滚动3年Calmar中位,-0.2946135474669779
A,EBDQ40,滚动3年Sharpe中位,-0.12825829855664428
A,EBDQ40,滚动3年为负的窗口占比,0.0
A,EBDQ40,滚动5年年化中位,-0.10748014034699072
A,EBDQ40,滚动5年年化P25,-0.10360736772023316
A,EBDQ40,滚动5年年化最差,-0.03192722404984716
A,EBDQ40,滚动5年回撤中位,0.02754988677433129
A,EBDQ40,滚动5年Calmar中位,-0.2995782460008641
A,EBDQ40,滚动5年Sharpe中位,-0.1264843196130685
A,EBDQ40,滚动5年为负的窗口占比,0.0
A,EBDQ40,滚动5年窗口数,0.0
A,EBDQ40,互不重叠5年块中位,-0.19305662280674818
A,EBDQ40,滚动10年年化中位,-0.1009138714765827
A,EBDQ40,滚动10年窗口数,0.0
A,EBDQ40,逐年收益中位,-0.04414845723173749
A,EBDQ40,逐年为正比例,0.0
A,EBDQ40,逐年最差,-0.04126865240507982
A,EBDQ40,完整自然年数,0.0
A,EBDQ40,强平次数,0.0
A,EBDQ40,最低担保比例,0.11827594721305679
A,EBDQ40,最低股票同跌缓冲,0.05499297972940302
A,EBDQ40,最低总资产冲击缓冲,0.05499297972940298
A,EBDQ40,rf覆盖率,0.0
A,EBDQ40,年化_交易日口径,-0.10877541959202841
A,EBDQ40,最低担保比例日,49498.0
A,EBDQ40,最低股票同跌缓冲日,49498.0
A,EBDQ40,滚动5年年化最差窗口末日,0.0
A,EBDQ40,最大回撤起日,49499.0
A,EBDQ40,最大回撤止日,39803.5
A,EBDQ40,末次净值日,0.0
full,EBDS02,年化,0.0
full,EBDS02,最大回撤,0.0
full,EBDS02,Sharpe,0.0
full,EBDS02,Calmar,0.0
full,EBDS02,平均仓位,0.0
full,EBDS02,年均换手,0.0
full,EBDS02,持仓数中位,0.0
full,EBDS02,单票权重中位,0.0
full,EBDS02,单票权重P90,0.0
full,EBDS02,单票权重最大,0.0
full,EBDS02,前三权重中位,0.0
full,EBDS02,单票超60%天数占比,0.0
full,EBDS02,滚动3年年化中位,0.0
full,EBDS02,滚动3年回撤中位,0.0
full,EBDS02,滚动3年Calmar中位,0.0
full,EBDS02,滚动3年Sharpe中位,0.0
full,EBDS02,滚动3年为负的窗口占比,0.0
full,EBDS02,滚动5年年化中位,0.0
full,EBDS02,滚动5年年化P25,0.0
full,EBDS02,滚动5年年化最差,0.0
full,EBDS02,滚动5年回撤中位,0.0
full,EBDS02,滚动5年Calmar中位,0.0
full,EBDS02,滚动5年Sharpe中位,0.0
full,EBDS02,滚动5年为负的窗口占比,0.0
full,EBDS02,滚动5年窗口数,0.0
full,EBDS02,互不重叠5年块中位,0.0
full,EBDS02,滚动10年年化中位,0.0
full,EBDS02,滚动10年窗口数,0.0
full,EBDS02,逐年收益中位,0.0
full,EBDS02,逐年为正比例,0.0
full,EBDS02,逐年最差,0.0
full,EBDS02,完整自然年数,0.0
full,EBDS02,强平次数,0.0
full,EBDS02,最低担保比例,0.0
full,EBDS02,最低股票同跌缓冲,0.0
full,EBDS02,最低总资产冲击缓冲,0.0
full,EBDS02,rf覆盖率,0.0
full,EBDS02,年化_交易日口径,0.0
full,EBDS02,最低担保比例日,0.0
full,EBDS02,最低股票同跌缓冲日,0.0
full,EBDS02,滚动5年年化最差窗口末日,0.0
full,EBDS02,最大回撤起日,0.0
full,EBDS02,最大回撤止日,0.0
full,EBDS02,末次净值日,0.0
A,EBDS02,年化,0.0
A,EBDS02,最大回撤,0.0
A,EBDS02,Sharpe,0.0
A,EBDS02,Calmar,0.0
A,EBDS02,平均仓位,0.0
A,EBDS02,年均换手,0.0
A,EBDS02,持仓数中位,0.0
A,EBDS02,单票权重中位,0.0
A,EBDS02,单票权重P90,0.0
A,EBDS02,单票权重最大,0.0
A,EBDS02,前三权重中位,0.0
A,EBDS02,单票超60%天数占比,0.0
A,EBDS02,滚动3年年化中位,0.0
A,EBDS02,滚动3年回撤中位,0.0
A,EBDS02,滚动3年Calmar中位,0.0
A,EBDS02,滚动3年Sharpe中位,0.0
A,EBDS02,滚动3年为负的窗口占比,0.0
A,EBDS02,滚动5年年化中位,0.0
A,EBDS02,滚动5年年化P25,0.0
A,EBDS02,滚动5年年化最差,0.0
A,EBDS02,滚动5年回撤中位,0.0
A,EBDS02,滚动5年Calmar中位,0.0
A,EBDS02,滚动5年Sharpe中位,0.0
A,EBDS02,滚动5年为负的窗口占比,0.0
A,EBDS02,滚动5年窗口数,0.0
A,EBDS02,互不重叠5年块中位,0.0
A,EBDS02,滚动10年年化中位,0.0
A,EBDS02,滚动10年窗口数,0.0
A,EBDS02,逐年收益中位,0.0
A,EBDS02,逐年为正比例,0.0
A,EBDS02,逐年最差,0.0
A,EBDS02,完整自然年数,0.0
A,EBDS02,强平次数,0.0
A,EBDS02,最低担保比例,0.0
A,EBDS02,最低股票同跌缓冲,0.0
A,EBDS02,最低总资产冲击缓冲,0.0
A,EBDS02,rf覆盖率,0.0
A,EBDS02,年化_交易日口径,0.0
A,EBDS02,最低担保比例日,0.0
A,EBDS02,最低股票同跌缓冲日,0.0
A,EBDS02,滚动5年年化最差窗口末日,0.0
A,EBDS02,最大回撤起日,0.0
A,EBDS02,最大回撤止日,0.0
A,EBDS02,末次净值日,0.0
full,EBDS03,年化,0.025311019501555787
full,EBDS03,最大回撤,-0.11704305682052607
full,EBDS03,Sharpe,0.06925097895729987
full,EBDS03,Calmar,0.16687391663825035
full,EBDS03,平均仓位,-0.03869961800567634
full,EBDS03,年均换手,0.01632499712180291
full,EBDS03,持仓数中位,0.0
full,EBDS03,单票权重中位,-0.01301597319167902
full,EBDS03,单票权重P90,-0.10704990599653752
full,EBDS03,单票权重最大,-0.10265713559743306
full,EBDS03,前三权重中位,-0.025505560443386477
full,EBDS03,单票超60%天数占比,-0.0693159968816161
full,EBDS03,滚动3年年化中位,0.02161647734053418
full,EBDS03,滚动3年回撤中位,0.0013619618301389802
full,EBDS03,滚动3年Calmar中位,0.03201282631017399
full,EBDS03,滚动3年Sharpe中位,0.01877536606460256
full,EBDS03,滚动3年为负的窗口占比,-0.008338544923910778
full,EBDS03,滚动5年年化中位,-0.007805938328164896
full,EBDS03,滚动5年年化P25,0.04684435416157706
full,EBDS03,滚动5年年化最差,0.047446048998767754
full,EBDS03,滚动5年回撤中位,0.00015734360271513204
full,EBDS03,滚动5年Calmar中位,0.029026439563405837
full,EBDS03,滚动5年Sharpe中位,0.018626220910236135
full,EBDS03,滚动5年为负的窗口占比,0.0
full,EBDS03,滚动5年窗口数,0.0
full,EBDS03,互不重叠5年块中位,0.008030959040815078
full,EBDS03,滚动10年年化中位,0.028823556499542824
full,EBDS03,滚动10年窗口数,0.0
full,EBDS03,逐年收益中位,-0.01893455375034503
full,EBDS03,逐年为正比例,0.0
full,EBDS03,逐年最差,0.040799820144382826
full,EBDS03,完整自然年数,0.0
full,EBDS03,强平次数,0.0
full,EBDS03,最低担保比例,0.0777313625526842
full,EBDS03,最低股票同跌缓冲,0.0306304386483702
full,EBDS03,最低总资产冲击缓冲,0.03063043864837023
full,EBDS03,rf覆盖率,0.0
full,EBDS03,年化_交易日口径,0.025428084164198506
full,EBDS03,最低担保比例日,0.0
full,EBDS03,最低股票同跌缓冲日,0.0
full,EBDS03,滚动5年年化最差窗口末日,0.0
full,EBDS03,最大回撤起日,0.0
full,EBDS03,最大回撤止日,0.0
full,EBDS03,末次净值日,0.0
A,EBDS03,年化,0.01700153109054736
A,EBDS03,最大回撤,-0.10237267837403774
A,EBDS03,Sharpe,0.08298604833885093
A,EBDS03,Calmar,0.14173854963812849
A,EBDS03,平均仓位,-0.03962499905977035
A,EBDS03,年均换手,-0.04457273616552282
A,EBDS03,持仓数中位,0.0
A,EBDS03,单票权重中位,-0.007269804506593869
A,EBDS03,单票权重P90,-0.025280676574925554
A,EBDS03,单票权重最大,-0.03487058902842016
A,EBDS03,前三权重中位,-0.024144731067279435
A,EBDS03,单票超60%天数占比,-0.06637835366457334
A,EBDS03,滚动3年年化中位,-0.0049506718405896155
A,EBDS03,滚动3年回撤中位,-0.037353290739700507
A,EBDS03,滚动3年Calmar中位,-0.018650388454292344
A,EBDS03,滚动3年Sharpe中位,-0.00013298364635783155
A,EBDS03,滚动3年为负的窗口占比,0.0
A,EBDS03,滚动5年年化中位,-0.0014002457806353563
A,EBDS03,滚动5年年化P25,0.00033206979251498847
A,EBDS03,滚动5年年化最差,0.04680167560470222
A,EBDS03,滚动5年回撤中位,-0.014187109982739365
A,EBDS03,滚动5年Calmar中位,0.07888085713910659
A,EBDS03,滚动5年Sharpe中位,0.0328770410439615
A,EBDS03,滚动5年为负的窗口占比,0.0
A,EBDS03,滚动5年窗口数,0.0
A,EBDS03,互不重叠5年块中位,0.004702979948379538
A,EBDS03,滚动10年年化中位,-0.00057238989280195
A,EBDS03,滚动10年窗口数,0.0
A,EBDS03,逐年收益中位,8.948132025315969e-05
A,EBDS03,逐年为正比例,0.0
A,EBDS03,逐年最差,0.007234749782848882
A,EBDS03,完整自然年数,0.0
A,EBDS03,强平次数,0.0
A,EBDS03,最低担保比例,0.1957169045653595
A,EBDS03,最低股票同跌缓冲,0.08633149912236847
A,EBDS03,最低总资产冲击缓冲,0.08633149912236848
A,EBDS03,rf覆盖率,0.0
A,EBDS03,年化_交易日口径,0.017062580837506225
A,EBDS03,最低担保比例日,49498.0
A,EBDS03,最低股票同跌缓冲日,49498.0
A,EBDS03,滚动5年年化最差窗口末日,0.0
A,EBDS03,最大回撤起日,0.0
A,EBDS03,最大回撤止日,282.5
A,EBDS03,末次净值日,0.0
full,EBDS04,年化,-0.07546754505128705
full,EBDS04,最大回撤,-0.10605604950771214
full,EBDS04,Sharpe,-0.051652649833366704
full,EBDS04,Calmar,0.0113254476251608
full,EBDS04,平均仓位,-0.11055321445846311
full,EBDS04,年均换手,-0.18223234550287426
full,EBDS04,持仓数中位,0.0
full,EBDS04,单票权重中位,-0.012476617706239146
full,EBDS04,单票权重P90,-0.10794677540959347
full,EBDS04,单票权重最大,-0.12660510201530273
full,EBDS04,前三权重中位,-0.05717239621530357
full,EBDS04,单票超60%天数占比,-0.10625759140772201
full,EBDS04,滚动3年年化中位,-0.10835664468488782
full,EBDS04,滚动3年回撤中位,-0.015314134335430829
full,EBDS04,滚动3年Calmar中位,-0.22269349229530105
full,EBDS04,滚动3年Sharpe中位,-0.1353771606858863
full,EBDS04,滚动3年为负的窗口占比,0.0
full,EBDS04,滚动5年年化中位,-0.1489142956054792
full,EBDS04,滚动5年年化P25,-0.07981325772489423
full,EBDS04,滚动5年年化最差,0.01790246607845669
full,EBDS04,滚动5年回撤中位,-0.03829809508641541
full,EBDS04,滚动5年Calmar中位,-0.22880026760537858
full,EBDS04,滚动5年Sharpe中位,-0.15275792198373989
full,EBDS04,滚动5年为负的窗口占比,0.0
full,EBDS04,滚动5年窗口数,0.0
full,EBDS04,互不重叠5年块中位,-0.1285662386071073
full,EBDS04,滚动10年年化中位,-0.08942407843251832
full,EBDS04,滚动10年窗口数,0.0
full,EBDS04,逐年收益中位,-0.10494890166935
full,EBDS04,逐年为正比例,0.0
full,EBDS04,逐年最差,-0.012913691072302669
full,EBDS04,完整自然年数,0.0
full,EBDS04,强平次数,0.0
full,EBDS04,最低担保比例,0.08138654648776256
full,EBDS04,最低股票同跌缓冲,0.032243712108239286
full,EBDS04,最低总资产冲击缓冲,0.032243712108239286
full,EBDS04,rf覆盖率,0.0
full,EBDS04,年化_交易日口径,-0.07574717234617334
full,EBDS04,最低担保比例日,-10103.5
full,EBDS04,最低股票同跌缓冲日,-10103.5
full,EBDS04,滚动5年年化最差窗口末日,0.0
full,EBDS04,最大回撤起日,0.0
full,EBDS04,最大回撤止日,0.0
full,EBDS04,末次净值日,0.0
A,EBDS04,年化,-0.04250833122969455
A,EBDS04,最大回撤,-0.09748907752981523
A,EBDS04,Sharpe,-0.02481045571916146
A,EBDS04,Calmar,0.000989108965942287
A,EBDS04,平均仓位,-0.10926186556949657
A,EBDS04,年均换手,-0.060944632169636304
A,EBDS04,持仓数中位,0.0
A,EBDS04,单票权重中位,-0.011584376577038646
A,EBDS04,单票权重P90,-0.029553710247865406
A,EBDS04,单票权重最大,-0.042842531899141834
A,EBDS04,前三权重中位,-0.050381858760467746
A,EBDS04,单票超60%天数占比,-0.11041527313266447
