period,signal_date,security_code,security_name,pv,signal_close,intrinsic_value,ma20,ma60,band_available_at,rank,eligible_count,execution_date,execution_close,price_history_end,target_1y,end_1y,status_1y,end_close_1y,return_1y,target_3y,end_3y,status_3y,end_close_3y,return_3y
2015,2015-01-05,600585,海螺水泥,0.6655,22.69,34.0941,19.546499999999977,17.957333333333327,2014-10-21,3,13,2015-01-06,22.07,2026-08-07,2016-01-06,2016-01-06,complete,16.68,-0.22245708312396384,2018-01-06,2018-01-08,complete,33.97,0.670409075017272
2016,2016-01-04,,无合格标的,,,,,,,1,0,,,,,,,,,,,,,
2016,2016-01-04,,无合格标的,,,,,,,2,0,,,,,,,,,,,,,
2016,2016-01-04,,无合格标的,,,,,,,3,0,,,,,,,,,,,,,
2017,2017-01-03,601857,中国石油,1.0157,7.97,7.8471,7.812500000000028,7.557666666666684,2016-10-29,1,1,2017-01-04,8.0,2026-08-07,2018-01-04,2018-01-04,complete,8.55,0.08335434073588122,2020-01-04,2020-01-06,complete,6.23,-0.17536899201511869
2017,2017-01-03,,无合格标的,,,,,,,2,1,,,,,,,,,,,,,
2017,2017-01-03,,无合格标的,,,,,,,3,1,,,,,,,,,,,,,
2018,2018-01-02,,无合格标的,,,,,,,1,0,,,,,,,,,,,,,
2018,2018-01-02,,无合格标的,,,,,,,2,0,,,,,,,,,,,,,
2018,2018-01-02,,无合格标的,,,,,,,3,0,,,,,,,,,,,,,
2019,2019-01-02,600066,宇通客车,0.6646,11.9,17.9053,11.838500000000048,11.78783333333331,2018-10-29,1,1,2019-01-03,11.98,2026-08-07,2020-01-03,2020-01-03,complete,14.4,0.24668747789066026,2022-01-03,2022-01-04,complete,11.01,0.07054642142754597
2019,2019-01-02,,无合格标的,,,,,,,2,1,,,,,,,,,,,,,
2019,2019-01-02,,无合格标的,,,,,,,3,1,,,,,,,,,,,,,
2020,2020-01-02,002128,电投能源,0.5293,8.67,16.3814,8.343500000000002,8.174166666666725,2019-10-23,1,8,2020-01-03,8.61,2026-08-07,2021-01-03,2021-01-04,complete,11.23,0.371013304579523,2023-01-03,2023-01-03,complete,12.38,0.6289230906901793
2020,2020-01-02,002466,天齐锂业,0.6027,30.69,50.9187,25.4156538461539,23.63765384615384,2019-10-23,2,8,2020-01-03,30.95,2026-08-07,2021-01-03,2021-01-04,complete,42.0,0.35702746365104976,2023-01-03,2023-01-03,complete,81.36,1.62875605815832
2020,2020-01-02,601225,陕西煤业,0.6878,9.02,13.1143,8.703500000000005,8.568166666666668,2019-10-31,3,8,2020-01-03,9.0,2026-08-07,2021-01-03,2021-01-04,complete,9.59,0.11429761400536864,2023-01-03,2023-01-03,complete,18.68,1.4953453928553153
2021,2021-01-04,002128,电投能源,0.5887,11.23,19.077,10.958000000000002,10.865166666666731,2020-10-27,1,3,2021-01-05,10.93,2026-08-07,2022-01-05,2022-01-05,complete,14.11,0.34263174427858956,2024-01-05,2024-01-05,complete,14.9,0.52456921432925
2021,2021-01-04,002466,天齐锂业,0.8248,42.0,50.9187,34.224000000000075,26.84766666666666,2019-10-23,2,3,2021-01-05,41.8,2026-08-07,2022-01-05,2022-01-05,complete,95.97,1.2959330143540657,2024-01-05,2024-01-05,complete,54.0,0.34730299174810786
2021,2021-01-04,601169,北京银行,0.8604,4.84,5.6255,4.834499999999991,4.813333333333336,2020-10-31,3,3,2021-01-05,4.84,2026-08-07,2022-01-05,2022-01-05,complete,4.49,-0.011147942966124536,2024-01-05,2024-01-05,complete,4.65,0.17880461431971173
2022,2022-01-04,600585,海螺水泥,0.5185,41.67,80.3702,40.48799999999991,39.05316666666674,2021-10-29,1,6,2022-01-05,42.26,2026-08-07,2023-01-05,2023-01-05,complete,28.38,-0.2821421109404396,2025-01-05,2025-01-06,complete,23.58,-0.34097754213110776
2022,2022-01-04,601169,北京银行,0.7455,4.46,5.9822,4.43949999999999,4.431000000000003,2021-10-30,2,6,2022-01-05,4.49,2026-08-07,2023-01-05,2023-01-05,complete,4.3,0.028237737107690064,2025-01-05,2025-01-06,complete,5.97,0.6187396411727173
2022,2022-01-04,601288,农业银行,0.7965,2.94,3.691,2.9384999999999994,2.937833333333339,2021-10-29,3,6,2022-01-05,2.97,2026-08-07,2023-01-05,2023-01-05,complete,2.93,0.060450397696775404,2025-01-05,2025-01-06,complete,5.19,1.1096353375817958
2023,2023-01-03,601825,沪农商行,0.523,5.9,11.2815,5.874500000000004,5.646166666666664,2022-10-29,1,11,2023-01-04,5.96,2026-08-07,2024-01-04,2024-01-04,complete,5.87,0.046590825282104564,2026-01-04,2026-01-05,complete,9.36,0.9192772111142031
2023,2023-01-03,601328,交通银行,0.6784,4.74,6.9868,4.721500000000007,4.6346666666666705,2022-10-29,2,11,2023-01-04,4.8,2026-08-07,2024-01-04,2024-01-04,complete,5.9,0.3136011356660511,2026-01-04,2026-01-05,complete,7.23,0.8182179678733343
2023,2023-01-03,601288,农业银行,0.7125,2.9,4.0701,2.8804999999999996,2.8371666666666706,2022-10-29,3,11,2023-01-04,2.93,2026-08-07,2024-01-04,2024-01-04,complete,3.77,0.3707783577594872,2026-01-04,2026-01-05,complete,7.57,2.0759015333613986
2024,2024-01-02,002128,电投能源,0.4549,14.7,32.3179,14.482999999999969,13.958000000000064,2023-10-26,1,8,2024-01-03,14.85,2026-08-07,2025-01-03,2025-01-03,complete,19.61,0.36258072274204833,2027-01-03,,forward_incomplete,,
2024,2024-01-02,002466,天齐锂业,0.4897,55.42,113.182,53.788499999999935,53.77400000000005,2023-10-27,2,8,2024-01-03,55.32,2026-08-07,2025-01-03,2025-01-03,complete,31.63,-0.40553331419335614,2027-01-03,,forward_incomplete,,
2024,2024-01-02,600938,中国海油,0.5718,20.92,36.5837,19.9165,19.689723333333326,2023-10-25,3,8,2024-01-03,21.09,2026-08-07,2025-01-03,2025-01-03,complete,29.09,0.43762789780760625,2027-01-03,,forward_incomplete,,
2025,2025-01-02,601166,兴业银行,0.6941,18.92,27.2578,18.74250000000003,18.670333333333332,2024-10-31,1,14,2025-01-03,18.92,2026-08-07,2026-01-03,2026-01-05,complete,21.05,0.16350043999459696,2028-01-03,,forward_incomplete,,
2025,2025-01-02,601838,成都银行,0.7143,16.79,23.5046,16.46449999999998,15.96866666666666,2024-10-30,2,14,2025-01-03,16.43,2026-08-07,2026-01-03,2026-01-05,complete,16.24,0.0354062568472302,2028-01-03,,forward_incomplete,,
2025,2025-01-02,601169,北京银行,0.7178,6.02,8.387,5.966999999999991,5.7976666666666725,2024-10-31,3,14,2025-01-03,5.91,2026-08-07,2026-01-03,2026-01-05,complete,5.52,-0.02000548993579976,2028-01-03,,forward_incomplete,,
2026,2026-01-05,000933,神火股份,0.5671,28.47,50.203,26.52549999999999,25.226666666666734,2025-10-21,1,15,2026-01-06,29.79,2026-08-07,2027-01-06,,forward_incomplete,,,2029-01-06,,forward_incomplete,,
2026,2026-01-05,600970,中材国际,0.657,10.27,15.6328,9.9315,9.619500000000002,2025-10-24,2,15,2026-01-06,10.35,2026-08-07,2027-01-06,,forward_incomplete,,,2029-01-06,,forward_incomplete,,
2026,2026-01-05,000651,格力电器,0.6783,40.76,60.0907,40.751500000000064,40.553500000000035,2025-10-31,3,15,2026-01-06,40.82,2026-08-07,2027-01-06,,forward_incomplete,,,2029-01-06,,forward_incomplete,,
