period,signal_date,security_code,security_name,pv,signal_close,intrinsic_value,ma20,ma60,band_available_at,rank,eligible_count,execution_date,execution_close,price_history_end,target_1y,end_1y,status_1y,end_close_1y,return_1y,target_3y,end_3y,status_3y,end_close_3y,return_3y
2012Q3,2012-07-02,,无合格标的,,,,,,,3,0,,,,,,,,,,,,,
2012Q4,2012-10-08,600585,海螺水泥,0.6175,15.61,25.2777,14.926499999999972,14.565333333333324,2012-08-15,1,2,2012-10-09,16.07,2026-08-07,2013-10-09,2013-10-09,complete,15.42,-0.02385827564570897,2015-10-09,2015-10-09,complete,18.19,0.21063418327407968
2012Q4,2012-10-08,600309,万华化学,1.0266,14.25,13.8804,13.156500000000038,13.13283333333334,2012-08-21,2,2,2012-10-09,14.33,2026-08-07,2013-10-09,2013-10-09,complete,16.6,0.20170237879232134,2015-10-09,2015-10-09,complete,16.48,0.25950093935695695
2012Q4,2012-10-08,,无合格标的,,,,,,,3,2,,,,,,,,,,,,,
2013Q1,2013-01-04,000651,格力电器,0.6179,25.32,40.978,24.327500000000093,23.05099999999996,2012-10-31,1,10,2013-01-07,26.36,2026-08-07,2014-01-07,2014-01-07,complete,29.97,0.18165892625595337,2016-01-07,2016-01-07,complete,19.58,0.7200813266000363
2013Q1,2013-01-04,000338,潍柴动力,0.6442,25.41,39.4431,24.741499999999995,22.097833333333313,2012-10-29,2,10,2013-01-07,25.05,2026-08-07,2014-01-07,2014-01-07,complete,17.75,-0.2791085036233074,2016-01-07,2016-01-07,complete,8.39,-0.29826319071512575
2013Q1,2013-01-04,600066,宇通客车,0.6678,24.35,36.4636,22.60700000000014,21.657666666666614,2012-10-23,3,10,2013-01-07,24.82,2026-08-07,2014-01-07,2014-01-07,complete,17.32,0.2821916085500269,2016-01-07,2016-01-07,complete,19.93,1.3500460177977045
2013Q2,2013-04-01,000651,格力电器,0.7089,29.05,40.978,28.093000000000085,27.936166666666626,2012-10-31,1,3,2013-04-02,28.75,2026-08-07,2014-04-02,2014-04-02,complete,28.21,0.01980242438749169,2016-04-02,2016-04-05,endpoint_quote_missing,,
2013Q2,2013-04-01,600309,万华化学,0.937,17.94,19.1458,16.96600000000004,16.563333333333343,2013-03-26,2,3,2013-04-02,17.81,2026-08-07,2014-04-02,2014-04-02,complete,18.03,0.05018746554438236,2016-04-02,2016-04-05,complete,15.59,-0.041328813627532934
2013Q2,2013-04-01,600897,厦门空港,1.0027,13.83,13.7926,13.773000000000014,13.6635,2012-10-30,3,3,2013-04-02,13.81,2026-08-07,2014-04-02,2014-04-02,complete,14.2,0.05803340387965372,2016-04-02,2016-04-05,complete,19.94,0.5579151818801691
2013Q3,2013-07-01,601398,工商银行,0.9837,4.03,4.0966,3.8893,3.867933333333334,2013-04-27,1,2,2013-07-02,4.02,2026-08-07,2014-07-02,2014-07-02,complete,3.41,-0.08739656788521033,2016-07-02,2016-07-04,complete,4.54,0.26908246297171345
2013Q3,2013-07-01,600066,宇通客车,1.0059,19.14,19.0272,18.076500000000078,16.937574074074043,2013-04-23,2,2,2013-07-02,20.05,2026-08-07,2014-07-02,2014-07-02,complete,16.33,-0.158902286468264,2016-07-02,2016-07-04,complete,20.17,0.7251595096305927
2013Q3,2013-07-01,,无合格标的,,,,,,,3,2,,,,,,,,,,,,,
2013Q4,2013-10-08,600188,兖矿能源,0.5457,10.64,19.4975,10.587999999999965,10.283833333333307,2013-08-20,1,8,2013-10-09,10.43,2026-08-07,2014-10-09,2014-10-09,complete,8.88,-0.14601011468679037,2016-10-09,2016-10-10,complete,12.68,0.22194797598441518
2013Q4,2013-10-08,000651,格力电器,0.6152,26.44,42.9764,26.36700000000008,25.98916666666661,2013-08-21,2,8,2013-10-09,26.46,2026-08-07,2014-10-09,2014-10-09,complete,28.27,0.12282305867074306,2016-10-09,2016-10-10,complete,22.11,1.005073969225755
2013Q4,2013-10-08,600309,万华化学,0.7087,16.68,23.536,16.65650000000004,16.63400000000001,2013-07-30,3,8,2013-10-09,16.6,2026-08-07,2014-10-09,2014-10-09,complete,17.95,0.12866286911247382,2016-10-09,2016-10-10,complete,21.05,0.3550072966634916
2014Q1,2014-01-02,600309,万华化学,0.7868,20.34,25.8519,20.08800000000004,18.64216666666668,2013-10-18,1,1,2014-01-03,19.84,2026-08-07,2015-01-03,2015-01-05,complete,23.54,0.23843342108979537,2017-01-03,2017-01-03,complete,22.84,0.23013295553545499
2014Q1,2014-01-02,,无合格标的,,,,,,,2,1,,,,,,,,,,,,,
2014Q1,2014-01-02,,无合格标的,,,,,,,3,1,,,,,,,,,,,,,
2014Q2,2014-04-01,600660,福耀玻璃,0.7383,8.22,11.1336,7.890499999999968,7.852166666666652,2014-02-25,1,2,2014-04-02,8.42,2026-08-07,2015-04-02,2015-04-02,complete,16.82,1.1221648965472322,2017-04-02,2017-04-05,complete,22.64,2.150175246015271
2014Q2,2014-04-01,000858,五 粮 液,0.7487,17.23,23.013,17.001499999999997,15.789333333333325,2013-10-28,2,2,2014-04-02,17.28,2026-08-07,2015-04-02,2015-04-02,complete,23.36,0.4074836153025423,2017-04-02,2017-04-05,complete,43.12,1.7145963674747011
2014Q2,2014-04-01,,无合格标的,,,,,,,3,2,,,,,,,,,,,,,
2014Q3,2014-07-01,601088,中国神华,0.4247,14.51,34.1649,14.469499999999956,14.365999999999998,2014-04-26,1,13,2014-07-02,14.68,2026-08-07,2015-07-02,2015-07-02,complete,18.64,0.39609277840833945,2017-07-02,2017-07-03,endpoint_quote_missing,,
2014Q3,2014-07-01,000333,美的集团,0.5029,18.89,37.5613,18.370499999999993,17.733766666666664,2014-04-29,2,13,2014-07-02,19.3,2026-08-07,2015-07-02,2015-07-02,complete,35.99,0.91520684044338,2017-07-02,2017-07-03,complete,41.8,2.5664021160367687
2014Q3,2014-07-01,000338,潍柴动力,0.5401,17.7,32.7694,17.679999999999996,17.539166666666645,2014-04-30,3,13,2014-07-02,17.8,2026-08-07,2015-07-02,2015-07-02,complete,27.81,0.5819982918686284,2017-07-02,2017-07-03,complete,13.0,0.5379243412849815
2014Q4,2014-10-08,000933,神火股份,0.3499,4.71,13.4615,4.467499999999998,4.238333333333318,2013-10-23,1,14,2014-10-09,4.74,2026-08-07,2015-10-09,2015-10-09,complete,4.33,-0.08649789029535726,2017-10-09,2017-10-09,complete,11.51,1.4367250214496425
2014Q4,2014-10-08,601088,中国神华,0.4605,15.4,33.4389,15.391499999999958,15.049666666666663,2014-08-23,2,14,2014-10-09,15.45,2026-08-07,2015-10-09,2015-10-09,complete,15.17,0.012967694316696976,2017-10-09,2017-10-09,complete,20.69,0.44307658868728383
2014Q4,2014-10-08,600031,三一重工,0.5763,5.94,10.3067,5.747000000000023,5.513000000000005,2014-08-30,3,14,2014-10-09,5.91,2026-08-07,2015-10-09,2015-10-09,complete,6.7,0.13784797025736406,2017-10-09,2017-10-09,complete,7.77,0.32363973458615325
2015Q1,2015-01-05,000933,神火股份,0.4895,6.59,13.4615,5.849499999999997,5.100666666666652,2013-10-23,1,13,2015-01-06,6.32,2026-08-07,2016-01-06,2016-01-06,complete,4.84,-0.23417721518987178,2018-01-06,2018-01-08,complete,10.9,0.7306887098480315
2015Q1,2015-01-05,601088,中国神华,0.6458,22.32,34.5614,18.74599999999996,16.483833333333333,2014-10-25,2,13,2015-01-06,22.86,2026-08-07,2016-01-06,2016-01-06,complete,15.75,-0.2892075108069774,2018-01-06,2018-01-08,complete,25.08,0.18224825126335098
2015Q1,2015-01-05,600585,海螺水泥,0.6655,22.69,34.0941,19.546499999999977,17.957333333333327,2014-10-21,3,13,2015-01-06,22.07,2026-08-07,2016-01-06,2016-01-06,complete,16.68,-0.22245708312396384,2018-01-06,2018-01-08,complete,33.97,0.670409075017272
2015Q2,2015-04-01,600585,海螺水泥,0.8665,23.13,26.6948,21.143499999999975,20.838333333333324,2015-03-24,1,6,2015-04-02,23.06,2026-08-07,2016-04-02,2016-04-05,complete,16.91,-0.24557692921050178,2018-04-02,2018-04-02,complete,32.44,0.526691085249033
2015Q2,2015-04-01,000651,格力电器,0.9419,44.7,47.4593,41.42450000000005,41.02749999999996,2014-10-31,2,6,2015-04-02,44.33,2026-08-07,2016-04-02,2016-04-05,endpoint_quote_missing,,,2018-04-02,2018-04-02,complete,45.97,1.4762903434367627
2015Q2,2015-04-01,600031,三一重工,0.9855,10.24,10.3905,9.07600000000002,8.759333333333336,2014-10-31,3,6,2015-04-02,10.15,2026-08-07,2016-04-02,2016-04-05,complete,5.7,-0.43635490663833754,2018-04-02,2018-04-02,complete,8.16,-0.18855096477203148
2015Q3,2015-07-01,,无合格标的,,,,,,,1,0,,,,,,,,,,,,,
2015Q3,2015-07-01,,无合格标的,,,,,,,2,0,,,,,,,,,,,,,
2015Q3,2015-07-01,,无合格标的,,,,,,,3,0,,,,,,,,,,,,,
2015Q4,2015-10-08,,无合格标的,,,,,,,1,0,,,,,,,,,,,,,
2015Q4,2015-10-08,,无合格标的,,,,,,,2,0,,,,,,,,,,,,,
2015Q4,2015-10-08,,无合格标的,,,,,,,3,0,,,,,,,,,,,,,
2016Q1,2016-01-04,,无合格标的,,,,,,,1,0,,,,,,,,,,,,,
2016Q1,2016-01-04,,无合格标的,,,,,,,2,0,,,,,,,,,,,,,
2016Q1,2016-01-04,,无合格标的,,,,,,,3,0,,,,,,,,,,,,,
2016Q2,2016-04-01,601088,中国神华,0.5601,14.2,25.3533,14.134499999999951,13.8685,2016-03-25,1,10,2016-04-05,14.25,2026-08-07,2017-04-05,2017-04-05,complete,19.35,0.38830245663143237,2019-04-05,2019-04-08,complete,20.53,0.5786321412399271
2016Q2,2016-04-01,000338,潍柴动力,0.6,8.13,13.5509,8.012500000000008,7.880166666666651,2016-03-31,2,10,2016-04-05,8.29,2026-08-07,2017-04-05,2017-04-05,complete,11.58,0.42831796209271733,2019-04-05,2019-04-08,complete,14.51,2.9145952101035153
2016Q2,2016-04-01,600031,三一重工,0.6591,5.65,8.5722,5.5575000000000205,5.3923333333333385,2015-10-31,3,10,2016-04-05,5.7,2026-08-07,2017-04-05,2017-04-05,complete,7.35,0.2918615984405468,2019-04-05,2019-04-08,complete,13.8,1.4776437383849728
2016Q3,2016-07-01,601225,陕西煤业,0.7159,5.22,7.2918,4.799000000000004,4.650666666666669,2015-10-27,1,10,2016-07-04,5.66,2026-08-07,2017-07-04,2017-07-04,complete,7.37,0.3021201413427568,2019-07-04,2019-07-04,complete,9.26,0.7481892728309354
2016Q3,2016-07-01,601939,建设银行,0.8838,4.76,5.3859,4.670400000000003,4.535633333333327,2016-04-30,2,10,2016-07-04,4.8,2026-08-07,2017-07-04,2017-07-04,complete,6.11,0.33045663956639526,2019-07-04,2019-07-04,complete,7.5,0.7077361807762488
2016Q3,2016-07-01,601398,工商银行,0.9275,4.47,4.8192,4.401499999999999,4.312166666666669,2016-04-29,3,10,2016-07-04,4.54,2026-08-07,2017-07-04,2017-07-04,complete,5.25,0.21927466806321383,2019-07-04,2019-07-04,complete,5.68,0.5059707961011899
2016Q4,2016-10-10,601088,中国神华,0.5989,15.41,25.7292,15.087999999999953,15.004166666666668,2016-08-27,1,6,2016-10-11,15.54,2026-08-07,2017-10-11,2017-10-11,complete,20.57,0.3523346203346198,2019-10-11,2019-10-11,complete,18.92,0.3650582789863528
2016Q4,2016-10-10,000338,潍柴动力,0.6809,9.31,13.6728,8.981500000000008,8.77466666666665,2016-08-31,2,6,2016-10-11,9.33,2026-08-07,2017-10-11,2017-10-11,complete,7.52,0.6591799851105482,2019-10-11,2019-10-11,complete,11.88,1.8804340282787004
2016Q4,2016-10-10,000651,格力电器,0.7722,22.11,28.6336,21.896000000000033,19.71166666666665,2016-08-19,3,6,2016-10-11,22.11,2026-08-07,2017-10-11,2017-10-11,complete,39.95,0.8897166554574889,2019-10-11,2019-10-11,complete,58.57,1.8892138609670792
2017Q1,2017-01-03,601857,中国石油,1.0157,7.97,7.8471,7.812500000000028,7.557666666666684,2016-10-29,1,1,2017-01-04,8.0,2026-08-07,2018-01-04,2018-01-04,complete,8.55,0.08335434073588122,2020-01-04,2020-01-06,complete,6.23,-0.17536899201511869
2017Q1,2017-01-03,,无合格标的,,,,,,,2,1,,,,,,,,,,,,,
2017Q1,2017-01-03,,无合格标的,,,,,,,3,1,,,,,,,,,,,,,
2017Q2,2017-04-05,601088,中国神华,0.718,19.35,26.9495,18.074999999999953,17.290333333333336,2017-03-18,1,6,2017-04-06,19.17,2026-08-07,2018-04-06,2018-04-09,complete,20.29,0.0813364018533862,2020-04-06,2020-04-07,complete,16.14,-0.05602065176569393
2017Q2,2017-04-05,600585,海螺水泥,0.7855,21.32,27.1434,21.134499999999974,20.073333333333334,2017-03-24,2,6,2017-04-06,21.64,2026-08-07,2018-04-06,2018-04-09,complete,33.61,0.5904058205995173,2020-04-06,2020-04-07,complete,57.8,1.951112428271537
2017Q2,2017-04-05,000338,潍柴动力,0.8417,11.58,13.7582,11.388000000000009,11.17266666666665,2017-03-30,3,6,2017-04-06,11.56,2026-08-07,2018-04-06,2018-04-09,complete,8.53,0.5326855976555698,2020-04-06,2020-04-07,complete,13.13,1.5731815908703761
2017Q3,2017-07-03,000338,潍柴动力,1.0365,13.0,12.5423,12.147500000000008,11.48549999999998,2017-04-28,1,2,2017-07-04,13.2,2026-08-07,2018-07-04,2018-07-04,complete,8.11,0.27617079716123083,2020-07-04,2020-07-06,complete,15.51,1.661959295414495
2017Q3,2017-07-03,600585,海螺水泥,1.0422,22.7,21.7815,21.364999999999974,20.84733333333333,2017-04-26,2,2,2017-07-04,22.71,2026-08-07,2018-07-04,2018-07-04,complete,31.09,0.41653517784627625,2020-07-04,2020-07-06,complete,58.42,1.8774406777487291
2017Q3,2017-07-03,,无合格标的,,,,,,,3,2,,,,,,,,,,,,,
2017Q4,2017-10-09,600585,海螺水泥,0.9613,24.74,25.7359,24.569999999999972,23.987499999999997,2017-08-22,1,2,2017-10-10,24.38,2026-08-07,2018-10-10,2018-10-10,complete,35.2,0.4939385653085424,2020-10-10,2020-10-12,complete,56.89,1.610142348151523
2017Q4,2017-10-09,000338,潍柴动力,0.9718,7.53,7.7486,7.466500000000005,7.070333333333325,2017-08-31,2,2,2017-10-10,7.55,2026-08-07,2018-10-10,2018-10-10,complete,8.49,0.18073395497944222,2020-10-10,2020-10-12,complete,16.02,1.3807262160194806
2017Q4,2017-10-09,,无合格标的,,,,,,,3,2,,,,,,,,,,,,,
2018Q1,2018-01-02,,无合格标的,,,,,,,1,0,,,,,,,,,,,,,
2018Q1,2018-01-02,,无合格标的,,,,,,,2,0,,,,,,,,,,,,,
2018Q1,2018-01-02,,无合格标的,,,,,,,3,0,,,,,,,,,,,,,
2018Q2,2018-04-02,,无合格标的,,,,,,,1,0,,,,,,,,,,,,,
2018Q2,2018-04-02,,无合格标的,,,,,,,2,0,,,,,,,,,,,,,
2018Q2,2018-04-02,,无合格标的,,,,,,,3,0,,,,,,,,,,,,,
2018Q3,2018-07-02,,无合格标的,,,,,,,1,0,,,,,,,,,,,,,
2018Q3,2018-07-02,,无合格标的,,,,,,,2,0,,,,,,,,,,,,,
2018Q3,2018-07-02,,无合格标的,,,,,,,3,0,,,,,,,,,,,,,
2018Q4,2018-10-08,000338,潍柴动力,0.6144,8.35,13.5909,8.090000000000005,8.064166666666663,2018-08-29,1,2,2018-10-09,8.47,2026-08-07,2019-10-09,2019-10-09,complete,11.23,0.38762100261000976,2021-10-09,2021-10-11,complete,17.24,1.2204591170120382
2018Q4,2018-10-08,002152,广电运通,1.0194,6.2,6.0823,5.9490000000000105,5.714499999999994,2018-08-22,2,2,2018-10-09,6.2,2026-08-07,2019-10-09,2019-10-09,complete,8.82,0.44821272885789054,2021-10-09,2021-10-11,complete,10.06,0.6886350236957353
2018Q4,2018-10-08,,无合格标的,,,,,,,3,2,,,,,,,,,,,,,
2019Q1,2019-01-02,600066,宇通客车,0.6646,11.9,17.9053,11.838500000000048,11.78783333333331,2018-10-29,1,1,2019-01-03,11.98,2026-08-07,2020-01-03,2020-01-03,complete,14.4,0.24668747789066026,2022-01-03,2022-01-04,complete,11.01,0.07054642142754597
2019Q1,2019-01-02,,无合格标的,,,,,,,2,1,,,,,,,,,,,,,
2019Q1,2019-01-02,,无合格标的,,,,,,,3,1,,,,,,,,,,,,,
2019Q2,2019-04-01,002128,电投能源,0.5876,9.59,16.3197,8.967499999999998,8.105000000000059,2018-10-29,1,7,2019-04-02,9.66,2026-08-07,2020-04-02,2020-04-02,complete,7.33,-0.20311805918155867,2022-04-02,2022-04-06,complete,16.8,0.9967073459424527
2019Q2,2019-04-01,600585,海螺水泥,0.7147,39.7,55.5452,36.70049999999998,33.70033333333335,2019-03-22,2,7,2019-04-02,39.84,2026-08-07,2020-04-02,2020-04-02,complete,54.72,0.43225865487265547,2022-04-02,2022-04-06,complete,40.93,0.1642526936875235
2019Q2,2019-04-01,000338,潍柴动力,0.7888,12.18,15.4403,11.095500000000005,9.512333333333329,2019-03-26,3,7,2019-04-02,12.56,2026-08-07,2020-04-02,2020-04-02,complete,12.65,0.04318496775244096,2022-04-02,2022-04-06,complete,13.39,0.14931103846667737
2019Q3,2019-07-01,600585,海螺水泥,0.7458,41.96,56.2583,39.25399999999998,38.84816666666667,2019-04-27,1,1,2019-07-02,42.59,2026-08-07,2020-07-02,2020-07-02,complete,56.59,0.3774490429798023,2022-07-02,2022-07-04,complete,36.0,-0.018069884296373462
2019Q3,2019-07-01,,无合格标的,,,,,,,2,1,,,,,,,,,,,,,
2019Q3,2019-07-01,,无合格标的,,,,,,,3,1,,,,,,,,,,,,,
2019Q4,2019-10-08,002466,天齐锂业,0.3838,27.4,71.3897,25.59600000000008,24.620500000000003,2019-08-23,1,3,2019-10-09,26.51,2026-08-07,2020-10-09,2020-10-09,complete,20.76,-0.058386889144729226,2022-10-09,2022-10-10,complete,97.02,3.400544509401655
2019Q4,2019-10-08,600585,海螺水泥,0.7421,42.44,57.1879,42.01649999999997,40.5381666666667,2019-08-23,2,3,2019-10-09,41.81,2026-08-07,2020-10-09,2020-10-09,complete,55.62,0.37909538373032414,2022-10-09,2022-10-10,complete,28.19,-0.21674959587806353
2019Q4,2019-10-08,600016,民生银行,0.9551,6.08,6.3656,6.064499999999993,5.955833333333328,2019-08-31,3,3,2019-10-09,6.14,2026-08-07,2020-10-09,2020-10-09,complete,5.3,-0.08221275647985604,2022-10-09,2022-10-10,complete,3.4,-0.34746581152857947
2020Q1,2020-01-02,002128,电投能源,0.5293,8.67,16.3814,8.343500000000002,8.174166666666725,2019-10-23,1,8,2020-01-03,8.61,2026-08-07,2021-01-03,2021-01-04,complete,11.23,0.371013304579523,2023-01-03,2023-01-03,complete,12.38,0.6289230906901793
2020Q1,2020-01-02,002466,天齐锂业,0.6027,30.69,50.9187,25.4156538461539,23.63765384615384,2019-10-23,2,8,2020-01-03,30.95,2026-08-07,2021-01-03,2021-01-04,complete,42.0,0.35702746365104976,2023-01-03,2023-01-03,complete,81.36,1.62875605815832
2020Q1,2020-01-02,601225,陕西煤业,0.6878,9.02,13.1143,8.703500000000005,8.568166666666668,2019-10-31,3,8,2020-01-03,9.0,2026-08-07,2021-01-03,2021-01-04,complete,9.59,0.11429761400536864,2023-01-03,2023-01-03,complete,18.68,1.4953453928553153
2020Q2,2020-04-01,600585,海螺水泥,0.8008,54.8,68.4275,54.4835,53.1511666666667,2020-03-21,1,1,2020-04-02,54.72,2026-08-07,2021-04-02,2021-04-02,complete,51.33,-0.02754690400584403,2023-04-02,2023-04-03,complete,28.34,-0.39835615719808537
2020Q2,2020-04-01,,无合格标的,,,,,,,2,1,,,,,,,,,,,,,
2020Q2,2020-04-01,,无合格标的,,,,,,,3,1,,,,,,,,,,,,,
2020Q3,2020-07-01,002128,电投能源,0.4093,7.91,19.3242,7.752000000000002,7.428333333333391,2020-04-28,1,15,2020-07-02,8.49,2026-08-07,2021-07-02,2021-07-02,complete,10.14,0.19434628975265156,2023-07-02,2023-07-03,complete,13.32,0.7545977735202205
2020Q3,2020-07-01,600309,万华化学,0.772,52.05,67.4198,48.979500000000066,45.382333333333364,2020-04-25,2,15,2020-07-02,54.26,2026-08-07,2021-07-02,2021-07-02,complete,103.95,0.938677122920291,2023-07-02,2023-07-03,complete,87.58,0.717093820393679
2020Q3,2020-07-01,601169,北京银行,0.7875,4.98,6.3239,4.906499999999992,4.870833333333337,2020-04-28,3,15,2020-07-02,5.08,2026-08-07,2021-07-02,2021-07-02,complete,4.88,0.019345778170513528,2023-07-02,2023-07-03,complete,4.69,0.12118251274008429
2020Q4,2020-10-09,601088,中国神华,0.6153,16.58,26.9482,16.321499999999958,15.976166666666662,2020-08-29,1,2,2020-10-12,16.74,2026-08-07,2021-10-12,2021-10-12,complete,22.24,0.4650290142216458,2023-10-12,2023-10-12,complete,30.7,1.3938522391855632
2020Q4,2020-10-09,601225,陕西煤业,0.7192,8.9,12.3744,8.548000000000005,8.132000000000001,2020-08-26,2,2,2020-10-12,8.99,2026-08-07,2021-10-12,2021-10-12,complete,14.85,0.779144457232503,2023-10-12,2023-10-12,complete,18.31,1.6451914208276732
2020Q4,2020-10-09,,无合格标的,,,,,,,3,2,,,,,,,,,,,,,
2021Q1,2021-01-04,002128,电投能源,0.5887,11.23,19.077,10.958000000000002,10.865166666666731,2020-10-27,1,3,2021-01-05,10.93,2026-08-07,2022-01-05,2022-01-05,complete,14.11,0.34263174427858956,2024-01-05,2024-01-05,complete,14.9,0.52456921432925
2021Q1,2021-01-04,002466,天齐锂业,0.8248,42.0,50.9187,34.224000000000075,26.84766666666666,2019-10-23,2,3,2021-01-05,41.8,2026-08-07,2022-01-05,2022-01-05,complete,95.97,1.2959330143540657,2024-01-05,2024-01-05,complete,54.0,0.34730299174810786
2021Q1,2021-01-04,601169,北京银行,0.8604,4.84,5.6255,4.834499999999991,4.813333333333336,2020-10-31,3,3,2021-01-05,4.84,2026-08-07,2022-01-05,2022-01-05,complete,4.49,-0.011147942966124536,2024-01-05,2024-01-05,complete,4.65,0.17880461431971173
2021Q2,2021-04-01,601088,中国神华,0.7402,19.88,26.8569,18.755999999999958,18.207999999999995,2021-03-27,1,5,2021-04-02,19.78,2026-08-07,2022-04-02,2022-04-06,complete,29.2,0.6278840227749263,2024-04-02,2024-04-02,complete,39.05,1.5769688515015106
2021Q2,2021-04-01,601328,交通银行,0.8053,4.92,6.1094,4.713000000000002,4.588000000000004,2021-03-27,2,5,2021-04-02,4.85,2026-08-07,2022-04-02,2022-04-06,complete,5.17,0.1415756820959897,2024-04-02,2024-04-02,complete,6.5,0.6511927587723394
2021Q2,2021-04-01,600897,厦门空港,0.8248,18.36,22.2591,18.11199999999997,17.208333333333343,2020-10-30,3,5,2021-04-02,18.37,2026-08-07,2022-04-02,2022-04-06,complete,16.53,-0.09080241092188324,2024-04-02,2024-04-02,complete,13.49,0.05302284722585582
2021Q3,2021-07-01,,无合格标的,,,,,,,1,0,,,,,,,,,,,,,
2021Q3,2021-07-01,,无合格标的,,,,,,,2,0,,,,,,,,,,,,,
2021Q3,2021-07-01,,无合格标的,,,,,,,3,0,,,,,,,,,,,,,
