cik,filed,effective,status,reason,value,period,rf,shares,split_adj,split_note
0000008868,2013-08-01,2013-07-31,ok,,48.2223,2013-06-30,0.0274,434600000,1.000000,
0000008868,2013-10-31,2013-10-30,ok,,40.4717,2013-09-30,0.0257,433500000,1.000000,
0000008868,2014-02-26,2014-02-25,ok,,48.0688,2013-12-31,0.0267,433400000,1.000000,
0000008868,2014-05-01,2014-04-30,ok,,27.9146,2014-03-31,0.0263,434100000,1.000000,
0000008868,2014-07-31,2014-07-30,ok,,26.0130,2014-06-30,0.0258,434600000,1.000000,
0000008868,2014-10-30,2014-10-29,ok,,38.0353,2014-09-30,0.0232,434600000,1.000000,
0000008868,2015-02-24,2015-02-23,ok,,22.3554,2014-12-31,0.0199,434500000,1.000000,
0000008868,2015-04-30,2015-04-29,rejected,母公司权益非正，股数法无法折每股,,2015-03-31,0.0205,434900000,,
0000007332,2009-08-20,2009-08-19,no_annual,无 filed≤F 的年报行,,,,,,
0000007332,2009-10-30,2009-10-29,no_annual,无 filed≤F 的年报行,,,,,,
0000007332,2010-02-25,2010-02-24,rejected,最新报告口径 NOPAT=-0.03b ≤ 0：息税前利润非正，按现金折现无意义（A 股同规，按 §6.5.2.4 判无法估值）,,2009-12-31,0.0364,343420568,,
0000007332,2010-04-29,2010-04-28,ok,,5.0232,2010-03-31,0.0376,349397997,1.000000,
0000007332,2010-08-05,2010-08-04,ok,,6.4780,2010-06-30,0.0294,349341731,1.000000,
0000007332,2010-10-28,2010-10-27,ok,,6.8260,2010-09-30,0.0269,349228576,1.000000,
0000007332,2011-03-03,2011-03-02,ok,,38.4368,2010-12-31,0.0358,349310666,1.000000,
0000007332,2011-04-28,2011-04-27,ok,,40.8799,2011-03-31,0.0334,349697327,1.000000,
0000007332,2011-07-28,2011-07-27,ok,,46.8070,2011-06-30,0.0298,349970819,1.000000,
0000007332,2011-10-27,2011-10-26,ok,,49.0763,2011-09-30,0.0242,349998789,1.000000,
0000007332,2012-02-28,2012-02-27,ok,,43.9724,2011-12-31,0.0194,349921413,1.000000,
0000007332,2012-05-03,2012-05-02,ok,,45.3386,2012-03-31,0.0196,349990725,1.000000,
0000007332,2012-08-03,2012-08-02,ok,,45.0931,2012-03-31,0.0160,349990725,1.000000,
0000007332,2012-11-01,2012-10-31,rejected,最新报告口径 NOPAT=-0.44b ≤ 0：息税前利润非正，按现金折现无意义（A 股同规，按 §6.5.2.4 判无法估值）,,2012-09-30,0.0175,348649630,,
0000007332,2013-02-19,2013-02-15,rejected,最新报告口径 NOPAT=-0.44b ≤ 0：息税前利润非正，按现金折现无意义（A 股同规，按 §6.5.2.4 判无法估值）,,2012-09-30,0.0203,348649630,,
0000007332,2013-02-21,2013-02-20,rejected,最新报告口径 NOPAT=-0.88b ≤ 0：息税前利润非正，按现金折现无意义（A 股同规，按 §6.5.2.4 判无法估值）,,2012-12-31,0.0199,348610503,,
0000007332,2013-05-02,2013-05-01,rejected,最新报告口径 NOPAT=-0.85b ≤ 0：息税前利润非正，按现金折现无意义（A 股同规，按 §6.5.2.4 判无法估值）,,2013-03-31,0.0166,350738309,,
0000007332,2013-08-01,2013-07-31,rejected,最新报告口径 NOPAT=-0.01b ≤ 0：息税前利润非正，按现金折现无意义（A 股同规，按 §6.5.2.4 判无法估值）,,2013-06-30,0.0274,351082807,,
0000007332,2013-10-31,2013-10-30,ok,,32.4968,2013-09-30,0.0257,351222830,1.000000,
0000007332,2014-02-27,2014-02-26,ok,,51.0675,2013-12-31,0.0265,351101452,1.000000,
0000007332,2014-05-01,2014-04-30,ok,,54.1304,2014-03-31,0.0263,351985821,1.000000,
0000007332,2014-07-31,2014-07-30,ok,,55.3485,2014-06-30,0.0258,352579522,1.000000,
0000007332,2014-10-23,2014-10-22,ok,,57.4388,2014-09-30,0.0229,352327250,1.000000,
0000007332,2015-02-26,2015-02-25,ok,,99.3422,2014-12-31,0.0203,352410683,1.000000,
0000007332,2015-04-23,2015-04-22,ok,,54.0684,2015-03-31,0.0196,375578054,1.000000,
0000007332,2015-07-27,2015-07-24,rejected,最新报告口径 NOPAT=-0.23b ≤ 0：息税前利润非正，按现金折现无意义（A 股同规，按 §6.5.2.4 判无法估值）,,2015-06-30,0.0223,382114011,,
0000007332,2015-10-22,2015-10-21,rejected,最新报告口径 NOPAT=-2.75b ≤ 0：息税前利润非正，按现金折现无意义（A 股同规，按 §6.5.2.4 判无法估值）,,2015-09-30,0.0204,382098080,,
0000007332,2016-02-26,2016-02-25,rejected,结构断点 2015-12-31 之后财年仅 1 < 要求 3 年,,2015-12-31,0.0176,380521039,,
0000007332,2016-04-21,2016-04-20,rejected,结构断点 2015-12-31 之后财年仅 1 < 要求 3 年,,2016-03-31,0.0188,382870847,,
0000007332,2016-07-21,2016-07-20,rejected,结构断点 2015-12-31 之后财年仅 1 < 要求 3 年,,2016-06-30,0.0157,385594815,,
0000007332,2016-10-20,2016-10-19,rejected,结构断点 2015-12-31 之后财年仅 1 < 要求 3 年,,2016-09-30,0.0176,482485150,,
0000007332,2017-02-23,2017-02-22,rejected,结构断点 2016-12-31 之后财年仅 1 < 要求 3 年,,2016-12-31,0.0238,435337402,,
0000007332,2017-04-27,2017-04-26,rejected,结构断点 2016-12-31 之后财年仅 1 < 要求 3 年,,2017-03-31,0.0230,494494995,,
0000009892,2009-07-27,2009-07-24,no_annual,无 filed≤F 的年报行,,,,,,
0000009892,2009-10-26,2009-10-23,no_annual,无 filed≤F 的年报行,,,,,,
0000009892,2010-02-25,2010-02-24,ok,,62.8782,2009-12-31,0.0364,95917095,1.000000,
0000009892,2010-04-26,2010-04-23,ok,,65.0477,2010-03-31,0.0383,95097102,1.000000,
0000009892,2010-08-02,2010-07-30,ok,,71.8584,2010-03-31,0.0299,95097102,1.000000,
0000009892,2010-10-25,2010-10-22,ok,,78.2401,2010-09-30,0.0259,94300000,1.000000,
0000009892,2011-02-24,2011-02-23,ok,,86.7398,2010-12-31,0.0346,94600000,1.000000,
0000009892,2011-04-25,2011-04-21,ok,,94.5865,2011-03-31,0.0339,87000000,1.000000,
0000009892,2011-07-26,2011-07-25,ok,,106.0882,2011-06-30,0.0299,86200000,1.000000,
0000009892,2011-10-26,2011-10-25,ok,,105.4233,2011-09-30,0.0223,87800000,1.000000,
0000009892,2012-02-23,2012-02-22,ok,,107.6303,2011-12-31,0.0199,87300000,1.000000,
0000009892,2012-04-25,2012-04-24,ok,,114.1765,2012-03-31,0.0201,85100000,1.000000,
0000009892,2012-07-26,2012-07-25,ok,,109.1164,2012-06-30,0.0145,85100000,1.000000,
0000009892,2012-10-24,2012-10-23,ok,,116.7193,2012-09-30,0.0180,84600000,1.000000,
0000009892,2013-02-20,2013-02-19,ok,,106.8500,2012-12-31,0.0202,84400000,1.000000,
0000009892,2013-04-24,2013-04-23,ok,,105.6279,2013-03-31,0.0173,82500000,1.000000,
0000009892,2013-07-24,2013-07-23,ok,,152.7354,2013-06-30,0.0261,79800000,1.000000,
0000009892,2013-10-24,2013-10-23,ok,,157.0146,2013-09-30,0.0253,80000000,1.000000,
0000009892,2014-02-19,2014-02-18,ok,,163.3467,2013-12-31,0.0273,80700000,1.000000,
0000009892,2014-04-23,2014-04-22,ok,,180.0558,2014-03-31,0.0270,78500000,1.000000,
0000009892,2014-07-25,2014-07-24,ok,,210.6233,2014-06-30,0.0248,75100000,1.000000,
0000009892,2014-10-23,2014-10-22,ok,,204.1450,2014-09-30,0.0229,76300000,1.000000,
0000009892,2015-02-18,2015-02-17,ok,,166.0560,2014-12-31,0.0207,77100000,1.000000,
0000009892,2015-04-24,2015-04-23,ok,,179.7188,2015-03-31,0.0193,75800000,1.000000,
0000009892,2015-07-24,2015-07-23,ok,,186.7544,2015-06-30,0.0227,74200000,1.000000,
0000009892,2015-10-23,2015-10-22,ok,,186.6718,2015-09-30,0.0209,74100000,1.000000,
0000009892,2016-02-12,2016-02-11,ok,,154.2759,2015-12-31,0.0174,75400000,1.000000,
0000009892,2016-04-28,2016-04-27,ok,,164.9028,2016-03-31,0.0184,75200000,1.000000,
0000009892,2016-07-27,2016-07-26,ok,,149.0515,2016-06-30,0.0152,75200000,1.000000,
0000009892,2016-10-26,2016-10-25,ok,,102.6917,2016-09-30,0.0179,75300000,1.000000,
0000009892,2017-02-13,2017-02-10,ok,,115.7389,2016-12-31,0.0243,75200000,1.000000,
0000009892,2017-04-27,2017-04-26,ok,,123.7121,2017-03-31,0.0230,74700000,1.000000,
0000009892,2017-07-28,2017-07-27,ok,,119.5868,2017-06-30,0.0230,74800000,1.000000,
0000009892,2017-10-26,2017-10-25,ok,,121.3125,2017-09-30,0.0246,75100000,1.000000,
0000006769,2009-08-07,2009-08-06,no_annual,无 filed≤F 的年报行,,,,,,
0000006769,2009-11-06,2009-11-05,no_annual,无 filed≤F 的年报行,,,,,,
0000006769,2010-02-26,2010-02-25,ok,,21.0297,2009-12-31,0.0361,336550234,1.000000,
0000006769,2010-05-07,2010-05-06,ok,,21.5600,2009-12-31,0.0345,336550234,1.000000,
0000006769,2010-08-06,2010-08-05,ok,,23.6889,2009-12-31,0.0286,336550234,1.000000,
0000006769,2010-08-17,2010-08-16,ok,,24.5607,2009-12-31,0.0264,336550234,1.000000,
0000006769,2010-11-09,2010-11-08,ok,,24.2383,2009-12-31,0.0272,336550234,1.000000,
0000006769,2011-02-28,2011-02-25,ok,,125.6575,2010-12-31,0.0342,359000000,1.000000,
0000006769,2011-04-07,2011-04-06,ok,,122.7718,2010-12-31,0.0358,359000000,1.000000,
0000006769,2011-05-09,2011-05-06,ok,,130.5115,2010-12-31,0.0317,359000000,1.000000,
0000006769,2011-08-08,2011-08-05,ok,,137.1792,2010-12-31,0.0240,359000000,1.000000,
0000006769,2011-11-08,2011-11-07,ok,,138.8461,2010-12-31,0.0210,359000000,1.000000,
0000006769,2012-02-29,2012-02-28,ok,,273.7230,2011-12-31,0.0198,400000000,1.000000,
0000006769,2012-05-08,2012-05-07,ok,,274.7733,2011-12-31,0.0188,400000000,1.000000,
0000006769,2012-08-07,2012-08-06,ok,,277.1263,2011-12-31,0.0166,400000000,1.000000,
0000006769,2012-11-07,2012-11-06,ok,,276.9100,2011-12-31,0.0168,400000000,1.000000,
0000006769,2013-03-01,2013-02-28,ok,,195.5129,2012-12-31,0.0186,391000000,1.000000,
0000006769,2013-05-09,2013-05-08,ok,,196.5272,2012-12-31,0.0181,391000000,1.000000,
0000006769,2013-08-06,2013-08-05,ok,,178.4742,2012-12-31,0.0267,391000000,1.000000,
0000006769,2013-11-08,2013-11-07,ok,,176.2838,2012-12-31,0.0277,391000000,1.000000,
0000006769,2014-02-28,2014-02-27,ok,,126.6606,2013-12-31,0.0266,406000000,1.000000,
0000006769,2014-05-09,2014-05-08,ok,,127.3868,2013-12-31,0.0262,406000000,1.000000,
0000006769,2014-08-08,2014-08-07,ok,,130.6366,2013-12-31,0.0244,406000000,1.000000,
0000006769,2014-11-06,2014-11-05,ok,,131.5341,2013-12-31,0.0239,406000000,1.000000,
0000006769,2015-02-27,2015-02-26,rejected,最新报告口径 NOPAT=-1.90b ≤ 0：息税前利润非正，按现金折现无意义（A 股同规，按 §6.5.2.4 判无法估值）,,2014-12-31,0.0200,384000000,,
0000006769,2015-05-08,2015-05-07,rejected,最新报告口径 NOPAT=-1.90b ≤ 0：息税前利润非正，按现金折现无意义（A 股同规，按 §6.5.2.4 判无法估值）,,2014-12-31,0.0216,384000000,,
0000006769,2015-08-07,2015-08-06,rejected,最新报告口径 NOPAT=-1.90b ≤ 0：息税前利润非正，按现金折现无意义（A 股同规，按 §6.5.2.4 判无法估值）,,2014-12-31,0.0218,384000000,,
0000006769,2015-11-06,2015-11-05,rejected,最新报告口径 NOPAT=-1.90b ≤ 0：息税前利润非正，按现金折现无意义（A 股同规，按 §6.5.2.4 判无法估值）,,2014-12-31,0.0234,384000000,,
0000006769,2016-02-26,2016-02-25,rejected,结构断点 2015-12-31 之后财年仅 1 < 要求 3 年,,2015-12-31,0.0176,378000000,,
0000006769,2016-05-06,2016-05-05,rejected,结构断点 2015-12-31 之后财年仅 1 < 要求 3 年,,2015-12-31,0.0179,378000000,,
0000006769,2016-08-04,2016-08-03,rejected,结构断点 2015-12-31 之后财年仅 1 < 要求 3 年,,2015-12-31,0.0151,378000000,,
0000006769,2016-11-04,2016-11-03,rejected,结构断点 2015-12-31 之后财年仅 1 < 要求 3 年,,2015-12-31,0.0179,378000000,,
0000006769,2017-02-24,2017-02-23,rejected,结构断点 2016-12-31 之后财年仅 1 < 要求 3 年,,2016-12-31,0.0231,379000000,,
0000006769,2017-05-05,2017-05-04,rejected,结构断点 2016-12-31 之后财年仅 1 < 要求 3 年,,2016-12-31,0.0236,379000000,,
0000006769,2017-08-04,2017-08-03,rejected,结构断点 2016-12-31 之后财年仅 1 < 要求 3 年,,2016-12-31,0.0227,379000000,,
0000006769,2017-11-03,2017-11-02,rejected,结构断点 2016-12-31 之后财年仅 1 < 要求 3 年,,2016-12-31,0.0234,379000000,,
0000006769,2018-02-23,2018-02-22,rejected,结构断点 2016-12-31 之后财年仅 2 < 要求 3 年,,2017-12-31,0.0288,383000000,,
0000006769,2018-05-03,2018-05-02,rejected,结构断点 2016-12-31 之后财年仅 2 < 要求 3 年,,2017-12-31,0.0294,383000000,,
0000006769,2018-08-02,2018-08-01,rejected,结构断点 2016-12-31 之后财年仅 2 < 要求 3 年,,2017-12-31,0.0298,383000000,,
0000006769,2018-11-01,2018-10-31,rejected,结构断点 2016-12-31 之后财年仅 2 < 要求 3 年,,2017-12-31,0.0314,383000000,,
0000006769,2019-03-01,2019-02-28,ok,,20.9607,2018-12-31,0.0276,384000000,1.000000,
0000006769,2019-05-03,2019-05-02,ok,,16.3788,2019-03-31,0.0254,376000000,1.000000,
0000006769,2019-08-01,2019-07-31,ok,,9.1952,2019-06-30,0.0190,377000000,1.000000,
0000006769,2019-10-31,2019-10-30,rejected,股权价值 -1.04 ≤ 0：净负债 22.20 超过企业价值 21.17,,2019-09-30,0.0169,377000000,,
0000006769,2020-02-28,2020-02-27,rejected,结构断点 2019-12-31 之后财年仅 1 < 要求 3 年,,2019-12-31,0.0113,377000000,,
0000006769,2020-05-07,2020-05-06,rejected,结构断点 2019-12-31 之后财年仅 1 < 要求 3 年,,2020-03-31,0.0063,378000000,,
0000006769,2020-07-30,2020-07-29,rejected,结构断点 2019-12-31 之后财年仅 1 < 要求 3 年,,2020-06-30,0.0055,378000000,,
0000006769,2020-11-05,2020-11-04,rejected,结构断点 2019-12-31 之后财年仅 1 < 要求 3 年,,2020-09-30,0.0079,378000000,,
0000006769,2021-02-26,2021-02-25,rejected,结构断点 2020-12-31 之后财年仅 1 < 要求 3 年,,2020-12-31,0.0144,378000000,,
0000006201,2010-07-21,,no_price,申报日前无行情,,,,,,
0000006201,2010-10-20,,no_price,申报日前无行情,,,,,,
0000006201,2011-02-16,,no_price,申报日前无行情,,,,,,
0000006201,2011-04-20,,no_price,申报日前无行情,,,,,,
0000006201,2011-07-20,,no_price,申报日前无行情,,,,,,
0000006201,2011-10-19,,no_price,申报日前无行情,,,,,,
0000006201,2012-02-15,,no_price,申报日前无行情,,,,,,
0000006201,2012-04-19,,no_price,申报日前无行情,,,,,,
0000006201,2012-07-18,,no_price,申报日前无行情,,,,,,
0000006201,2012-10-17,,no_price,申报日前无行情,,,,,,
0000006201,2013-02-20,,no_price,申报日前无行情,,,,,,
0000006201,2013-04-16,,no_price,申报日前无行情,,,,,,
0000006201,2013-04-18,,no_price,申报日前无行情,,,,,,
0000006201,2013-07-18,,no_price,申报日前无行情,,,,,,
0000006201,2013-10-17,,no_price,申报日前无行情,,,,,,
0000006201,2014-02-28,2014-02-27,rejected,结构断点 2013-12-31 之后财年仅 1 < 要求 3 年,,2013-12-31,0.0266,163046000,,
0000006201,2014-04-24,2014-04-23,rejected,结构断点 2013-12-31 之后财年仅 1 < 要求 3 年,,2013-12-31,0.0270,163046000,,
0000006201,2014-07-24,2014-07-23,rejected,结构断点 2013-12-31 之后财年仅 1 < 要求 3 年,,2013-12-31,0.0252,163046000,,
0000006201,2014-10-23,2014-10-22,rejected,结构断点 2013-12-31 之后财年仅 1 < 要求 3 年,,2013-12-31,0.0229,163046000,,
0000006201,2015-02-25,2015-02-24,rejected,结构断点 2014-12-31 之后财年仅 1 < 要求 3 年,,2014-12-31,0.0196,734016000,,
0000006201,2015-04-24,2015-04-23,rejected,结构断点 2014-12-31 之后财年仅 1 < 要求 3 年,,2015-03-31,0.0193,716930000,,
0000006201,2015-07-24,2015-07-23,rejected,结构断点 2014-12-31 之后财年仅 1 < 要求 3 年,,2015-06-30,0.0227,707611000,,
0000006201,2015-10-23,2015-10-22,rejected,结构断点 2014-12-31 之后财年仅 1 < 要求 3 年,,2015-09-30,0.0209,680739000,,
0000006201,2016-02-24,2016-02-23,rejected,结构断点 2014-12-31 之后财年仅 2 < 要求 3 年,,2015-12-31,0.0175,687355000,,
0000006201,2016-04-22,2016-04-21,rejected,结构断点 2014-12-31 之后财年仅 2 < 要求 3 年,,2016-03-31,0.0189,611488000,,
0000006201,2016-07-22,2016-07-21,rejected,结构断点 2014-12-31 之后财年仅 2 < 要求 3 年,,2016-06-30,0.0157,566040000,,
0000006201,2016-10-20,2016-10-19,rejected,结构断点 2014-12-31 之后财年仅 2 < 要求 3 年,,2016-09-30,0.0176,528510000,,
0000006201,2017-02-22,2017-02-21,ok,,324.7752,2016-12-31,0.0242,556099000,1.000000,
0000006201,2017-04-27,2017-04-26,ok,,350.6531,2017-03-31,0.0230,507797000,1.000000,
0000006201,2017-07-28,2017-07-27,ok,,385.5477,2017-06-30,0.0230,492965000,1.000000,
0000006201,2017-10-26,2017-10-25,ok,,432.5825,2017-09-30,0.0246,486625000,1.000000,
0000006201,2018-02-21,2018-02-20,ok,,492.6239,2017-12-31,0.0294,491692000,1.000000,
0000006201,2018-04-26,2018-04-25,rejected,母公司权益非正，股数法无法折每股,,2018-03-31,0.0300,474598000,,
0000006201,2018-07-26,2018-07-25,rejected,母公司权益非正，股数法无法折每股,,2018-06-30,0.0298,464618000,,
0000006201,2018-10-25,2018-10-24,rejected,母公司权益非正，股数法无法折每股,,2018-09-30,0.0314,461507000,,
0000006201,2019-02-25,2019-02-22,rejected,结构断点 2018-12-31 之后财年仅 1 < 要求 3 年,,2018-12-31,0.0267,465660000,,
0000006201,2019-04-26,2019-04-25,rejected,结构断点 2018-12-31 之后财年仅 1 < 要求 3 年,,2019-03-31,0.0251,453429000,,
0000006201,2019-07-25,2019-07-24,rejected,结构断点 2018-12-31 之后财年仅 1 < 要求 3 年,,2019-06-30,0.0208,445587000,,
0000006201,2019-10-24,2019-10-23,rejected,结构断点 2018-12-31 之后财年仅 1 < 要求 3 年,,2019-09-30,0.0177,442401000,,
0000006201,2020-02-19,2020-02-18,rejected,结构断点 2019-12-31 之后财年仅 1 < 要求 3 年,,2019-12-31,0.0156,444269000,,
0000006201,2020-04-30,2020-04-29,rejected,结构断点 2019-12-31 之后财年仅 1 < 要求 3 年,,2020-03-31,0.0064,425713000,,
0000006201,2020-07-23,2020-07-22,rejected,结构断点 2019-12-31 之后财年仅 1 < 要求 3 年,,2020-06-30,0.0059,428807000,,
0000006201,2020-10-22,2020-10-21,rejected,结构断点 2019-12-31 之后财年仅 1 < 要求 3 年,,2020-09-30,0.0087,509049000,,
0000006201,2021-02-17,2021-02-16,rejected,结构断点 2020-12-31 之后财年仅 1 < 要求 3 年,,2020-12-31,0.0129,483888000,,
0000006201,2021-04-22,2021-04-21,rejected,结构断点 2020-12-31 之后财年仅 1 < 要求 3 年,,2021-03-31,0.0157,634609000,,
0000006201,2021-07-22,2021-07-21,rejected,结构断点 2020-12-31 之后财年仅 1 < 要求 3 年,,2021-06-30,0.0127,656372000,,
0000006201,2021-10-21,2021-10-20,rejected,结构断点 2020-12-31 之后财年仅 1 < 要求 3 年,,2021-09-30,0.0168,721142000,,
0000006201,2022-02-22,2022-02-18,rejected,结构断点 2021-12-31 之后财年仅 1 < 要求 3 年,,2021-12-31,0.0194,644015000,,
0000006201,2022-04-21,2022-04-20,rejected,结构断点 2021-12-31 之后财年仅 1 < 要求 3 年,,2022-03-31,0.0290,649503000,,
0000006201,2022-07-21,2022-07-20,rejected,结构断点 2021-12-31 之后财年仅 1 < 要求 3 年,,2022-06-30,0.0291,718532000,,
0000006201,2022-10-20,2022-10-19,rejected,结构断点 2021-12-31 之后财年仅 1 < 要求 3 年,,2022-09-30,0.0424,715985000,,
0000006201,2023-02-22,2023-02-21,rejected,结构断点 2022-12-31 之后财年仅 1 < 要求 3 年,,2022-12-31,0.0393,655122000,,
0000006201,2023-04-27,2023-04-26,rejected,结构断点 2022-12-31 之后财年仅 1 < 要求 3 年,,2023-03-31,0.0353,656707000,,
0000006201,2023-07-20,2023-07-19,rejected,结构断点 2022-12-31 之后财年仅 1 < 要求 3 年,,2023-06-30,0.0385,719345000,,
0000006201,2023-10-19,2023-10-18,rejected,结构断点 2022-12-31 之后财年仅 1 < 要求 3 年,,2023-09-30,0.0498,654119000,,
0000006201,2024-02-21,2024-02-20,rejected,结构断点 2023-12-31 之后财年仅 1 < 要求 3 年,,2023-12-31,0.0432,719669000,,
0000006201,2024-04-25,2024-04-24,rejected,结构断点 2023-12-31 之后财年仅 1 < 要求 3 年,,2024-03-31,0.0470,655847000,,
0000006201,2024-07-25,2024-07-24,rejected,结构断点 2023-12-31 之后财年仅 1 < 要求 3 年,,2024-06-30,0.0427,720302000,,
0000006201,2024-10-24,2024-10-23,rejected,结构断点 2023-12-31 之后财年仅 1 < 要求 3 年,,2024-09-30,0.0421,657424000,,
0000011199,2010-08-09,2010-08-06,no_annual,无 filed≤F 的年报行,,,,,,
0000011199,2010-11-09,2010-11-08,no_annual,无 filed≤F 的年报行,,,,,,
0000011199,2011-03-01,2011-02-28,ok,,37.0064,2010-12-31,0.0341,107043183,1.000000,
0000011199,2011-05-10,2011-05-09,ok,,42.1127,2011-03-31,0.0323,105334252,1.000000,
0000011199,2011-08-09,2011-08-08,ok,,43.5347,2011-06-30,0.0220,105580000,1.000000,
0000011199,2011-11-07,2011-11-04,ok,,47.6018,2011-09-30,0.0204,103763000,1.000000,
0000011199,2012-02-29,2012-02-28,ok,,39.3153,2011-12-31,0.0198,105072000,1.000000,
0000011199,2012-05-10,2012-05-09,ok,,38.8099,2012-03-31,0.0189,103708000,1.000000,
0000011199,2012-08-09,2012-08-08,ok,,37.9460,2012-06-30,0.0169,103800000,1.000000,
0000011199,2012-11-09,2012-11-08,ok,,37.1441,2012-09-30,0.0161,103900000,1.000000,
0000011199,2013-02-28,2013-02-27,ok,,41.9787,2012-12-31,0.0189,103900000,1.000000,
0000011199,2013-05-06,2013-05-03,ok,,42.2719,2013-03-31,0.0180,104300000,1.000000,
0000011199,2013-08-02,2013-08-01,ok,,45.0713,2013-06-30,0.0263,103900000,1.000000,
0000011199,2013-11-01,2013-10-31,ok,,44.8357,2013-09-30,0.0265,103800000,1.000000,
0000011199,2014-02-21,2014-02-20,ok,,44.3622,2013-12-31,0.0273,103900000,1.000000,
0000011199,2014-05-02,2014-05-01,ok,,46.2327,2014-03-31,0.0260,102400000,1.000000,
0000011199,2014-08-01,2014-07-31,ok,,49.0208,2014-06-30,0.0252,101300000,1.000000,
0000011199,2014-10-31,2014-10-30,ok,,52.5625,2014-09-30,0.0235,100900000,1.000000,
0000008818,2010-08-11,2010-08-10,no_annual,无 filed≤F 的年报行,,,,,,
0000008818,2010-11-10,2010-11-09,no_annual,无 filed≤F 的年报行,,,,,,
0000008818,2011-02-28,2011-02-25,ok,,45.7080,2011-01-01,0.0342,106800000,1.000000,
0000008818,2011-05-10,2011-05-09,ok,,45.7943,2011-04-02,0.0323,107000000,1.000000,
0000008818,2011-08-09,2011-08-08,ok,,46.5980,2011-07-02,0.0220,106900000,1.000000,
0000008818,2011-11-08,2011-11-07,ok,,48.0630,2011-10-01,0.0210,106600000,1.000000,
0000008818,2012-02-27,2012-02-24,ok,,31.1894,2011-12-31,0.0192,106800000,1.000000,
0000008818,2012-05-08,2012-05-07,ok,,31.8025,2012-03-31,0.0188,106200000,1.000000,
0000008818,2012-08-07,2012-08-06,ok,,32.9284,2012-06-30,0.0166,104300000,1.000000,
0000008818,2012-11-06,2012-11-05,ok,,35.4759,2012-09-29,0.0178,102200000,1.000000,
0000008818,2013-02-27,2013-02-26,ok,,36.4224,2012-12-29,0.0191,103500000,1.000000,
0000008818,2013-05-07,2013-05-06,ok,,38.1160,2013-03-30,0.0182,101500000,1.000000,
0000008818,2013-08-07,2013-08-06,ok,,40.8788,2013-06-29,0.0261,100800000,1.000000,
0000008818,2013-11-04,2013-11-01,ok,,43.7335,2013-09-28,0.0263,99600000,1.000000,
0000008818,2014-02-26,2014-02-25,ok,,51.7787,2013-12-28,0.0267,100100000,1.000000,
0000008818,2014-05-05,2014-05-02,ok,,54.9540,2014-03-29,0.0263,98000000,1.000000,
0000008818,2014-07-31,2014-07-30,ok,,51.8447,2014-06-28,0.0258,96700000,1.000000,
0000008818,2014-10-29,2014-10-28,ok,,57.5717,2014-09-27,0.0234,95200000,1.000000,
0000008818,2015-02-25,2015-02-24,ok,,58.5104,2015-01-03,0.0196,95700000,1.000000,
